clip_id,group,scale,n_points,n_raw,n_dil,n_dilation_only
scene-0017_CAM_FRONT_f274b48b_b4bff2b0,scene-0017,23.29269214527027,508075,10250,28778,18528
scene-0017_CAM_FRONT_3425c661_2a271f85,scene-0017,19.767960528938133,468357,8335,24299,15964
scene-0017_CAM_FRONT_9a476217_ce130b56,scene-0017,17.838536360163012,391628,5589,17563,11974
scene-0017_CAM_FRONT_789b705c_65afa213,scene-0017,15.220178166517629,386302,3767,11821,8054
scene-0017_CAM_FRONT_fe04ede8_d995c004,scene-0017,12.754567231234098,361464,2453,7632,5179
scene-0018_CAM_FRONT_f0e47975_248f5231,scene-0018,14.808185024289985,481854,4854,16766,11912
scene-0018_CAM_FRONT_06cc9133_1cc4743f,scene-0018,15.356703593859036,399195,3563,12562,8999
scene-0018_CAM_FRONT_72f030bd_b66b4277,scene-0018,16.65898149215867,448062,4795,14585,9790
scene-0018_CAM_FRONT_6611e3ee_81f15cce,scene-0018,15.833161131253323,548137,5817,16324,10507
scene-0018_CAM_FRONT_dbffcc96_b1736070,scene-0018,16.31338148316652,520034,5680,16691,11011
scene-0018_CAM_FRONT_3c23cd7c_bb99cbc0,scene-0018,13.669857476569556,648489,5074,15068,9994
scene-0018_CAM_FRONT_cf5c4b43_f540699e,scene-0018,12.60470957998953,628388,5531,16175,10644
scene-0018_CAM_FRONT_ba22ee94_59e1ec03,scene-0018,14.328552947647275,606773,6704,18310,11606
scene-0035_CAM_FRONT_d62b0f9d_020154f4,scene-0035,36.85202205882352,509869,13862,44365,30503
scene-0035_CAM_FRONT_a3d2c3ca_40ead2f4,scene-0035,37.008513965044564,518013,15156,49012,33856
scene-0035_CAM_FRONT_cc71e504_57267f4d,scene-0035,36.875994268654104,537155,12942,42835,29893
scene-0035_CAM_FRONT_af571c22_5dda1ef8,scene-0035,32.684261110653026,585951,13467,39534,26067
scene-0035_CAM_FRONT_7b86bda4_50a05815,scene-0035,34.05307026273884,509422,13749,44052,30303
scene-0035_CAM_FRONT_25a5a54c_c0e4b101,scene-0035,32.98698340798045,508677,14726,48728,34002
scene-0035_CAM_FRONT_08078980_82e2c7a4,scene-0035,36.79452527612574,494942,13460,45197,31737
scene-0035_CAM_FRONT_ba5d4c21_2f598ed4,scene-0035,33.17223708947207,529341,13969,47115,33146
scene-0036_CAM_FRONT_e1b5c775_856ccc62,scene-0036,24.739208528037384,556512,12173,37503,25330
scene-0036_CAM_FRONT_e63b5804_7bd9965f,scene-0036,24.748521898469097,632839,18017,54461,36444
scene-0036_CAM_FRONT_978a0782_96d66c41,scene-0036,24.546719475779685,634813,16826,50004,33178
scene-0036_CAM_FRONT_6f8d7a92_ca08ecf4,scene-0036,25.382316556704705,594620,13138,39980,26842
scene-0036_CAM_FRONT_f8d77275_07a6e4ff,scene-0036,26.521058505639097,609397,18321,54995,36674
scene-0036_CAM_FRONT_139bce92_50082a94,scene-0036,26.097639103651233,507151,13448,44676,31228
scene-0036_CAM_FRONT_53b7ed3f_989191ea,scene-0036,28.165285778734038,485971,13132,37809,24677
scene-0036_CAM_FRONT_fdd2da37_95b0c6a3,scene-0036,33.310646505052944,408791,8751,28311,19560
scene-0038_CAM_FRONT_0f39f34f_e15862d8,scene-0038,25.17346382370637,439928,9557,28002,18445
scene-0038_CAM_FRONT_86958f43_aa7d1414,scene-0038,25.35463374134772,446831,7637,23306,15669
scene-0038_CAM_FRONT_70b93dd3_d65e5cdd,scene-0038,26.310368977708524,412070,8473,24521,16048
scene-0038_CAM_FRONT_abe76951_b3537c46,scene-0038,36.50292655548427,397385,7401,22990,15589
scene-0038_CAM_FRONT_398ab542_ead06ddf,scene-0038,42.66323263670647,397996,12529,37847,25318
scene-0038_CAM_FRONT_378dd188_740e48ba,scene-0038,31.59472104519774,461774,12960,36022,23062
scene-0038_CAM_FRONT_6060fa4c_50d37bba,scene-0038,25.152741392215564,425613,10454,30815,20361
scene-0038_CAM_FRONT_124b2bf9_57a80885,scene-0038,30.19144254117399,403492,12834,36841,24007
scene-0039_CAM_FRONT_15c59626_7c8ce823,scene-0039,34.41262974163679,484721,10972,33895,22923
scene-0039_CAM_FRONT_d7f3a1ff_17dd14b1,scene-0039,36.00305964828897,600432,16679,47085,30406
scene-0039_CAM_FRONT_9397c89e_3357eff7,scene-0039,35.00930954768271,540631,14747,42251,27504
scene-0039_CAM_FRONT_23cd0004_b024c299,scene-0039,33.74804896838157,521410,14492,44638,30146
scene-0039_CAM_FRONT_edc5f9bd_3c693de8,scene-0039,36.21118047248804,611254,16491,52142,35651
scene-0039_CAM_FRONT_02b68afc_4b247d4d,scene-0039,30.014419541855204,565101,13414,39632,26218
scene-0039_CAM_FRONT_793bebc8_af15c54e,scene-0039,32.270591124118035,496715,11996,33880,21884
scene-0039_CAM_FRONT_0f96fbf0_c1b68aa9,scene-0039,28.77364404568646,494831,11579,33424,21845
scene-0092_CAM_FRONT_8e46878c_774f588f,scene-0092,40.081577637690785,657691,14226,36738,22512
scene-0092_CAM_FRONT_8d966583_1259283e,scene-0092,39.26263323643411,689817,14712,35779,21067
scene-0092_CAM_FRONT_38bde806_9c2cb01f,scene-0092,40.83640021813854,636427,13043,34779,21736
scene-0092_CAM_FRONT_1ecb668f_75023dda,scene-0092,38.062926579563175,615043,12278,36242,23964
scene-0092_CAM_FRONT_38c0c7b3_c3ab884d,scene-0092,41.36122627887789,624880,14099,37930,23831
scene-0092_CAM_FRONT_e568b88d_c10dfcf7,scene-0092,40.07670874652053,666372,11862,34486,22624
scene-0092_CAM_FRONT_e6c7e16f_248b69fa,scene-0092,42.13499587798846,651985,14556,40476,25920
scene-0092_CAM_FRONT_4996d203_f6dc7d8e,scene-0092,44.61490842641261,594378,14614,40331,25717
scene-0093_CAM_FRONT_6e0955c2_88c4bf6c,scene-0093,23.00618376358696,367319,7224,24040,16816
scene-0093_CAM_FRONT_6dab8a84_5c279586,scene-0093,25.50044635311021,356006,6094,19055,12961
scene-0093_CAM_FRONT_561cf9ac_85249094,scene-0093,34.583279315015474,292074,4710,15169,10459
scene-0093_CAM_FRONT_938d0ee9_636c9024,scene-0093,55.38584896868787,328105,7591,21869,14278
scene-0093_CAM_FRONT_f9438d42_4a4ea75e,scene-0093,63.94953046085862,334216,5415,16417,11002
scene-0093_CAM_FRONT_08303db5_267340cf,scene-0093,59.77056623931625,346388,6391,21923,15532
scene-0093_CAM_FRONT_9c345815_f7a001c4,scene-0093,48.362216805088295,427411,12168,37239,25071
scene-0094_CAM_FRONT_19ffc60b_16c4a3ea,scene-0094,38.61494362959721,537014,10602,32584,21982
scene-0094_CAM_FRONT_442d1845_ac83bf9a,scene-0094,39.39418247767856,546618,11423,30637,19214
scene-0094_CAM_FRONT_6a85b137_a2751129,scene-0094,38.18129103842412,475612,11091,32168,21077
scene-0094_CAM_FRONT_7dfa2547_9e527ac1,scene-0094,38.48334335600531,515908,10045,27577,17532
scene-0094_CAM_FRONT_15222be3_7604c6ea,scene-0094,35.03351859745153,465786,9003,23966,14963
scene-0094_CAM_FRONT_d00b9230_8b17a8d9,scene-0094,35.83572186310278,395228,10460,29110,18650
scene-0094_CAM_FRONT_723ad933_3164b1a6,scene-0094,34.19759304628859,315044,4987,13272,8285
scene-0094_CAM_FRONT_68c0cfc0_8887f956,scene-0094,27.99913439262691,282214,2688,8499,5811
scene-0095_CAM_FRONT_78be3bd5_d773c946,scene-0095,22.936686197916668,318677,2099,7545,5446
scene-0095_CAM_FRONT_71b80d68_da3ef456,scene-0095,25.464008325729935,306943,1956,6285,4329
scene-0095_CAM_FRONT_98592cf2_e6bf9e3d,scene-0095,23.5621016063233,306990,1700,6069,4369
scene-0095_CAM_FRONT_18b3ef8c_2d800e7c,scene-0095,25.990247546363193,303124,2073,6049,3976
scene-0095_CAM_FRONT_99ccc70f_cac56fc7,scene-0095,24.09286073151125,304786,1767,6369,4602
scene-0095_CAM_FRONT_1f40bab1_b90fba92,scene-0095,24.135216701122264,306139,1943,6731,4788
scene-0095_CAM_FRONT_a9549839_70271815,scene-0095,26.385082724687777,306320,2381,7088,4707
scene-0096_CAM_FRONT_f9475d1f_73a3e6b8,scene-0096,36.541892742673994,344928,4193,12048,7855
scene-0096_CAM_FRONT_67cc592a_fd27366f,scene-0096,30.343859041461407,350084,8079,26121,18042
scene-0096_CAM_FRONT_3ba93f95_112aa7a7,scene-0096,35.64593234397418,316529,7862,25201,17339
scene-0096_CAM_FRONT_5edf36a0_7c7ce7a9,scene-0096,31.251779058813884,330919,8881,25973,17092
scene-0096_CAM_FRONT_9a2209d8_296e524f,scene-0096,29.708978857697733,323995,7176,20631,13455
scene-0096_CAM_FRONT_e8038e0f_d6e16562,scene-0096,26.563043962445175,339504,7438,22140,14702
scene-0096_CAM_FRONT_3c1ab7d8_3fd8074c,scene-0096,28.0399376867065,321645,5616,18724,13108
scene-0097_CAM_FRONT_1c81b06c_1dd5d04e,scene-0097,9.410083125754829,226571,283,1195,912
scene-0097_CAM_FRONT_9577cf1a_6bf8421a,scene-0097,9.359567043671547,217092,257,1138,881
scene-0097_CAM_FRONT_5c6f3a7e_98a8d1c3,scene-0097,10.089349019752357,205638,227,995,768
scene-0097_CAM_FRONT_8ef17257_50584518,scene-0097,18.37582801766437,250053,1397,4703,3306
scene-0097_CAM_FRONT_92c817e6_fb879538,scene-0097,26.07215616414835,289808,3395,10193,6798
scene-0097_CAM_FRONT_f5193e87_185dd9f6,scene-0097,38.74506427032019,283031,2743,8086,5343
scene-0097_CAM_FRONT_50c37d32_3c4da98d,scene-0097,39.003828470685846,303420,6732,18915,12183
scene-0098_CAM_FRONT_c292d90b_4dfb0052,scene-0098,42.0579083935018,327964,7822,22123,14301
scene-0098_CAM_FRONT_947147c6_808fabcc,scene-0098,37.658081408514484,342203,8922,29511,20589
scene-0098_CAM_FRONT_ffb68ec5_3307d121,scene-0098,33.203356094942755,336807,7269,26778,19509
scene-0098_CAM_FRONT_8a0af59b_45731d09,scene-0098,35.993736686677,381360,10593,31342,20749
scene-0098_CAM_FRONT_19689911_e4437a15,scene-0098,32.547696031960996,390584,10113,29921,19808
scene-0098_CAM_FRONT_7760d89f_7fbf9f16,scene-0098,33.66199477215981,304207,7050,21769,14719
scene-0098_CAM_FRONT_885aeed2_50d86a5c,scene-0098,52.43654306220098,312813,7614,21861,14247
scene-0099_CAM_FRONT_b9db8044_9d0e1d79,scene-0099,30.189947525062667,597415,10041,30862,20821
scene-0099_CAM_FRONT_fe944294_9faf87fc,scene-0099,23.79722898449921,559833,7629,21077,13448
scene-0099_CAM_FRONT_34dc0f07_2de4836c,scene-0099,25.227687131268436,592223,8530,24475,15945
scene-0099_CAM_FRONT_a9b8176b_d9151176,scene-0099,32.87280535954302,593247,10446,31842,21396
scene-0099_CAM_FRONT_cb39369c_eaf2f8cf,scene-0099,45.66692391717324,607406,16639,45700,29061
scene-0099_CAM_FRONT_0e8782aa_c7686b76,scene-0099,40.73551703559027,598887,15694,41363,25669
scene-0099_CAM_FRONT_56f2d967_3a56f761,scene-0099,48.69862861867332,604124,18644,50048,31404
scene-0100_CAM_FRONT_028a3f3a_57913445,scene-0100,17.37822062644342,372754,1240,4371,3131
scene-0100_CAM_FRONT_6e80e8ce_70fce5a2,scene-0100,17.4331306378866,369988,1049,3869,2820
scene-0100_CAM_FRONT_52908013_d09b065a,scene-0100,17.280946514423075,372752,1156,4159,3003
scene-0100_CAM_FRONT_b32fbd9e_de52afcc,scene-0100,17.06243135460251,371883,1141,4205,3064
scene-0100_CAM_FRONT_7586016d_79a822a6,scene-0100,17.378042367788463,368227,1131,4046,2915
scene-0100_CAM_FRONT_9cae0163_94b913a2,scene-0100,17.71309132543103,368365,1113,4039,2926
scene-0100_CAM_FRONT_aa126aad_44049613,scene-0100,18.392559400350294,359884,936,3469,2533
scene-0100_CAM_FRONT_7613f642_3e743a8c,scene-0100,18.052658856141015,360031,962,3567,2605
