condition,region,tp,fp,fn,tn,valid,gt_occupied,pred_occupied,free,sc_iou,precision,recall,fpr,pred_over_gt_occupied,occupied_prevalence
mapper,all,781192,5921044,17412932,243384715,267499883,18194124,6702236,249305759,0.03239421761440766,0.11655692219730848,0.04293649971826069,0.023750129253933522,0.3683736573412383,0.06801544657124205
mapper,boundary,183279,363499,1653289,10944230,13144297,1836568,546778,11307729,0.08330609931424816,0.3351981974402774,0.09979429021958348,0.03214606575732404,0.2977172639401318,0.13972356224148008
mapper,interior,158438,2246631,6490070,126219069,135114208,6648508,2405069,128465700,0.017811750890008575,0.06587669626110519,0.023830609815014135,0.017488177778192934,0.36174567286374626,0.04920657937024654
mapper_dilate,all,2664802,24577700,15529322,224728059,267499883,18194124,27242502,249305759,0.06230274397463152,0.09781781423747349,0.14646497957252572,0.09858456579015488,1.4973241910410195,0.06801544657124205
mapper_dilate,boundary,506316,1177038,1330252,10130691,13144297,1836568,1683354,11307729,0.16801001856247963,0.30077808945711954,0.27568595336518986,0.10409145815220722,0.9165759176899522,0.13972356224148008
mapper_dilate,interior,606043,9564951,6042465,118900749,135114208,6648508,10170994,128465700,0.03737900715695522,0.05958542498402811,0.09115473727338524,0.07445529040047265,1.5298160128558167,0.04920657937024654
completion,all,4790422,26565464,13403702,222740295,267499883,18194124,31355886,249305759,0.1070256053295218,0.15277584565781366,0.2632950066735832,0.1065577630719714,1.72340729347563,0.06801544657124205
completion,boundary,1488167,6550079,348401,4757650,13144297,1836568,8038246,11307729,0.17744481197312822,0.18513578708588913,0.8102977945820683,0.5792568074455976,4.376775594478397,0.13972356224148008
completion,interior,378366,3604878,6270142,124860822,135114208,6648508,3983244,128465700,0.036901565980252765,0.09498941064117589,0.0569099112161706,0.028061015508419756,0.5991184789128629,0.04920657937024654
