step,lr,loss,occupancy_loss,focal,dice,sem_kl,train_tp,train_fp,train_fn,train_tn,train_sc_iou,train_precision,train_recall,train_pred_over_gt_occupied
1,0.0009999993831498518,2.9020423889160156,1.1823665797710419,0.2505464255809784,0.9318201541900635,3.4393513202667236,395475,9298115,26244,715539,0.040687423262578355,0.040797578606068544,0.9377689883548049,22.985898192872504
100,0.0009938441702975686,1.8533287048339844,1.2109923362731934,0.29639697074890137,0.914595365524292,1.2846726179122925,26578,507055,395141,9506599,0.02861621880026788,0.04980576538557398,0.06302300821162907,1.2653757596883233
200,0.0009755282581475771,1.6590399742126465,1.1615201532840729,0.23717114329338074,0.9243490099906921,0.995039701461792,30471,398514,391248,9615140,0.03714920028821079,0.07103045561033602,0.07225427358027502,1.017229482190748
300,0.0009455032620941839,1.3592228889465332,1.0980942696332932,0.19125913083553314,0.90683513879776,0.5222572088241577,93716,851425,328003,9162229,0.07360989801624954,0.09915557572891241,0.22222380305369216,2.2411629544791674
400,0.0009045084971874733,1.5182054042816162,1.1119718700647354,0.1757764369249344,0.936195433139801,0.8124672174453735,127509,1189194,294210,8824460,0.07915325036175137,0.09683960619820871,0.30235535984861955,3.1222283084233813
500,0.0008535533905932735,1.4185646772384644,1.1056462079286575,0.16567231714725494,0.9399738907814026,0.6258369088172913,108318,904565,313401,9109089,0.08167029082760555,0.1069402882662657,0.25684875473953034,2.4017959826329855
600,0.0007938926261462367,1.563194751739502,1.1455280035734177,0.18883465230464935,0.9566933512687683,0.8353336453437805,132278,1128697,289441,8884957,0.08531774697887534,0.10490136600646326,0.31366383776875123,2.99008344418914
700,0.0007269952498697733,1.5314944982528687,1.1000142246484756,0.1883230358362198,0.9116911888122559,0.8629605770111084,133583,1094622,288136,8919032,0.08809561965283534,0.10876278797106347,0.31675831537113575,2.9123776732848174
800,0.0006545084971874742,1.5843048095703125,1.0849715620279312,0.1561572104692459,0.9288143515586853,0.9986666440963745,144026,1096737,277693,8916917,0.0948502952999626,0.11607857423214586,0.34152124993182664,2.9421557956838558
900,0.0005782172325201161,1.2720578908920288,1.0758721232414246,0.16284292936325073,0.9130291938781738,0.3923714756965637,132865,933731,288854,9079923,0.09802279685713232,0.12456919020885134,0.31505575987802303,2.529162783749369
1000,0.0005000000000000008,1.2903636693954468,1.0818242579698563,0.14412911236286163,0.9376951456069946,0.41707873344421387,151684,1143595,270035,8870059,0.0969032411388386,0.11710527230040786,0.3596802610268923,3.0714267083057676
1100,0.0004217827674798848,1.272613763809204,1.0663330107927322,0.13152797520160675,0.9348050355911255,0.4125615060329437,162993,1142192,258726,8871462,0.10422140390341905,0.12488114711707536,0.38649669566702,3.0949162831174313
1200,0.0003454915028125266,1.2702354192733765,1.0402021333575249,0.09967499226331711,0.9405271410942078,0.4600665867328644,149327,946404,272392,9067250,0.10914735005551401,0.13628071123295774,0.354091231364961,2.5982490710639077
1300,0.00027300475013022685,1.3364214897155762,1.0720113664865494,0.1699964553117752,0.9020149111747742,0.5288201570510864,143882,861896,277837,9151758,0.11209124231175235,0.1430554257500164,0.34117979033432216,2.384948271242225
1400,0.00020610737385376378,1.5435492992401123,1.0647185146808624,0.12822821736335754,0.9364902973175049,0.957661509513855,152388,908924,269331,9104730,0.11452207692070676,0.143584544412953,0.36134961905913654,2.5166331135187177
1500,0.00014644660940672653,1.6232221126556396,1.0701310485601425,0.13328967988491058,0.9368413686752319,1.1061822175979614,154872,905018,266847,9108636,0.11673149991294432,0.1461208238590797,0.3672397971160892,2.5132611999933605
1600,9.549150281252642e-05,1.0757219791412354,0.9718084186315536,0.1312054842710495,0.8406029343605042,0.20782698690891266,157790,933980,263929,9079674,0.11639014264965895,0.14452677761799645,0.37415909645996503,2.5888565608853287
1700,5.449673790581619e-05,1.2632215023040771,1.022440642118454,0.18794259428977966,0.8344980478286743,0.481561541557312,163947,949107,257772,9064547,0.11959723553536335,0.147294740416907,0.38875886550048727,2.639326186394258
1800,2.4471741852423272e-05,1.2623167037963867,1.1239242255687714,0.23555704951286316,0.8883671760559082,0.27678489685058594,157787,882200,263932,9131454,0.12100981732761007,0.1517201657328409,0.3741519827183504,2.466066266874388
1900,6.155829702431176e-06,1.3642538785934448,1.0135578662157059,0.14112289249897003,0.8724349737167358,0.7013919353485107,156004,853888,265715,9159766,0.12229785506037517,0.1544759241582268,0.3699240489520273,2.3947035822431526
2000,0.0,1.4705604314804077,1.0364955216646194,0.1562402993440628,0.8802552223205566,0.8681297898292542,155937,851658,265782,9161996,0.12245941304107111,0.1547615857561818,0.3697651753892995,2.3892568274135146
