clip_id,sequence,a_clip,s_learned,s_oracle,s0,ratio_learned_over_oracle,abs_log_scale_err_learned,abs_log_scale_err_const,rel_scale_err_learned,rel_scale_err_const,frame_median_std,frame_median_range,median_abs_r_shape,rms_r_shape,rms_r,scalar_energy_fraction,n_support_px,frame_median_0,frame_median_1,frame_median_2,frame_median_3,frame_median_4
08_000000_000020_s5,08,0.03554881364107132,28.35684511457263,29.560553168507,27.3665,0.9592799212155215,0.04157235803972448,0.0771211716807958,0.040720078784478475,0.07422233122634814,0.023134892412015263,0.06610847357660532,0.03591703495476395,0.04298128595767082,0.057152400943900374,0.3868844408553198,313346,0.010925709269940853,0.026209209114313126,0.07703418284654617,0.04897204041481018,0.05623902380466461
08_000025_000045_s5,08,-0.18851201981306076,22.664676650539917,22.062611171272522,27.3665,1.027288949372019,0.026923244219330122,0.21543526403239088,0.027288949372018978,0.24040168172086585,0.03279833484054856,0.09569548070430756,0.04848683625459671,0.1051686757845319,0.1835977605444065,1.0542493315592036,272024,-0.15168696641921997,-0.17837248742580414,-0.20665813982486725,-0.21695735305547714,-0.24738244712352753
08_000050_000070_s5,08,-0.08737575262784958,25.076819286379415,28.674226241614992,27.3665,0.8745421437034402,0.13405479391400865,0.04667904128615907,0.1254578562965598,0.045606330597932065,0.02682215411808868,0.07994496822357178,0.03751763701438904,0.05605595689657167,0.09228120294703686,0.8965104679434913,268474,-0.12223341315984726,-0.1051979809999466,-0.08921229094266891,-0.08179260417819023,-0.04228844493627548
08_000075_000095_s5,08,0.11231920123100281,30.61955444057437,33.186537970329574,27.3665,0.9226498548281771,0.08050547200190783,0.19282467323291108,0.07735014517182293,0.1753734594290306,0.025274046836476386,0.06742403656244278,0.04074922204017639,0.06495940827830965,0.11774450808812059,0.9099692007927223,273500,0.13119560480117798,0.10313565284013748,0.1571289449930191,0.08970490843057632,0.14499268680810928
08_000100_000120_s5,08,0.2584247887134552,35.43657313946183,38.16029060143091,27.3665,0.9286242997880381,0.07405103554136971,0.33247582425482536,0.07137570021196193,0.2828539938064877,0.029934101413598077,0.08362013846635818,0.046044573187828064,0.13391253108028128,0.24250998018487058,1.1355574410541267,296897,0.2944628596305847,0.27597594261169434,0.3149482160806656,0.2502986639738083,0.2313280776143074
08_000125_000145_s5,08,0.11967851221561432,30.84572447093761,31.930175352630194,27.3665,0.966036801561027,0.034553348641220616,0.15423186085683493,0.033963198438973,0.14292672377241644,0.020552811386084828,0.06134798005223274,0.04273304343223572,0.07441041666741696,0.11953592930307239,1.0023870304116054,336885,0.1383662223815918,0.15494173765182495,0.12379996478557587,0.09359375759959221,0.13753481209278107
08_000150_000170_s5,08,0.1440972164273262,31.60820864370529,32.90385599055384,27.3665,0.9606232367653046,0.04017300019877679,0.18427021662610343,0.03937676323469541,0.1682889686893697,0.011922939265217928,0.030205994844436646,0.03216215968132019,0.08200535782897979,0.1337218710803097,1.1611980382831166,316094,0.160872220993042,0.15973224490880966,0.15410000085830688,0.13066622614860535,0.13938091695308685
08_000175_000195_s5,08,0.23173411190509796,34.50325783374962,36.29473796867138,27.3665,0.950640775076869,0.05061902167957921,0.2823531335846772,0.04935922492313105,0.2459926278122737,0.01610979264821095,0.04315178096294403,0.04569588601589203,0.13397082987589654,0.2081376390117919,1.2395917807624242,331957,0.24681130051612854,0.20703928172588348,0.24855992197990417,0.2368377074599266,0.2501910626888275
08_000200_000220_s5,08,0.19951742887496948,33.409392282439846,35.4463497065663,27.3665,0.9425340707579513,0.059183210968036803,0.2587006398430063,0.05746592924204874,0.22794588930745507,0.013888594380432152,0.03644771873950958,0.030244246125221252,0.1094179255383183,0.17998590721898539,1.2288098279642592,308075,0.2042471468448639,0.2182311862707138,0.21538513153791428,0.19158849120140076,0.18178346753120422
08_000225_000245_s5,08,0.17045694589614868,32.452470849518654,33.520522868313286,27.3665,0.9681373699631561,0.032381290655027595,0.20283823655117628,0.031862630036843864,0.18358970391033613,0.021876745233144042,0.0484025776386261,0.04115724563598633,0.09379345062899361,0.1623115459287857,1.1028858819045544,302801,0.20254749059677124,0.2003449946641922,0.19612467288970947,0.15414491295814514,0.15633171796798706
08_000250_000270_s5,08,0.00351406482513994,27.462836822821615,30.058170929899283,27.3665,0.9136562862347671,0.09030083270193101,0.0938148975270714,0.08634371376523287,0.08954872657344037,0.014634281604933658,0.040945733431726694,0.012830609106458724,0.03058329605879053,0.030937809369278084,0.012901506317374464,304974,0.0010805009515024722,-0.006344387773424387,0.03460134565830231,0.01749829389154911,0.002068802365101874
08_000275_000295_s5,08,0.16115398705005646,32.151966804392195,34.035450175748004,27.3665,0.9446611294509074,0.05692900897194386,0.21808299602200032,0.05533887054909259,0.19594129477681987,0.014474548094504906,0.03362460434436798,0.03207796812057495,0.08773310641859967,0.14865379315850882,1.1752496174120133,309537,0.14892540872097015,0.18255001306533813,0.15106706321239471,0.16922682523727417,0.18185365200042725
08_000300_000320_s5,08,0.21809963136911392,34.03601637198527,36.699079087960676,27.3665,0.9274351623485549,0.0753323927677334,0.2934320241368473,0.07256483765144506,0.2543000892636098,0.011228323549235093,0.03177556395530701,0.033827535808086395,0.11748388571400326,0.19631796446762736,1.2342120386775994,313810,0.22871845215559006,0.20145775377750397,0.23323331773281097,0.22256936132907867,0.22836534678936005
