clip_id,config,depth_scale_kind,resid,pose,pose_scale_kind,s_depth,s_pose,iou,precision,recall,n_pred_occupied,n_points,in_grid_fraction,out_of_grid_fraction,n_masked_px
08_000000_000020_s5,C0,const,none,pred,const,27.3665,27.3665,0.09201091767483033,0.3093808909614049,0.11579416433803393,40316,313346,0.8263229784327868,0.1736770215672132,313346
08_000000_000020_s5,C1,const,full,pred,const,27.3665,27.3665,0.1296003397624592,0.38023115923347944,0.1643101831651457,46548,313346,0.8369119120716396,0.16308808792836038,313346
08_000000_000020_s5,C2,learned,none,pred,const,28.35684511457263,27.3665,0.12280027432981377,0.39487204342768517,0.15126674526769218,41264,313346,0.8229401364625686,0.17705986353743142,313346
08_000000_000020_s5,C3,learned,none,pred,learned,28.35684511457263,28.35684511457263,0.12152931717250656,0.38938244853737813,0.15014343139894354,41535,313346,0.815954248658033,0.184045751341967,313346
08_000000_000020_s5,C4,const,shape,pred,const,27.3665,27.3665,0.10252555622369212,0.30935049787243235,0.1329595142827966,46297,313346,0.8392607532886969,0.16073924671130313,313346
08_000000_000020_s5,C5,learned,shape,pred,learned,28.35684511457263,28.35684511457263,0.12880647346302596,0.3741510990754649,0.1641802129654558,47267,313346,0.8293483880438876,0.17065161195611245,313346
08_000000_000020_s5,O0,oracle,none,pred,oracle,29.560553168507,29.560553168507,0.14912680099705974,0.4691657764397397,0.1793960099148695,41188,313342,0.8026533308653165,0.19734666913468346,313342
08_000000_000020_s5,O1,oracle,shape,pred,oracle,29.560553168507,29.560553168507,0.14594065911093193,0.4270887956650935,0.18146624952421622,45768,313346,0.8122650360942856,0.18773496390571442,313346
08_000000_000020_s5,G0,oracle,none,gt,none,29.560553168507,1.0,0.15209201482324358,0.4695354964278085,0.1836478921618686,42131,313342,0.7975790031339559,0.2024209968660441,313342
08_000000_000020_s5,G1,oracle,shape,gt,none,29.560553168507,1.0,0.14574717448752594,0.42661422484431333,0.18125272705329706,45765,313346,0.8103055408398384,0.1896944591601616,313346
08_000025_000045_s5,C0,const,none,pred,const,27.3665,27.3665,0.03373743527261651,0.2077581032412965,0.03871860842328989,13328,272024,0.5424374319912949,0.4575625680087051,272024
08_000025_000045_s5,C1,const,full,pred,const,27.3665,27.3665,0.09045713725019897,0.2910819534100477,0.11601599642038145,28504,272024,0.9311604858394847,0.06883951416051526,272024
08_000025_000045_s5,C2,learned,none,pred,const,22.664676650539917,27.3665,0.1051497317971368,0.4070593628237451,0.12416801834554506,21815,272024,0.9216392671234891,0.07836073287651091,272024
08_000025_000045_s5,C3,learned,none,pred,learned,22.664676650539917,22.664676650539917,0.10227299916257926,0.4145371672404597,0.11953968342748476,20623,272024,0.9210032938270153,0.07899670617298471,272024
08_000025_000045_s5,C4,const,shape,pred,const,27.3665,27.3665,0.05159089572428395,0.24523343584008947,0.061328933385536105,17885,272024,0.508999205952416,0.491000794047584,272024
08_000025_000045_s5,C5,learned,shape,pred,learned,22.664676650539917,22.664676650539917,0.0897131013417694,0.28980195926421876,0.1149952458191174,28378,272024,0.930281886892333,0.06971811310766696,272024
08_000025_000045_s5,O0,oracle,none,pred,oracle,22.062611171272522,22.062611171272522,0.093728455075546,0.36323702563173627,0.11215672017450641,22082,272024,0.9499455930359086,0.05005440696409136,272024
08_000025_000045_s5,O1,oracle,shape,pred,oracle,22.062611171272522,22.062611171272522,0.07794027309271573,0.25370987546044554,0.10112422394988534,28505,272024,0.9522799458871276,0.04772005411287239,272024
08_000025_000045_s5,G0,oracle,none,gt,none,22.062611171272522,1.0,0.09601513539080052,0.3834891848493435,0.11354102578443985,21174,272024,0.9408213981119313,0.05917860188806867,272024
08_000025_000045_s5,G1,oracle,shape,gt,none,22.062611171272522,1.0,0.08667583756675079,0.2777797063213802,0.11189104536047878,28807,272024,0.9376305031908949,0.062369496809105085,272024
