clip_id,group,frame,offset,n_valid,s_G51-A,s_G51-B,s_G51-C,s_G51-D,s_oracle,G51-A_abs_rel,G51-A_median_abs_rel,G51-A_median_abs_log,G51-A_rmse_m,G51-A_delta1,G51-A_n_valid,G51-A_delta2,G51-A_delta3,G51-A_absrel_0_10,G51-A_absrel_10_20,G51-A_absrel_20_40,G51-A_absrel_40_80,G51-B_abs_rel,G51-B_median_abs_rel,G51-B_median_abs_log,G51-B_rmse_m,G51-B_delta1,G51-B_n_valid,G51-B_delta2,G51-B_delta3,G51-B_absrel_0_10,G51-B_absrel_10_20,G51-B_absrel_20_40,G51-B_absrel_40_80,G51-C_abs_rel,G51-C_median_abs_rel,G51-C_median_abs_log,G51-C_rmse_m,G51-C_delta1,G51-C_n_valid,G51-C_delta2,G51-C_delta3,G51-C_absrel_0_10,G51-C_absrel_10_20,G51-C_absrel_20_40,G51-C_absrel_40_80,G51-D_abs_rel,G51-D_median_abs_rel,G51-D_median_abs_log,G51-D_rmse_m,G51-D_delta1,G51-D_n_valid,G51-D_delta2,G51-D_delta3,G51-D_absrel_0_10,G51-D_absrel_10_20,G51-D_absrel_20_40,G51-D_absrel_40_80,oracle_abs_rel,oracle_median_abs_rel,oracle_median_abs_log,oracle_rmse_m,oracle_delta1,oracle_n_valid,oracle_delta2,oracle_delta3,oracle_absrel_0_10,oracle_absrel_10_20,oracle_absrel_20_40,oracle_absrel_40_80
08_000000_000020_s5,08,0,-4,15883,23.97878879775108,27.310438992376294,23.536140238830807,31.86463143139842,29.560553168507,0.1844025659907658,0.16863664353476202,0.1845928478619081,4.376800976507296,0.7636466662469307,15883,0.9832525341560159,0.988730088774161,0.16802041766857678,0.1801501166876782,0.21269182214079482,0.3184852844898217,0.07488619210866776,0.05395009593542788,0.055408934221000905,3.1708077633131593,0.97569728640685,15883,0.9871560788264182,0.9893596927532582,0.05411686349766134,0.06996038067850846,0.11052121828086575,0.22794353313375137,0.19921868352736813,0.1839056984019268,0.2031853255438354,4.577161193895354,0.6661210098847825,15883,0.9828747717685575,0.988289365988793,0.18327713916797525,0.19504248207611655,0.22676635671489212,0.3310660494837496,0.11135605431649798,0.10641081359022293,0.10112127499221746,3.1905574482537236,0.9750047220298432,15883,0.9874708808159668,0.9899892967323554,0.12039478602361907,0.09529089629898267,0.1180049287085163,0.19859617109937966,0.05347171880510326,0.036068918418249954,0.035731144928333514,2.8812816684128135,0.9775860983441416,15883,0.988289365988793,0.9896744947428068,0.04681911847578497,0.03753303552336328,0.0831657420195237,0.19270817110045158
08_000000_000020_s5,08,1,-3,16381,23.97878879775108,27.310438992376294,23.536140238830807,31.86463143139842,29.560553168507,0.1963221993154074,0.19321229086441483,0.2146774212278959,3.9347842629405587,0.5920883950918747,16381,0.9911482815456932,0.9962151272816068,0.19768755184022896,0.19059390310393887,0.19851379251484833,0.3842482825350854,0.0884949084707491,0.08176007605295259,0.08526348900125136,2.5126286621674545,0.9764971613454612,16381,0.9932849032415604,0.9970697759599536,0.0870306283139196,0.0821095019376445,0.09484559548981414,0.29901055568117046,0.21092518296155088,0.20809543797361135,0.23327659559684655,4.156401129600749,0.3841035345827483,16381,0.9909651425431902,0.9960930346132715,0.21246331179123518,0.20520677993626843,0.2129647642500214,0.39561506226226206,0.08210132636616348,0.07376583022104137,0.07147831079331346,2.477456223737385,0.9801599413955192,16381,0.9942616445882425,0.9977412856357976,0.06634872034182922,0.08240010231398634,0.0975807339559011,0.25123366177648937,0.0391337008184308,0.024815477725255646,0.024868118801637085,2.1077369095516536,0.9851046944630975,16381,0.9949331542640865,0.9972529149624565,0.020782416718056813,0.03698650690858772,0.060651311996545325,0.2565364528472257
08_000000_000020_s5,08,2,-2,16803,23.97878879775108,27.310438992376294,23.536140238830807,31.86463143139842,29.560553168507,0.18961856766513535,0.18816021476566816,0.2084263124969281,3.3495646298847586,0.6736297089805392,16803,0.9917276676783907,0.9979170386240552,0.19918100272007438,0.178605085482985,0.19481703537528225,0.2360266887877063,0.07963178207541473,0.07574966079722001,0.07870496592283915,1.9315225334559258,0.9857763494614057,16803,0.9927393917752783,0.998809736356603,0.08791396622999677,0.06695319146609499,0.09004804231875913,0.1306922286987509,0.20443101411443965,0.20312609889862512,0.22705882964633606,3.5658042284731883,0.4540855799559603,16803,0.9910135094923526,0.9969648277093376,0.21396412534114617,0.19349654822356174,0.20954154505125755,0.25012963986309117,0.08640987705599786,0.07995436692208241,0.0769466508992176,2.061739590912108,0.984824138546688,16803,0.9964887222519788,0.9988692495387729,0.0641822823836767,0.10089997019919164,0.09099075786050044,0.14935562071581,0.0338128728850326,0.023084966678817712,0.023108846169608288,1.5604035459174603,0.9871451526513123,16803,0.9957745640659406,0.999226328631792,0.018336039814985453,0.03551868894241043,0.05311239007980882,0.09675402860406886
08_000000_000020_s5,08,3,-1,16361,23.97878879775108,27.310438992376294,23.536140238830807,31.86463143139842,29.560553168507,0.16497851287095802,0.1593457780358324,0.17353944904271668,3.149707418288344,0.8568547154819388,16361,0.9926654849948047,0.995904895788766,0.16111827192238665,0.16333062795557074,0.17195398695895717,0.2425905114261594,0.055625046265724856,0.04426877298290229,0.04524015664122105,1.8497900398006948,0.983925187946947,16361,0.9919320334942852,0.9979830083735713,0.04463114637362925,0.05462873397493371,0.0729817732489816,0.14904127940900386,0.18007093390132428,0.17483413091241995,0.19214213404540748,3.363411991063049,0.7827149929710898,16361,0.9924821221196748,0.9954770490801296,0.17660403274083666,0.17812157753302066,0.18704994187599525,0.2565722943034161,0.1205160478502621,0.11818740553902785,0.11175419972854428,2.4284147985878937,0.9749404070655828,16361,0.9940712670374672,0.9982886131654545,0.11476260561729261,0.12505781096651053,0.11917723699419859,0.16066674000741774,0.05256666770291276,0.04261078304256904,0.041966206551522056,1.7334937586391304,0.9841085508220769,16361,0.9931544526618178,0.9987775808324675,0.03713196577787286,0.058323369566825975,0.06423525848449584,0.12311742575416688
08_000000_000020_s5,08,4,0,16101,23.97878879775108,27.310438992376294,23.536140238830807,31.86463143139842,29.560553168507,0.16780589807907917,0.15633054262270255,0.1699778683270714,3.2645508825664633,0.8460344078007577,16101,0.9892553257561643,0.9926091547108875,0.1502314160006477,0.17545127361058926,0.187819610302696,0.2735672235851155,0.05828082414190618,0.04120851680336078,0.04197168755259173,1.9439632984799746,0.9784485435687225,16101,0.990124836966648,0.9956524439475809,0.03333230865881121,0.07053374185091403,0.08536323598271789,0.17263552426793513,0.1828967261388023,0.17187963744187543,0.18857952902768949,3.4752434948917323,0.7728091422892988,16101,0.9889447860381343,0.9923607229364636,0.16587000565268317,0.19003532887319236,0.20270915012374624,0.28697717620385077,0.12148857694810064,0.12245799332931764,0.11557935816744713,2.2928916327440736,0.9754052543320291,16101,0.9916154276131918,0.9956524439475809,0.13178891224098307,0.1151325528839592,0.11157463756375396,0.10631899809726648,0.056297802432764533,0.0468032462029792,0.04586804947282008,1.7142642358189877,0.9827339916775356,16101,0.9898142972486181,0.9957145518911868,0.05031404034775952,0.05750556812849558,0.06499160136995387,0.11060663458335203
08_000025_000045_s5,08,0,-4,14815,18.582136140046288,20.430790122038403,17.283535916560307,24.93895388305577,22.062611171272522,0.17588459344742713,0.16183918672540193,0.17654002414434822,3.5121373782272127,0.7997300033749578,14815,0.9912251096861289,0.994802564967938,0.1556125787338757,0.17413136148051817,0.22257863787952165,0.371314591749742,0.09555224853778521,0.07898676710851352,0.08221900597699605,2.5549374551159194,0.9453256834289572,14815,0.9937900776240297,0.9954775565305434,0.07264929736925073,0.09506519946268747,0.14571004242999458,0.30876947989484177,0.23304490087547367,0.22038349018909242,0.24895146950173586,4.2647088376328615,0.19190010124873438,14815,0.974687816402295,0.9946675666554168,0.21404914234015807,0.23143308126423492,0.27677002457742284,0.41524985330972564,0.12115449768430775,0.12619841292137285,0.11915056704891591,2.1906433582383684,0.9842051974350321,14815,0.9937225784677691,0.9960175497806277,0.13706333664724,0.11576695107995835,0.08996379628877874,0.19689897669072956,0.04286481489481184,0.02364713249517868,0.023613495579208443,1.9661017864827603,0.9786702666216672,14815,0.9935200809989875,0.9957475531555856,0.023634999008020588,0.04291309932994221,0.08308394849030201,0.2535604299343155
08_000025_000045_s5,08,1,-3,14191,18.582136140046288,20.430790122038403,17.283535916560307,24.93895388305577,22.062611171272522,0.1727776511870358,0.15768414472917017,0.17159279009048545,3.7172938247354215,0.8141780001409344,14191,0.9893594531745472,0.9937988866182792,0.15204476567156797,0.16654446760352024,0.2277316748068273,0.3588494188668938,0.09351251331874469,0.07488131462708768,0.07771089986403545,2.8221466497917835,0.9429215700091608,14191,0.9918258050877317,0.9942216898033965,0.06809253627004146,0.09079132423733116,0.15148098503102725,0.2952264147592331,0.2299736583149066,0.21652715916972565,0.2440077666095224,4.442341010424566,0.2345853005425974,14191,0.9725177929673737,0.9933760834331619,0.21109256257980816,0.2235114812804105,0.2815209176520268,0.40365580074208035,0.12700522293409747,0.13186630907182906,0.12407946861225438,2.5178370420397993,0.9713903178070609,14191,0.9932351490381227,0.9957015009513072,0.13955907340980378,0.12893577360441139,0.08526537208936613,0.20311885917979874,0.04505518747218926,0.024969661624605663,0.02483331265819322,2.3031313761267396,0.9780847015714185,14191,0.9931646818406032,0.9943626241984356,0.022622874087555946,0.045976439535295566,0.08750032137369157,0.24039258968829186
08_000025_000045_s5,08,2,-2,13615,18.582136140046288,20.430790122038403,17.283535916560307,24.93895388305577,22.062611171272522,0.1828889516153328,0.16746126927796764,0.1832244955323863,4.167197011110456,0.7293426367976497,13615,0.986558942343004,0.9923613661402865,0.15690764956281955,0.1791847074352587,0.23903510451355864,0.37426911223194353,0.10444174619347504,0.08541986555366782,0.08926094381778715,3.2879069045387777,0.9277267719427102,13615,0.9903782592728608,0.9925082629452809,0.07395314110191875,0.10396544377287237,0.16363290521703464,0.31201793246392157,0.2392008295711757,0.22557229027495174,0.2555765327228312,4.875053760573219,0.1648182152038193,13615,0.9664340800587587,0.9922879177377892,0.21534880982081273,0.23499661949657272,0.29216943876209023,0.41799789909334767,0.11820001097617833,0.11978700102120987,0.11334466085345207,2.723428785980332,0.9715754682335659,13615,0.9908923980903416,0.9950055086301873,0.13499642512144655,0.11620271702997574,0.07550312243645337,0.19092034009207018,0.05153230663538997,0.02697657384760797,0.026906555153736633,2.742194513910188,0.9726037458685274,13615,0.9911861917003305,0.9937568857877341,0.02358840707327929,0.053173107416675275,0.10026086100323052,0.2570683386109663
08_000025_000045_s5,08,3,-1,12420,18.582136140046288,20.430790122038403,17.283535916560307,24.93895388305577,22.062611171272522,0.17813317522301317,0.1576914213258052,0.17160326706093176,4.220312691210578,0.7667471819645733,12420,0.9752012882447665,0.9826892109500805,0.14349996998878078,0.18701384198844628,0.24487751082860973,0.3175315809892799,0.10158160824930516,0.07501005460220045,0.07787684742498668,3.4153809598300344,0.9249597423510467,12420,0.980354267310789,0.9827697262479871,0.06265164137440929,0.11464665520126849,0.1699305896153777,0.24963583687894278,0.2345130361945745,0.21652913445452274,0.24400768876524814,4.886493632397349,0.2422705314009662,12420,0.9624798711755234,0.9823671497584541,0.2027053711067493,0.24181131110406362,0.2976487436840168,0.36522543248030864,0.13790463770870803,0.13323478762792465,0.1253171292434463,2.9904148739021776,0.9458937198067633,12420,0.981159420289855,0.9847826086956522,0.15686449704039945,0.13059963101471497,0.10252687652482367,0.1235543552239572,0.06035044536139319,0.02880908064303809,0.02866900856239396,2.9445654599173774,0.9616747181964573,12420,0.9809983896940419,0.9835748792270531,0.03483627806361757,0.06709740644283801,0.10703696601503408,0.18970374278674818
08_000025_000045_s5,08,4,0,13527,18.582136140046288,20.430790122038403,17.283535916560307,24.93895388305577,22.062611171272522,0.19296914432521095,0.18149479308454924,0.200275520657339,4.11618839591921,0.6415317513121904,13527,0.9906113698528868,0.9975604346861832,0.16878847679748152,0.1880592498387277,0.24195471227086765,0.30807562918105513,0.11798150142064741,0.1016612383525828,0.10699568987827934,3.062166097096895,0.9092925260589931,13527,0.9950469431507356,0.9974865084645523,0.08811367771935803,0.11658744016825559,0.16654324752278604,0.23923915453080297,0.24799341501646188,0.2386821105170249,0.27270428234764044,4.921909348708209,0.09152066237894581,13527,0.9645893398388409,0.9973386560212908,0.22570907401671117,0.24278714375056207,0.2949302029592646,0.356430303574192,0.10506861931236623,0.10152562564094211,0.09708146347166302,2.172613261363013,0.9620019220817624,13527,0.9957122791454128,0.9962297626968286,0.1261420108265862,0.10856789625861131,0.05834436836952721,0.0918505993358631,0.06071871010130395,0.036928094671047684,0.03745183217513226,2.33066567140642,0.9691727655799512,13527,0.9956383529237821,0.9970429511347675,0.027237636155703793,0.06464440961729061,0.10065623076709601,0.17847667037554393
08_000050_000070_s5,08,0,-4,14894,21.09173693254476,23.11218525179856,20.25563753858025,28.568182971897333,28.674226241614992,0.23106983142750645,0.22202062299502806,0.2510386893393286,5.708445163350429,0.29542097488921715,14894,0.9532697730629783,0.9955686853766618,0.2042269208987036,0.21833934501281602,0.2649754049323138,0.3579178461437232,0.15979727316380296,0.1476516796561666,0.15974406207216285,4.5429992925042475,0.832952866926279,14894,0.9665637169329931,0.9977172015576742,0.1289214090112298,0.14749180071926,0.1951615097252512,0.29641064013547647,0.26132967800056056,0.2528481888667786,0.29144412116362695,6.212104316187991,0.07190815093326172,14894,0.9428628978111991,0.9933530280649926,0.23547520992429308,0.24908980766130046,0.2939628962330229,0.3833706811298406,0.07809826013380919,0.06774641624294941,0.0661376519038388,2.5448859898817613,0.9446085672082718,14894,0.9963072378138847,0.9985228951255539,0.0816134773172975,0.07634632590564684,0.06588884359064252,0.13876666046194883,0.0806395766815394,0.07059048467568252,0.06888629211266828,2.5422242700830395,0.9444071438163019,14894,0.9963743789445414,0.9985228951255539,0.08551112213932383,0.07925680750008664,0.06694117379224179,0.1369713389070963
08_000050_000070_s5,08,1,-3,15117,21.09173693254476,23.11218525179856,20.25563753858025,28.568182971897333,28.674226241614992,0.22010131115863626,0.21034594654984864,0.23611277595561964,5.016659898240076,0.40894357346034266,15117,0.9605741880002646,0.9952371502282199,0.1921437779952913,0.21534153115620752,0.25324368691088217,0.3340863014266947,0.14629511795547462,0.1349252695301386,0.14484916305544582,3.9278036080403345,0.9007078123966396,15117,0.9766488059800225,0.9958325064496923,0.11475651723206844,0.1418446355762112,0.1821672845756233,0.27029619170962904,0.2507982613664102,0.2416023034263968,0.2765473652642876,5.494573229868048,0.06092478666402064,15117,0.9561420916848581,0.9944433419329232,0.2241680773590091,0.24605438922222422,0.2827074064329654,0.36048384476750434,0.08336368111028424,0.07760726797706946,0.07519840540232403,2.467940769862773,0.9660646953760667,15117,0.9951048488456704,0.9971555202751868,0.09421924040808267,0.07388665744316122,0.08502826466976396,0.13907100810779668,0.08655340789056631,0.08123025043797105,0.07838499030643264,2.480832419774407,0.9678507640404842,15117,0.9950386981543957,0.9971555202751868,0.09828091230912693,0.07726386004332565,0.08717321117126539,0.13795243539792987
08_000050_000070_s5,08,2,-2,15302,21.09173693254476,23.11218525179856,20.25563753858025,28.568182971897333,28.674226241614992,0.20346472284353975,0.19826564816607653,0.22096855625124068,4.116277579452948,0.52156580839106,15302,0.989935956084172,0.9930074500065351,0.1768751233127058,0.20683220724143228,0.23341558917062777,0.385279342327668,0.12763945746572816,0.12152022028029646,0.12956238846572288,3.1911888504964114,0.9464122336949419,15302,0.9909162201019475,0.9935956084172004,0.09802522683629539,0.1316287219177793,0.1605287264620644,0.326393185934914,0.23487445038323396,0.23003889844626446,0.2613905510616443,4.533985316335149,0.1765128741341001,15302,0.987779375245066,0.9922885897268331,0.2095046887561017,0.23798832988151458,0.263658517141933,0.4096475378433367,0.09382140488329219,0.08720414050162685,0.08373528919242124,2.4213532459831706,0.9885635864592863,15302,0.9923539406613514,0.9941184158933473,0.11490021713853689,0.08283245503784886,0.07811463291131696,0.24647686044701173,0.09746249713457779,0.0911377280337025,0.08732068971527496,2.4454959039335193,0.9885635864592863,15302,0.9922885897268331,0.9941837668278657,0.119038655503714,0.08648448179864408,0.08098077097519384,0.24695506843856196
08_000050_000070_s5,08,3,-1,15328,21.09173693254476,23.11218525179856,20.25563753858025,28.568182971897333,28.674226241614992,0.21004277645408156,0.20328013949402451,0.22724706088708957,4.3174108863552485,0.45002609603340293,15328,0.9850600208768268,0.988322025052192,0.19823939704751384,0.20295745835266926,0.2557564569971965,0.6883292870971645,0.13484074444271657,0.12704798420427194,0.1358694841764443,3.5612411636186416,0.9412839248434238,15328,0.9861691022964509,0.9887787056367432,0.12194461683410443,0.1271080769031571,0.1847033027305933,0.6584733027342305,0.24122829293333972,0.23485689682663047,0.2676905095539466,4.66716101523449,0.1278705636743215,15328,0.9836899791231732,0.987865344467641,0.22983366438541275,0.23443621510475832,0.2852590805723316,0.7006842531679036,0.0886150618873216,0.0806616844408555,0.07761294901960047,2.8560646011887094,0.983429018789144,15328,0.9882567849686847,0.9937369519832986,0.09151508647332349,0.08375641827017861,0.0781089311774397,0.577850511711478,0.0921264274745618,0.08464573439333781,0.08127858816635714,2.869901766931018,0.9831680584551148,15328,0.9882567849686847,0.9937369519832986,0.09515863592117914,0.08763077666690629,0.07990932569901975,0.5762835197858176
08_000050_000070_s5,08,4,0,14932,21.09173693254476,23.11218525179856,20.25563753858025,28.568182971897333,28.674226241614992,0.2060124157069779,0.1957459383105548,0.21782263465202023,4.418325775022931,0.5512992231449236,14932,0.9754888829359765,0.9799758907045272,0.20805718074713367,0.18561125168670567,0.2483463513966548,0.8663387631804571,0.1321728227727633,0.11897337176554906,0.12657529127904743,3.846754195522865,0.906040717921243,14932,0.9768952585052236,0.9807795338869542,0.13346598496056353,0.1092648667919746,0.1836402471544911,0.8535349043922922,0.23709214525036668,0.22760013692242526,0.25821317333070826,4.702528902786604,0.21028663273506562,14932,0.9692606482721672,0.9791722475221002,0.23895445999001072,0.21762385090795294,0.27768962391624297,0.871637239994329,0.1140449945456973,0.09339154573579066,0.08967365070529909,3.5950814461427485,0.9570720600053576,14932,0.9784355746048754,0.9859362443075275,0.09602235690588128,0.11812952771439167,0.145921564363381,0.8189594967013417,0.11743040490307192,0.0972114381402483,0.09306022696047567,3.6118670130849133,0.9547950709884812,14932,0.9783686043396732,0.9859362443075275,0.09929583179893701,0.1220883078169009,0.14795471580260397,0.8182874859213772
08_000075_000095_s5,08,0,-4,15955,26.351226569252372,30.616593595488254,24.52320053081098,35.67825914149443,33.186537970329574,0.19819722776519963,0.17571881437561732,0.19323731186786186,4.2103131992050296,0.7127546223754309,15955,0.9742400501410217,0.9825759949858979,0.1789611264568067,0.20515616673601594,0.24291417930790746,0.2567694390480479,0.07613947361057904,0.044114077954515156,0.04506522620678055,3.056535067944337,0.95531181447822,15955,0.9786900658100909,0.9827013475399561,0.05365470791635154,0.08388995614223853,0.12915068991067857,0.1415569583395233,0.2524913764926258,0.23272999539704545,0.2649150715463291,4.863624350761951,0.09971795675336885,15955,0.9598871827013475,0.9819492322156064,0.23411118699676073,0.259009017195991,0.29543364021798396,0.3083285121870149,0.13042085824498537,0.11942329133704922,0.11300856109081181,3.0476984388076356,0.9671576308367283,15955,0.978314008147916,0.9838921968035099,0.142134217081662,0.11254841466382462,0.12216420992806047,0.1574105198264134,0.07302850559616489,0.05072509198823077,0.04978014503681871,2.8236107338321075,0.9682858038232529,15955,0.9784393607019743,0.9832654340332184,0.06332069132564007,0.07097922479085066,0.1037407579662377,0.1187526391586101
08_000075_000095_s5,08,1,-3,15098,26.351226569252372,30.616593595488254,24.52320053081098,35.67825914149443,33.186537970329574,0.20695473626796101,0.18593086186800095,0.20569348094023177,4.391074668050462,0.6096834017750695,15098,0.9632401642601669,0.9811233275930586,0.19860890969808556,0.18678652579733918,0.2560766690718362,0.20737464597981659,0.08526672361734032,0.05501157232516813,0.056573166617169934,3.3299588317190363,0.9468141475692144,15098,0.9750960392104915,0.980527222148629,0.07074843572156836,0.06961240153619833,0.14319695022383722,0.0800693889195595,0.26084004455350307,0.24238083022224696,0.27757443413884986,5.03010444771718,0.126043184527752,15098,0.9512518214333024,0.9799973506424692,0.25355740451096526,0.2405282133991594,0.30752908309521426,0.26236031361353507,0.12752028326169582,0.11124756213975673,0.10596575613825499,3.4642144333433995,0.9665518611736654,15098,0.9768181216055106,0.9786064379387999,0.10739963078042289,0.14377060932939664,0.1539842108635776,0.11007467266758734,0.07523972826156529,0.04856448962643295,0.04783808591489225,3.1795094852199877,0.9607232746059081,15098,0.976155782222811,0.9796661809511193,0.050621060235648545,0.08213230774687,0.12582992710438667,0.06133694076088235
08_000075_000095_s5,08,2,-2,15585,26.351226569252372,30.616593595488254,24.52320053081098,35.67825914149443,33.186537970329574,0.19837189206455094,0.17439219345121515,0.19162367572030892,3.80158987877598,0.6153352582611485,15585,0.9748476098812962,0.9905678537054861,0.177897856941035,0.19387920527510455,0.23838819847885198,0.20384755356173462,0.07740447000044305,0.04508925315042697,0.045741355107018045,2.2988451797094194,0.9529034327879371,15585,0.9869104908565929,0.9917869746551171,0.057129361091858406,0.07354545998076974,0.11635772032328363,0.07532412544029199,0.25219781885425757,0.23159432349641695,0.26340807895508345,4.5840552830022085,0.11549566891241578,15585,0.9597690086621752,0.9914019890920757,0.23234984830612176,0.24768283183964648,0.2911885082733925,0.259077901144726,0.12121058017631431,0.12368170471956927,0.11720314294823941,2.358716895622627,0.9722810394610202,15585,0.988065447545717,0.9915303176130895,0.1566931584284851,0.1099063013218876,0.08236853956589134,0.09800620604333159,0.07485193566513694,0.06064929592672645,0.05956171304564606,1.9780914883680236,0.9670195700994546,15585,0.9878729547641963,0.9916586461341033,0.08385086425202341,0.06641051748695775,0.07456702130269693,0.04556513141147494
08_000075_000095_s5,08,3,-1,14605,26.351226569252372,30.616593595488254,24.52320053081098,35.67825914149443,33.186537970329574,0.19931233382521046,0.17966378344290257,0.19798283969988617,4.902875704025008,0.6302636083533036,14605,0.9715850736049298,0.9809654228004108,0.17351097480084823,0.19313718116197953,0.24102318841942708,0.48911077361995553,0.08088295899174329,0.05016098555451504,0.05105779841844571,3.8030299333589035,0.9576172543649435,14605,0.9765148921602191,0.9826086956521739,0.06187392234007832,0.06905470008482566,0.11961899424301975,0.406415189999446,0.2541601420078621,0.23638109537433738,0.26967771140578023,5.539118257852876,0.18377268058883944,14605,0.9599452242382746,0.9787743923313934,0.2294599473928914,0.24868621700695173,0.29362871170511007,0.5245519628992292,0.12602907605614308,0.11712110177788951,0.11121235287493514,3.7236517721675124,0.9653543307086614,14605,0.9793906196508045,0.9831564532694282,0.15142538620996535,0.11813094867332861,0.08260317890700883,0.3341615944807026,0.07713340451002151,0.05489854373040743,0.054275996753641476,3.5636352123204347,0.9693255734337556,14605,0.9783635741184525,0.983224922971585,0.09002697012368602,0.0620923851862303,0.06673679840881692,0.36014597713101537
