clip_id,variant,frame,n_valid,s_frame,mad_log,moge_mask_fraction,lingbot_conf_fraction
scene-0003_CAM_FRONT_fd842039_f56a5440,G51-B,0,64987,15.662474582619865,0.03644624453862155,0.9365889212827988,0.4277900349328921
scene-0003_CAM_FRONT_fd842039_f56a5440,G51-B,1,64224,15.7762889657308,0.03615078988072362,0.9367071152785439,0.4226223307855961
scene-0003_CAM_FRONT_fd842039_f56a5440,G51-B,2,63586,15.625320892575044,0.03239939290342542,0.9372455545924934,0.41828198460851523
scene-0003_CAM_FRONT_fd842039_f56a5440,G51-B,3,63238,15.496644596535518,0.03222694107566415,0.9356696346492265,0.4160494313555538
scene-0003_CAM_FRONT_fd842039_f56a5440,G51-B,4,63222,16.01687141971614,0.03901289727162216,0.935603971318257,0.41639088067659497
scene-0003_CAM_FRONT_f286cdae_21b99feb,G51-B,0,66175,18.6649394660596,0.01992084193404109,0.9343891996953222,0.4386901478738213
scene-0003_CAM_FRONT_f286cdae_21b99feb,G51-B,1,66575,18.710591051026338,0.01925669646231576,0.9332466577364537,0.44121161978304835
scene-0003_CAM_FRONT_f286cdae_21b99feb,G51-B,2,67811,19.142134232954554,0.020075612439780954,0.9306398234969664,0.447738554881412
scene-0003_CAM_FRONT_f286cdae_21b99feb,G51-B,3,65190,19.5496868407173,0.023569702157795636,0.9275996112730807,0.43101410448349226
scene-0003_CAM_FRONT_f286cdae_21b99feb,G51-B,4,65680,19.846536663385823,0.02837554777226181,0.921545452157697,0.434763480681848
scene-0003_CAM_FRONT_cd908fdc_6180726f,G51-B,0,69225,18.00890332209781,0.016546932450921314,0.9212893651669162,0.46033278176135317
scene-0003_CAM_FRONT_cd908fdc_6180726f,G51-B,1,68798,18.298058837117214,0.014541075220740662,0.9191093425787303,0.45614346124550204
scene-0003_CAM_FRONT_cd908fdc_6180726f,G51-B,2,69382,18.34904938811189,0.013027624906760238,0.9135148267801328,0.4594791584587503
scene-0003_CAM_FRONT_cd908fdc_6180726f,G51-B,3,66964,18.23637305160411,0.01408547413636585,0.9079465763139233,0.43970792950384785
scene-0003_CAM_FRONT_cd908fdc_6180726f,G51-B,4,67112,18.64149035253559,0.013846488444250848,0.9047487720957109,0.4406797468021958
scene-0003_CAM_FRONT_1ac0914c_e617edf7,G51-B,0,62477,16.881052541208785,0.01032159403712507,0.8994694402857668,0.41024479289785415
scene-0003_CAM_FRONT_1ac0914c_e617edf7,G51-B,1,61509,17.271677238440436,0.01253508873074427,0.8978081580122397,0.403888582460011
scene-0003_CAM_FRONT_1ac0914c_e617edf7,G51-B,2,55703,17.29788261925795,0.01722408926686514,0.8965474220576262,0.36576445249914635
scene-0003_CAM_FRONT_1ac0914c_e617edf7,G51-B,3,63160,17.80627662708484,0.013893678816889077,0.8958842224148347,0.4147295984030678
scene-0003_CAM_FRONT_1ac0914c_e617edf7,G51-B,4,63948,17.83537880466903,0.015911751914089667,0.891760565229953,0.4199038688834607
scene-0003_CAM_FRONT_7c0aa537_5e4e25f8,G51-B,0,61465,18.311559785980148,0.021327903320853103,0.8917933968954377,0.40359966380374546
scene-0003_CAM_FRONT_7c0aa537_5e4e25f8,G51-B,1,63291,18.278224734042556,0.018891727605922615,0.8863564730911669,0.4155897880387676
scene-0003_CAM_FRONT_7c0aa537_5e4e25f8,G51-B,2,61354,18.264834379685155,0.0261848053607745,0.8830470412103065,0.40463057809996583
scene-0003_CAM_FRONT_7c0aa537_5e4e25f8,G51-B,3,63010,18.974274501853575,0.027657525395548,0.8832571638694088,0.4152352060515326
scene-0003_CAM_FRONT_7c0aa537_5e4e25f8,G51-B,4,66456,18.90292063531029,0.037422462364606224,0.8889370419982665,0.43719959026081473
scene-0003_CAM_FRONT_c1ab33c3_57a79294,G51-B,0,74382,21.104986441609324,0.045441228075526086,0.8938749244871694,0.4886074120767998
scene-0003_CAM_FRONT_c1ab33c3_57a79294,G51-B,1,68004,20.661598131100263,0.04177002195462465,0.8857786357786358,0.45087069576865496
scene-0003_CAM_FRONT_c1ab33c3_57a79294,G51-B,2,64974,20.435743197156803,0.03409718449500865,0.8764675754471672,0.4266409266409266
scene-0003_CAM_FRONT_c1ab33c3_57a79294,G51-B,3,63312,20.565950087767924,0.02940909806713088,0.869408767367951,0.4157539463661913
scene-0003_CAM_FRONT_c1ab33c3_57a79294,G51-B,4,61825,20.358828505170315,0.025287678844710726,0.8595986657211147,0.40596354371864574
scene-0003_CAM_FRONT_3be45164_1b5a6659,G51-B,0,72101,25.358211117327365,0.04027558818393917,0.8577929241194547,0.47571770020749615
scene-0003_CAM_FRONT_3be45164_1b5a6659,G51-B,1,72292,24.371496775793652,0.02395812806958153,0.8618312189740761,0.47720825782050275
scene-0003_CAM_FRONT_3be45164_1b5a6659,G51-B,2,70876,25.02934097189557,0.04045739432241402,0.8643526908833031,0.46708953851810997
scene-0003_CAM_FRONT_3be45164_1b5a6659,G51-B,3,69212,25.49861462550607,0.03854158904677818,0.8667625351298821,0.4579623355133559
scene-0003_CAM_FRONT_3be45164_1b5a6659,G51-B,4,69400,26.777444067741087,0.053774574272925646,0.8668807291256271,0.4568985895516508
scene-0003_CAM_FRONT_b214d0d4_20684b77,G51-B,0,100074,22.990260163307845,0.055555561410355114,0.8776363827384236,0.6851968586662465
scene-0003_CAM_FRONT_b214d0d4_20684b77,G51-B,1,99797,23.27894214989059,0.04518643887592377,0.8812478659417435,0.6820187534473249
scene-0003_CAM_FRONT_b214d0d4_20684b77,G51-B,2,103560,23.794454331563706,0.0832735334905359,0.8881884800252147,0.7083431828329787
scene-0003_CAM_FRONT_b214d0d4_20684b77,G51-B,3,101731,23.591961239575447,0.08759062023834119,0.8955296404275996,0.6893008168518373
scene-0003_CAM_FRONT_b214d0d4_20684b77,G51-B,4,103446,23.47901714513557,0.0831729323224113,0.9027460405011425,0.7024728810443096
scene-0012_CAM_FRONT_88a090c5_20a871df,G51-B,0,117961,22.153811674388802,0.08068289350265134,0.9633795603183358,0.7811638168781025
scene-0012_CAM_FRONT_88a090c5_20a871df,G51-B,1,122381,22.98603267946105,0.07752950699800065,0.9593609644630052,0.8110078008037191
scene-0012_CAM_FRONT_88a090c5_20a871df,G51-B,2,114603,22.397099204881652,0.08203034541544918,0.9523481207154677,0.7602697449636225
scene-0012_CAM_FRONT_88a090c5_20a871df,G51-B,3,109144,23.083984374999996,0.11370258402682665,0.9448887663173378,0.7244766632521734
scene-0012_CAM_FRONT_88a090c5_20a871df,G51-B,4,107696,24.14709931238819,0.1417187197267442,0.9343891996953222,0.7141478212906784
scene-0012_CAM_FRONT_c51b9abd_745713b3,G51-B,0,112502,24.082016225961542,0.1275070112010397,0.9195295878969348,0.7452262758385207
scene-0012_CAM_FRONT_c51b9abd_745713b3,G51-B,1,109056,25.59877846596597,0.10171812897864352,0.9095224962571902,0.7257111338743992
scene-0012_CAM_FRONT_c51b9abd_745713b3,G51-B,2,109687,25.496023470188288,0.09790514481037205,0.9014393402148504,0.736781971475849
scene-0012_CAM_FRONT_c51b9abd_745713b3,G51-B,3,104933,25.792252549411266,0.10783907819421801,0.8873020250571271,0.7056903842618129
scene-0012_CAM_FRONT_c51b9abd_745713b3,G51-B,4,103665,24.803987771739127,0.08429402914913053,0.8918656265595041,0.6849276390092717
scene-0012_CAM_FRONT_d34f2eec_5254163f,G51-B,0,101221,23.361565462945045,0.06276288640194583,0.9063246920389778,0.6734562550889082
scene-0012_CAM_FRONT_d34f2eec_5254163f,G51-B,1,102688,23.656022451456312,0.06517610585733369,0.8993775116224095,0.6809878391511045
scene-0012_CAM_FRONT_d34f2eec_5254163f,G51-B,2,105647,22.533318118772648,0.03789847700951787,0.8948073437869356,0.7045347096367505
scene-0012_CAM_FRONT_d34f2eec_5254163f,G51-B,3,105344,21.77766209636084,0.03141447477925152,0.8732041078979854,0.703996270322801
scene-0012_CAM_FRONT_d34f2eec_5254163f,G51-B,4,90176,22.68796880564459,0.05396635227380897,0.8601502377012581,0.5970504031728522
