clip_id,group,condition,corrector,is_oracle,scale_used,tp,fp,fn,precision,recall,iou,n_pred_occupied,canonical_occupied,native_occupied,frac_pred_in_eval_mask,n_fused_points,frac_points_in_grid
scene-0003_CAM_FRONT_fd842039_f56a5440,scene-0003,M0,raw,0,27.3665,167,347,11829,0.32490272373540857,0.013921307102367456,0.013529935996111157,514,5250,1395,0.36845878136200716,319986,0.28209359159463226
scene-0003_CAM_FRONT_fd842039_f56a5440,scene-0003,M0,dilate_r2,0,27.3665,492,1684,11504,0.2261029411764706,0.04101367122374125,0.035964912280701755,2176,32605,5285,0.4117313150425733,319986,0.28209359159463226
scene-0003_CAM_FRONT_fd842039_f56a5440,scene-0003,M1,raw,0,20.150173352169045,119,270,11877,0.3059125964010283,0.009919973324441481,0.009701614218164031,389,6282,1677,0.2319618366129994,319986,0.5583463026507409
scene-0003_CAM_FRONT_fd842039_f56a5440,scene-0003,M1,dilate_r2,0,20.150173352169045,705,1393,11291,0.33603431839847475,0.058769589863287765,0.05265516468742998,2098,38131,6032,0.34781167108753314,319986,0.5583463026507409
scene-0003_CAM_FRONT_fd842039_f56a5440,scene-0003,OR,raw,1,14.237754754080942,418,156,11578,0.7282229965156795,0.03484494831610537,0.03439763001974983,574,6165,1687,0.34024896265560167,319986,0.9958966954804273
scene-0003_CAM_FRONT_fd842039_f56a5440,scene-0003,OR,dilate_r2,1,14.237754754080942,1348,964,10648,0.583044982698962,0.11237079026342114,0.10401234567901235,2312,37487,5838,0.3960260363138061,319986,0.9958966954804273
scene-0003_CAM_FRONT_fd842039_f56a5440,scene-0003,G51-A,raw,0,15.677017357791586,250,169,11746,0.5966587112171837,0.020840280093364454,0.02055076037813399,419,6520,1732,0.24191685912240185,319986,0.9745145100098129
scene-0003_CAM_FRONT_fd842039_f56a5440,scene-0003,G51-A,dilate_r2,0,15.677017357791586,1209,1067,10787,0.531195079086116,0.1007835945315105,0.09255148128301309,2276,38441,5927,0.3840053990214274,319986,0.9745145100098129
scene-0003_CAM_FRONT_fd842039_f56a5440,scene-0003,G51-B,raw,0,15.72453043336237,255,168,11741,0.6028368794326241,0.021257085695231742,0.020963498849062807,423,6566,1747,0.24212936462507156,319986,0.9731894520385267
scene-0003_CAM_FRONT_fd842039_f56a5440,scene-0003,G51-B,dilate_r2,0,15.72453043336237,1211,1069,10785,0.531140350877193,0.10095031677225742,0.0926903941829315,2280,38454,5951,0.38312888590152916,319986,0.9731894520385267
scene-0003_CAM_FRONT_fd842039_f56a5440,scene-0003,G51-C,raw,0,15.677017357791586,250,169,11746,0.5966587112171837,0.020840280093364454,0.02055076037813399,419,6520,1732,0.24191685912240185,319986,0.9745145100098129
scene-0003_CAM_FRONT_fd842039_f56a5440,scene-0003,G51-C,dilate_r2,0,15.677017357791586,1209,1067,10787,0.531195079086116,0.1007835945315105,0.09255148128301309,2276,38441,5927,0.3840053990214274,319986,0.9745145100098129
scene-0003_CAM_FRONT_fd842039_f56a5440,scene-0003,G51-D,raw,0,15.72453043336237,255,168,11741,0.6028368794326241,0.021257085695231742,0.020963498849062807,423,6566,1747,0.24212936462507156,319986,0.9731894520385267
scene-0003_CAM_FRONT_fd842039_f56a5440,scene-0003,G51-D,dilate_r2,0,15.72453043336237,1211,1069,10785,0.531140350877193,0.10095031677225742,0.0926903941829315,2280,38454,5951,0.38312888590152916,319986,0.9731894520385267
scene-0003_CAM_FRONT_f286cdae_21b99feb,scene-0003,M0,raw,0,27.3665,333,798,11595,0.29442970822281167,0.027917505030181086,0.02616690240452617,1131,10742,3085,0.366612641815235,334040,0.2545832834391091
scene-0003_CAM_FRONT_f286cdae_21b99feb,scene-0003,M0,dilate_r2,0,27.3665,1127,3125,10801,0.26505174035747886,0.09448356807511737,0.07486879691755796,4252,64733,9972,0.42639390292819895,334040,0.2545832834391091
scene-0003_CAM_FRONT_f286cdae_21b99feb,scene-0003,M1,raw,0,20.855235603336308,291,519,11637,0.3592592592592593,0.024396378269617706,0.023379127500602555,810,12116,3144,0.25763358778625955,334040,0.8180128128367861
