clip_id,group,variant,s_moge,ok,n_valid_total,mad_log_clip,per_frame_log_scale_std,fov_supplied_deg,fov_calibrated_deg,fov_moge_out_deg,teacher_w,teacher_h,crop_x0,crop_x1
08_000000_000020_s5,08,G51-D,31.86463143139842,1,173233,0.07795772871970463,0.02634184348149486,54.53977450297614,54.53977450297614,54.53976821899414,308,154,100,408
08_000025_000045_s5,08,G51-D,24.93895388305577,1,151013,0.07925446754801913,0.023576497161467563,54.53977450297614,54.53977450297614,54.53976821899414,308,154,100,408
08_000050_000070_s5,08,G51-D,28.568182971897333,1,159341,0.07017116348077845,0.0445968451335203,54.53977450297614,54.53977450297614,54.53976821899414,308,154,100,408
08_000075_000095_s5,08,G51-D,35.67825914149443,1,161132,0.07652562382009265,0.02637055151099866,54.53977450297614,54.53977450297614,54.53976821899414,308,154,100,408
08_000100_000120_s5,08,G51-D,41.76054284793815,1,175275,0.11451421706948528,0.01862460072282007,54.53977450297614,54.53977450297614,54.53976821899414,308,154,100,408
08_000125_000145_s5,08,G51-D,38.43475664751468,1,183312,0.11497095870512286,0.02943021274227792,54.53977450297614,54.53977450297614,54.53976821899414,308,154,100,408
08_000150_000170_s5,08,G51-D,37.616322031793345,1,179354,0.13524535580538455,0.012732107702599698,54.53977450297614,54.53977450297614,54.53976821899414,308,154,100,408
08_000175_000195_s5,08,G51-D,43.25523235701106,1,191141,0.13811438133373777,0.03500891459602764,54.53977450297614,54.53977450297614,54.53976821899414,308,154,100,408
08_000200_000220_s5,08,G51-D,38.91999308876269,1,170575,0.11517451585239247,0.05781171854183209,54.53977450297614,54.53977450297614,54.53976821899414,308,154,100,408
08_000225_000245_s5,08,G51-D,38.42738528299725,1,181673,0.08481633220176699,0.03570494921590272,54.53977450297614,54.53977450297614,54.53976821899414,308,154,100,408
08_000250_000270_s5,08,G51-D,32.35783425174015,1,165616,0.11182340922483269,0.03642526518756611,54.53977450297614,54.53977450297614,54.53976821899414,308,154,100,408
08_000275_000295_s5,08,G51-D,39.712498280132074,1,171490,0.1162973420351694,0.044871060431531884,54.53977450297614,54.53977450297614,54.53976821899414,308,154,100,408
08_000300_000320_s5,08,G51-D,41.68842451445348,1,179585,0.14362496495338917,0.04346895658801098,54.53977450297614,54.53977450297614,54.53976821899414,308,154,100,408
08_000325_000345_s5,08,G51-D,38.894164979136,1,185947,0.10806844976323626,0.03007563073732057,54.53977450297614,54.53977450297614,54.53976821899414,308,154,100,408
08_000350_000370_s5,08,G51-D,39.113392975370765,1,170751,0.12285604287849194,0.025286389451076922,54.53977450297614,54.53977450297614,54.53976821899414,308,154,100,408
08_000375_000395_s5,08,G51-D,36.47289146505376,1,163650,0.10380460112178658,0.01895045441560738,54.53977450297614,54.53977450297614,54.53976821899414,308,154,100,408
08_000400_000420_s5,08,G51-D,36.15603530534351,1,157043,0.12078372780712998,0.05035385040228899,54.53977450297614,54.53977450297614,54.53976821899414,308,154,100,408
08_000425_000445_s5,08,G51-D,33.04842669930877,1,152884,0.08323840282020822,0.018385391310162178,54.53977450297614,54.53977450297614,54.53976821899414,308,154,100,408
08_000450_000470_s5,08,G51-D,33.886234564305674,1,160267,0.0943316414887101,0.02320229044014368,54.53977450297614,54.53977450297614,54.53976821899414,308,154,100,408
08_000475_000495_s5,08,G51-D,29.637836545889982,1,184989,0.06659247982922878,0.022179268851330196,54.53977450297614,54.53977450297614,54.53976821899414,308,154,100,408
08_000500_000520_s5,08,G51-D,25.29818119085173,1,184384,0.07299560576487285,0.03938867398218873,54.53977450297614,54.53977450297614,54.53976821899414,308,154,100,408
08_000525_000545_s5,08,G51-D,26.007535204475303,1,181199,0.06841311452217536,0.03130124755706842,54.53977450297614,54.53977450297614,54.53976821899414,308,154,100,408
08_000550_000570_s5,08,G51-D,26.431234835549965,1,187112,0.04953184443797798,0.02335704948099303,54.53977450297614,54.53977450297614,54.53976821899414,308,154,100,408
08_000575_000595_s5,08,G51-D,23.49702655144458,1,182288,0.05142130940164491,0.021655154011599197,54.53977450297614,54.53977450297614,54.53976821899414,308,154,100,408
08_000600_000620_s5,08,G51-D,27.368720769557825,1,170660,0.0576303985676625,0.028488799682292777,54.53977450297614,54.53977450297614,54.53976821899414,308,154,100,408
08_000625_000645_s5,08,G51-D,26.924591249159384,1,184703,0.05279097657163412,0.010359012991500225,54.53977450297614,54.53977450297614,54.53976821899414,308,154,100,408
