clip_id,group,condition,corrector,is_oracle,scale_used,tp,fp,fn,precision,recall,iou,n_pred_occupied,canonical_occupied,native_occupied,frac_pred_in_eval_mask,n_fused_points,frac_points_in_grid
08_000000_000020_s5,08,M0,raw,0,27.3665,12473,27843,95244,0.3093808909614049,0.11579416433803393,0.09201091767483033,40316,44850,44850,0.898907469342252,313346,0.8263229784327868
08_000000_000020_s5,08,M0,dilate_r2,0,27.3665,52599,184145,55118,0.2221766971919035,0.48830732382075254,0.1802187335110429,236744,291445,291445,0.8123110706994459,313346,0.8263229784327868
08_000000_000020_s5,08,M1,raw,0,28.35684511457263,16173,25362,91544,0.38938244853737813,0.15014343139894354,0.12152931717250656,41535,46934,46934,0.8849661226403034,313346,0.815954248658033
08_000000_000020_s5,08,M1,dilate_r2,0,28.35684511457263,56206,181126,51511,0.23682436418182123,0.5217932174122933,0.19459014066465175,237332,303321,303321,0.7824450005110097,313346,0.815954248658033
08_000000_000020_s5,08,OR,raw,1,29.560553168507,19324,21864,88393,0.4691657764397397,0.1793960099148695,0.14912680099705974,41188,48649,48649,0.8466361076281116,313342,0.8026533308653165
08_000000_000020_s5,08,OR,dilate_r2,1,29.560553168507,59304,175172,48413,0.2529214077346935,0.550553765886536,0.20963699542930267,234476,316248,316248,0.7414307758468037,313342,0.8026533308653165
08_000000_000020_s5,08,G51-A,raw,0,23.97878879775108,2675,33221,105042,0.0745208379763762,0.024833591726468433,0.01897997701116803,35896,38201,38201,0.9396612654119002,313346,0.8600173610003
08_000000_000020_s5,08,G51-A,dilate_r2,0,23.97878879775108,39194,178890,68523,0.1797197410172227,0.36386085761764625,0.1367517192531934,218084,239664,239664,0.9099572735162561,313346,0.8600173610003
08_000000_000020_s5,08,G51-B,raw,0,27.310438992376294,12281,27984,95436,0.3050043462063827,0.11401171588514347,0.09050043846397594,40265,44640,44640,0.9019937275985663,313346,0.8268782751335584
08_000000_000020_s5,08,G51-B,dilate_r2,0,27.310438992376294,52392,184420,55325,0.2212387885749033,0.48638562158248,0.17934051489540867,236812,290865,290865,0.814164646829285,313346,0.8268782751335584
08_000000_000020_s5,08,G51-C,raw,0,23.536140238830807,2162,32981,105555,0.06152007512164585,0.020071112266401774,0.015366245433481642,35143,37202,37202,0.9446535132519757,313346,0.8639969873558303
08_000000_000020_s5,08,G51-C,dilate_r2,0,23.536140238830807,37186,177304,70531,0.17336938785024944,0.3452194175478337,0.13046757958185537,214490,233043,233043,0.9203880828859909,313346,0.8639969873558303
08_000000_000020_s5,08,G51-D,raw,0,31.86463143139842,13529,18080,94188,0.42801100952260435,0.12559763082893136,0.10754628488755694,31609,49983,49983,0.6323950143048637,313306,0.7474577569532661
08_000000_000020_s5,08,G51-D,dilate_r2,0,31.86463143139842,59078,159939,48639,0.2697416182305483,0.5484556755201129,0.22072361538691454,219017,332671,332671,0.658359159650225,313306,0.7474577569532661
08_000025_000045_s5,08,M0,raw,0,27.3665,2769,10559,68747,0.2077581032412965,0.03871860842328989,0.03373743527261651,13328,20783,20783,0.6412933647692826,272024,0.5424374319912949
08_000025_000045_s5,08,M0,dilate_r2,0,27.3665,14689,66502,56827,0.18091906738431598,0.20539459701325577,0.1064281470532829,81191,112308,112308,0.722931581009367,272024,0.5424374319912949
08_000025_000045_s5,08,M1,raw,0,22.664676650539917,8549,12074,62967,0.4145371672404597,0.11953968342748476,0.10227299916257926,20623,23886,23886,0.8633927823829859,272024,0.9210032938270153
08_000025_000045_s5,08,M1,dilate_r2,0,22.664676650539917,20901,84290,50615,0.19869570590639885,0.292256278315342,0.13414759380254931,105191,120870,120870,0.8702821212873335,272024,0.9210032938270153
08_000025_000045_s5,08,OR,raw,1,22.062611171272522,8021,14061,63495,0.36323702563173627,0.11215672017450641,0.093728455075546,22082,24790,24790,0.89076240419524,272024,0.9499455930359086
08_000025_000045_s5,08,OR,dilate_r2,1,22.062611171272522,20207,93109,51309,0.1783243319566522,0.2825521561608591,0.12274563401670463,113316,126937,126937,0.892694801358154,272024,0.9499455930359086
08_000025_000045_s5,08,G51-A,raw,0,18.582136140046288,1510,18864,70006,0.07411406694807107,0.021114156272722187,0.016707236114184554,20374,20962,20962,0.9719492414845912,272024,0.9985957121430462
08_000025_000045_s5,08,G51-A,dilate_r2,0,18.582136140046288,14270,97980,57246,0.12712694877505568,0.1995357682196991,0.0841907773634776,112250,116637,116637,0.9623875785556899,272024,0.9985957121430462
08_000025_000045_s5,08,G51-B,raw,0,20.430790122038403,4470,18670,67046,0.19317199654278305,0.0625034957212372,0.049564233916572414,23140,24742,24742,0.935251798561151,272024,0.9956915566273564
08_000025_000045_s5,08,G51-B,dilate_r2,0,20.430790122038403,17557,99660,53959,0.14978202820410008,0.2454975110464791,0.10256694863765949,117217,125616,125616,0.9331374984078461,272024,0.9956915566273564
08_000025_000045_s5,08,G51-C,raw,0,17.283535916560307,527,18250,70989,0.02806625126484529,0.007368980368029532,0.005870819686741083,18777,18992,18992,0.9886794439764112,272024,0.9995919477693145
08_000025_000045_s5,08,G51-C,dilate_r2,0,17.283535916560307,11024,94683,60492,0.10428826851580311,0.1541473236758208,0.06633012232323901,105707,108506,108506,0.9742041914732826,272024,0.9995919477693145
08_000025_000045_s5,08,G51-D,raw,0,24.93895388305577,6178,9830,65338,0.3859320339830085,0.08638626321382628,0.07594718855260246,16008,22001,22001,0.7276032907595109,272024,0.7301488103990824
08_000025_000045_s5,08,G51-D,dilate_r2,0,24.93895388305577,20263,69912,51253,0.22470751316883836,0.2833351977179932,0.14327431625986367,90175,113868,113868,0.7919257385744898,272024,0.7301488103990824
08_000050_000070_s5,08,M0,raw,0,27.3665,16532,10275,112011,0.6167045920841572,0.12861065946803793,0.11909118414038525,26807,30064,30064,0.8916644491750931,268474,0.7622563078733882
08_000050_000070_s5,08,M0,dilate_r2,0,27.3665,51162,100865,77381,0.3365323264946358,0.3980146721330605,0.2230175059283024,152027,200449,200449,0.7584323194428508,268474,0.7622563078733882
08_000050_000070_s5,08,M1,raw,0,25.076819286379415,9992,16565,118551,0.37624731709153897,0.07773274312875847,0.06885905670259393,26557,27910,27910,0.9515227517018989,268474,0.7846271892250274
08_000050_000070_s5,08,M1,dilate_r2,0,25.076819286379415,46720,114987,81823,0.2889176102456913,0.36345814241148877,0.19184494723442697,161707,191115,191115,0.8461240614289826,268474,0.7846271892250274
08_000050_000070_s5,08,OR,raw,1,28.674226241614992,15505,9488,113038,0.6203737046372985,0.12062111511323059,0.11232983894922155,24993,30594,30594,0.8169248872327908,268474,0.7389616871652376
08_000050_000070_s5,08,OR,dilate_r2,1,28.674226241614992,51199,92739,77344,0.35570176048020674,0.3983025135557751,0.2313744452779711,143938,203861,203861,0.706059520948097,268474,0.7389616871652376
08_000050_000070_s5,08,G51-A,raw,0,21.09173693254476,600,22772,127943,0.025671743967140167,0.004667698746722886,0.003965238079503023,23372,23551,23551,0.9923994734830792,268474,0.8196622391739983
08_000050_000070_s5,08,G51-A,dilate_r2,0,21.09173693254476,30665,124345,97878,0.1978259467131153,0.23855830344709553,0.1212592135648983,155010,161658,161658,0.9588761459377204,268474,0.8196622391739983
08_000050_000070_s5,08,G51-B,raw,0,23.11218525179856,3029,22462,125514,0.11882625240280884,0.023564099173039373,0.02005893844574683,25491,26000,26000,0.980423076923077,268474,0.8024240708597481
08_000050_000070_s5,08,G51-B,dilate_r2,0,23.11218525179856,39923,122565,88620,0.24569814386293143,0.31058089510902964,0.15898736798509008,162488,177971,177971,0.9130026802119446,268474,0.8024240708597481
08_000050_000070_s5,08,G51-C,raw,0,20.25563753858025,386,22047,128157,0.017206793563054427,0.003002886193725057,0.0025632512118998604,22433,22596,22596,0.9927863338644007,268474,0.8243144587557827
08_000050_000070_s5,08,G51-C,dilate_r2,0,20.25563753858025,25777,124370,102766,0.17167842181328966,0.20053211765712642,0.10192042322854104,150147,155018,155018,0.9685778425731205,268474,0.8243144587557827
08_000050_000070_s5,08,G51-D,raw,0,28.568182971897333,15671,9522,112872,0.622037867661652,0.1219125117664906,0.11350450874588057,25193,30599,30599,0.823327559724174,268474,0.741870721187154
08_000050_000070_s5,08,G51-D,dilate_r2,0,28.568182971897333,51282,93397,77261,0.35445365256879025,0.3989482118824051,0.2310624493106245,144679,203843,203843,0.7097570188821789,268474,0.741870721187154
08_000075_000095_s5,08,M0,raw,0,27.3665,1806,27697,95007,0.061214113818933664,0.018654519537665396,0.014504859047466068,29503,29912,29912,0.9863265579031827,273500,0.6958939670932358
08_000075_000095_s5,08,M0,dilate_r2,0,27.3665,32041,150125,64772,0.17588902429652076,0.3309576193279828,0.12975321740679846,182166,192537,192537,0.946135028591907,273500,0.6958939670932358
08_000075_000095_s5,08,M1,raw,0,30.61955444057437,10972,22738,85841,0.32548205280332243,0.11333188724654747,0.09177673126950005,33710,34753,34753,0.9699882024573419,273500,0.6825594149908593
08_000075_000095_s5,08,M1,dilate_r2,0,30.61955444057437,44990,155602,51823,0.22428611310520857,0.4647103178292171,0.17823821880633084,200592,225000,225000,0.89152,273500,0.6825594149908593
08_000075_000095_s5,08,OR,raw,1,33.186537970329574,15032,19344,81781,0.437281824528741,0.15526840403664796,0.12941105572630146,34376,38941,38941,0.8827713720757042,273500,0.6708446069469836
08_000075_000095_s5,08,OR,dilate_r2,1,33.186537970329574,53935,151649,42878,0.2623501828936104,0.5571049342546972,0.21707544815706226,205584,244798,244798,0.839810782767833,273500,0.6708446069469836
08_000075_000095_s5,08,G51-A,raw,0,26.351226569252372,944,27197,95869,0.03354536086137664,0.009750756613264747,0.007612289331505524,28141,28457,28457,0.9888955265839688,273500,0.7002632541133456
08_000075_000095_s5,08,G51-A,dilate_r2,0,26.351226569252372,27914,145418,68899,0.16104354648881913,0.2883290467189324,0.11523710838001743,173332,180567,180567,0.9599317704785482,273500,0.7002632541133456
08_000075_000095_s5,08,G51-B,raw,0,30.616593595488254,10962,22741,85851,0.32525294484170547,0.11322859533327136,0.09169078408083377,33703,34741,34741,0.9701217581531908,273500,0.6825703839122487
08_000075_000095_s5,08,G51-B,dilate_r2,0,30.616593595488254,44984,155685,51829,0.22417015084542205,0.4646483426812515,0.17815586658112142,200669,225061,225061,0.8916204939994046,273500,0.6825703839122487
08_000075_000095_s5,08,G51-C,raw,0,24.52320053081098,407,25054,96406,0.015985232316091277,0.004203980870337661,0.003339706401240697,25461,25665,25665,0.9920514319111631,273500,0.7084899451553931
08_000075_000095_s5,08,G51-C,dilate_r2,0,24.52320053081098,19563,137036,77250,0.12492416937528336,0.20206996994205323,0.08365654760122986,156599,160127,160127,0.977967488306157,273500,0.7084899451553931
08_000075_000095_s5,08,G51-D,raw,0,35.67825914149443,12303,16954,84510,0.4205147486071709,0.12708004090359765,0.10814207986498721,29257,40466,40466,0.7230020263925271,273436,0.6115617548530552
08_000075_000095_s5,08,G51-D,dilate_r2,0,35.67825914149443,58042,141737,38771,0.2905310367956592,0.5995269230371955,0.24331167470132048,199779,256263,256263,0.7795858161342059,273436,0.6115617548530552
08_000100_000120_s5,08,M0,raw,0,27.3665,2401,30805,138389,0.07230620972113473,0.017053768023297108,0.013992249191410006,33206,33796,33796,0.9825423126997278,296897,0.6029060583299932
08_000100_000120_s5,08,M0,dilate_r2,0,27.3665,32162,165596,108628,0.1626331172443087,0.22843951985226224,0.10497215930231799,197758,210601,210601,0.9390173835831739,296897,0.6029060583299932
08_000100_000120_s5,08,M1,raw,0,35.43657313946183,14370,18723,126420,0.4342308040975433,0.10206690816109099,0.09008670139737827,33093,41221,41221,0.8028189515053007,295755,0.559821473855049
08_000100_000120_s5,08,M1,dilate_r2,0,35.43657313946183,60007,156040,80783,0.2777497488972307,0.4262163505930819,0.20215948522723445,216047,282750,282750,0.7640919540229885,295755,0.559821473855049
08_000100_000120_s5,08,OR,raw,1,38.16029060143091,8159,18632,132631,0.3045425702661341,0.0579515590595923,0.05117863281102984,26791,43083,43083,0.6218462038391013,295120,0.5444564922743291
08_000100_000120_s5,08,OR,dilate_r2,1,38.16029060143091,62057,144827,78733,0.29996036426209854,0.44077704382413524,0.2172734816204918,206884,296093,296093,0.6987129043915257,295120,0.5444564922743291
08_000100_000120_s5,08,G51-A,raw,0,28.464897495872318,3674,30909,137116,0.10623716855102218,0.026095603380921942,0.02139791146133641,34583,35408,35408,0.976700180750113,296897,0.5978773783500675
08_000100_000120_s5,08,G51-A,dilate_r2,0,28.464897495872318,35447,169768,105343,0.1727310381794703,0.251772142907877,0.11413970981265979,205215,223345,223345,0.9188251360003582,296897,0.5978773783500675
