clip_id,group,variant,s_moge,ok,n_valid_total,mad_log_clip,per_frame_log_scale_std,fov_supplied_deg,fov_calibrated_deg,fov_moge_out_deg,teacher_w,teacher_h,crop_x0,crop_x1
scene-0003_CAM_FRONT_fd842039_f56a5440,scene-0003,G51-B,15.72453043336237,1,319257,0.03660863298757633,0.011107775071457656,64.5614792846793,64.5614792846793,64.56147003173828,518,294,0,518
scene-0003_CAM_FRONT_f286cdae_21b99feb,scene-0003,G51-B,19.18797059547244,1,331431,0.031098832337626447,0.024042624280678226,64.5614792846793,64.5614792846793,64.56147003173828,518,294,0,518
scene-0003_CAM_FRONT_cd908fdc_6180726f,scene-0003,G51-B,18.364490039213788,1,341481,0.018441521735597544,0.011115559469482571,64.5614792846793,64.5614792846793,64.56147003173828,518,294,0,518
scene-0003_CAM_FRONT_1ac0914c_e617edf7,scene-0003,G51-B,17.509628099610698,1,306797,0.024462508782645997,0.020717824018542514,64.5614792846793,64.5614792846793,64.56147003173828,518,294,0,518
scene-0003_CAM_FRONT_7c0aa537_5e4e25f8,scene-0003,G51-B,18.568461736580726,1,315576,0.03023439170372688,0.017269767990866023,64.5614792846793,64.5614792846793,64.56147003173828,518,294,0,518
scene-0003_CAM_FRONT_c1ab33c3_57a79294,scene-0003,G51-B,20.581309420192817,1,332497,0.035111586966758424,0.012603934317484652,64.5614792846793,64.5614792846793,64.56147003173828,518,294,0,518
scene-0003_CAM_FRONT_3be45164_1b5a6659,scene-0003,G51-B,25.127786433365284,1,353881,0.044333323474270436,0.030760932757746388,64.5614792846793,64.5614792846793,64.56147003173828,518,294,0,518
scene-0003_CAM_FRONT_b214d0d4_20684b77,scene-0003,G51-B,23.320215065192745,1,508608,0.06854852571773362,0.011753129124714065,64.5614792846793,64.5614792846793,64.56147003173828,518,294,0,518
scene-0012_CAM_FRONT_88a090c5_20a871df,scene-0012,G51-B,22.775196344080104,1,571785,0.1014712017714019,0.0298752461117169,64.5614792846793,64.5614792846793,64.56147003173828,518,294,0,518
scene-0012_CAM_FRONT_c51b9abd_745713b3,scene-0012,G51-B,25.123433278782212,1,539843,0.10473601930228504,0.025338277251582622,64.5614792846793,64.5614792846793,64.56147003173828,518,294,0,518
scene-0012_CAM_FRONT_d34f2eec_5254163f,scene-0012,G51-B,22.61898884500427,1,505076,0.052155782458704,0.02904265077125804,64.5614792846793,64.5614792846793,64.56147003173828,518,294,0,518
scene-0012_CAM_FRONT_62697033_a2d86049,scene-0012,G51-B,26.34782436230657,1,448546,0.08938087380139459,0.02847313771303752,64.5614792846793,64.5614792846793,64.56147003173828,518,294,0,518
scene-0012_CAM_FRONT_114d8a1f_b76ef036,scene-0012,G51-B,28.6211290806953,1,480833,0.09643662406365383,0.024487523098139896,64.5614792846793,64.5614792846793,64.56147003173828,518,294,0,518
scene-0012_CAM_FRONT_5e8e7172_56a8812e,scene-0012,G51-B,26.416319118107765,1,361156,0.05897972930858608,0.02688004347326814,64.5614792846793,64.5614792846793,64.56147003173828,518,294,0,518
scene-0012_CAM_FRONT_2e8bed7f_45a4f3c2,scene-0012,G51-B,24.44400969046291,1,481171,0.05251579751051905,0.017473462035284205,64.5614792846793,64.5614792846793,64.56147003173828,518,294,0,518
scene-0012_CAM_FRONT_ba3778e1_feedde26,scene-0012,G51-B,23.333000501336905,1,390853,0.05415617115283489,0.025152585638407776,64.5614792846793,64.5614792846793,64.56147003173828,518,294,0,518
scene-0013_CAM_FRONT_b9c60cfa_31815eed,scene-0013,G51-B,22.9956828515987,1,375948,0.055997721785161714,0.029332551692209385,64.5614792846793,64.5614792846793,64.56147003173828,518,294,0,518
scene-0013_CAM_FRONT_b2329c1f_e30a3a96,scene-0013,G51-B,24.467605001178143,1,353924,0.06700775927361757,0.019588930642281916,64.5614792846793,64.5614792846793,64.56147003173828,518,294,0,518
scene-0013_CAM_FRONT_61361625_a32eb5c0,scene-0013,G51-B,21.561069051946525,1,391935,0.07051058416420508,0.011098128962668591,64.5614792846793,64.5614792846793,64.56147003173828,518,294,0,518
scene-0013_CAM_FRONT_4635c393_6b506fcb,scene-0013,G51-B,20.74913443006608,1,412889,0.07081603611029985,0.019141411760470534,64.5614792846793,64.5614792846793,64.56147003173828,518,294,0,518
scene-0013_CAM_FRONT_da5566fe_9a7dc9c8,scene-0013,G51-B,23.051480227953764,1,439296,0.07551620729339725,0.018281848692907762,64.5614792846793,64.5614792846793,64.56147003173828,518,294,0,518
scene-0013_CAM_FRONT_7184209f_867689f9,scene-0013,G51-B,23.881480424859546,1,382344,0.056551063081367925,0.01897461786368586,64.5614792846793,64.5614792846793,64.56147003173828,518,294,0,518
scene-0013_CAM_FRONT_2c1f8867_d82980cf,scene-0013,G51-B,27.630284802667024,1,386525,0.06438866145991895,0.035141002398640576,64.5614792846793,64.5614792846793,64.56147003173828,518,294,0,518
scene-0013_CAM_FRONT_1f0a495a_51f7ea7d,scene-0013,G51-B,23.907339205115342,1,369583,0.038333605666546866,0.022942994321968665,64.5614792846793,64.5614792846793,64.56147003173828,518,294,0,518
scene-0014_CAM_FRONT_43cfc03b_3fa89fab,scene-0014,G51-B,10.113733219195016,1,327298,0.021097626628379773,0.005257881250934279,64.5614792846793,64.5614792846793,64.56147003173828,518,294,0,518
scene-0014_CAM_FRONT_96237b21_2da9ed79,scene-0014,G51-B,11.618914789408306,1,301526,0.03918661470086793,0.013238836812217153,64.5614792846793,64.5614792846793,64.56147003173828,518,294,0,518
scene-0014_CAM_FRONT_d703cae6_6a53a53e,scene-0014,G51-B,17.296853631017502,1,307256,0.03346166065766876,0.01156319306725414,64.5614792846793,64.5614792846793,64.56147003173828,518,294,0,518
scene-0014_CAM_FRONT_65e61ba2_907c55da,scene-0014,G51-B,22.249719511693023,1,368191,0.040044181809119284,0.021260035235761494,64.5614792846793,64.5614792846793,64.56147003173828,518,294,0,518
scene-0014_CAM_FRONT_23e22334_ce60545b,scene-0014,G51-B,26.350239836626137,1,403860,0.04885534198540986,0.03854674712496996,64.5614792846793,64.5614792846793,64.56147003173828,518,294,0,518
scene-0014_CAM_FRONT_e8953eb6_303119a4,scene-0014,G51-B,25.34103125,1,609698,0.09327800074911541,0.031673972388801076,64.5614792846793,64.5614792846793,64.56147003173828,518,294,0,518
scene-0014_CAM_FRONT_2c0c09db_1c6d9929,scene-0014,G51-B,23.882669468118685,1,621552,0.11488192044531376,0.0467795307830892,64.5614792846793,64.5614792846793,64.56147003173828,518,294,0,518
scene-0014_CAM_FRONT_5a42a9de_d0501e05,scene-0014,G51-B,22.11249119442705,1,508672,0.09858457783627772,0.04365371739340143,64.5614792846793,64.5614792846793,64.56147003173828,518,294,0,518
scene-0015_CAM_FRONT_234b0f37_f405bf53,scene-0015,G51-B,25.600273644545055,1,440139,0.0904102522894199,0.01596152628845998,64.5614792846793,64.5614792846793,64.56147003173828,518,294,0,518
scene-0015_CAM_FRONT_061805d6_dca60e24,scene-0015,G51-B,28.181416548006496,1,513766,0.11901119244213842,0.010696553740380811,64.5614792846793,64.5614792846793,64.56147003173828,518,294,0,518
scene-0015_CAM_FRONT_e18b1aef_c99f5e4f,scene-0015,G51-B,24.584455298493037,1,507017,0.09603818019449761,0.02005554992121856,64.5614792846793,64.5614792846793,64.56147003173828,518,294,0,518
scene-0015_CAM_FRONT_54f30ff0_07ccc904,scene-0015,G51-B,19.00378233879355,1,500497,0.06644024353257905,0.03724244611770259,64.5614792846793,64.5614792846793,64.56147003173828,518,294,0,518
scene-0015_CAM_FRONT_985f2f38_2c63d07c,scene-0015,G51-B,19.5052371493824,1,520354,0.09704591531025697,0.007795415658251229,64.5614792846793,64.5614792846793,64.56147003173828,518,294,0,518
scene-0015_CAM_FRONT_d6b547f2_c9b7e76f,scene-0015,G51-B,19.822327742737,1,476171,0.08204356596538753,0.02451170759494716,64.5614792846793,64.5614792846793,64.56147003173828,518,294,0,518
scene-0015_CAM_FRONT_9a59cb6d_948b555d,scene-0015,G51-B,19.239115831813443,1,499208,0.045648093496424735,0.019536315122800296,64.5614792846793,64.5614792846793,64.56147003173828,518,294,0,518
scene-0015_CAM_FRONT_42605be9_8a96bc21,scene-0015,G51-B,17.549524533371038,1,403146,0.06284345023437687,0.01594966182920487,64.5614792846793,64.5614792846793,64.56147003173828,518,294,0,518
