clip_id,condition,corrector,band,tp,fp,fn,precision,recall,iou,n_pred_occupied
08_000000_000020_s5,M0,raw,0-10m,3068,1164,5596,0.724952741020794,0.3541089566020314,0.31216931216931215,4232
08_000000_000020_s5,M0,raw,10-20m,5637,10701,23081,0.3450238707308116,0.19628804234278152,0.14300210558360182,16338
08_000000_000020_s5,M0,raw,20-30m,3440,12241,27538,0.21937376442828901,0.11104654916392279,0.07959462273537102,15681
08_000000_000020_s5,M0,raw,30-40m,325,3425,18632,0.08666666666666667,0.017144062879147545,0.014520596908229828,3750
08_000000_000020_s5,M0,dilate_r2,0-10m,7161,10780,1503,0.39914163090128757,0.8265235457063712,0.36828841802098333,17941
08_000000_000020_s5,M0,dilate_r2,10-20m,16839,61168,11879,0.21586524286282,0.5863569886482346,0.18733729390561377,78007
08_000000_000020_s5,M0,dilate_r2,20-30m,17988,76194,12990,0.19099190928202842,0.5806701530118148,0.1678423468816482,94182
08_000000_000020_s5,M0,dilate_r2,30-40m,9146,30477,9811,0.23082553062615146,0.48246030490056446,0.18501436258445605,39623
08_000000_000020_s5,M1,raw,0-10m,4073,469,4591,0.896741523557904,0.4701061865189289,0.4459651812109931,4542
08_000000_000020_s5,M1,raw,10-20m,6835,9356,21883,0.4221481069730097,0.23800403927850128,0.1795188317486999,16191
08_000000_000020_s5,M1,raw,20-30m,4558,11109,26420,0.29092998021318695,0.14713667764219768,0.10829947489723668,15667
08_000000_000020_s5,M1,raw,30-40m,657,3912,18300,0.1437951411687459,0.03465738249723058,0.02872884691066509,4569
08_000000_000020_s5,M1,dilate_r2,0-10m,7100,9415,1564,0.4299122010293672,0.8194829178208679,0.392720836329443,16515
08_000000_000020_s5,M1,dilate_r2,10-20m,16994,56459,11724,0.23135882809415545,0.5917543004387492,0.1995139532972516,73453
08_000000_000020_s5,M1,dilate_r2,20-30m,18718,75949,12260,0.19772465589909893,0.6042352637355543,0.1750540088097487,94667
08_000000_000020_s5,M1,dilate_r2,30-40m,10598,31247,8359,0.2532680129047676,0.5590547027483251,0.21109871723368656,41845
08_000000_000020_s5,OR,raw,0-10m,4353,45,4311,0.9897680763983628,0.5024238227146814,0.49982776438167414,4398
08_000000_000020_s5,OR,raw,10-20m,7320,7480,21398,0.4945945945945946,0.2548924019778536,0.20222111718879496,14800
08_000000_000020_s5,OR,raw,20-30m,5759,10484,25219,0.3545527304069445,0.18590612692878816,0.13889826829385943,16243
08_000000_000020_s5,OR,raw,30-40m,1662,3261,17295,0.3375990249847654,0.08767210001582529,0.07480421280043208,4923
08_000000_000020_s5,OR,dilate_r2,0-10m,6992,7892,1672,0.4697661918839022,0.8070175438596491,0.4223242329064992,14884
08_000000_000020_s5,OR,dilate_r2,10-20m,16910,49765,11808,0.2536182977127859,0.5888293056619541,0.21546067301198985,66675
08_000000_000020_s5,OR,dilate_r2,20-30m,18806,75407,12172,0.1996115185802384,0.6070759894118407,0.17677304131221508,94213
08_000000_000020_s5,OR,dilate_r2,30-40m,12165,32078,6792,0.27495875053680807,0.6417154613071688,0.23836582737337123,44243
08_000000_000020_s5,G51-A,raw,0-10m,493,3900,8171,0.11222399271568405,0.056902123730378576,0.03923909582935371,4393
08_000000_000020_s5,G51-A,raw,10-20m,1427,16217,27291,0.08087735207435956,0.04969008983912529,0.0317569823077779,17644
08_000000_000020_s5,G51-A,raw,20-30m,704,11783,30274,0.05637863377913029,0.022725805410291174,0.016463600009354318,12487
08_000000_000020_s5,G51-A,raw,30-40m,51,1316,18906,0.03730797366495977,0.0026902990979585377,0.0025156612242884626,1367
08_000000_000020_s5,G51-A,dilate_r2,0-10m,7214,15384,1450,0.3192317904239313,0.83264081255771,0.2999833666001331,22598
08_000000_000020_s5,G51-A,dilate_r2,10-20m,15352,76064,13366,0.16793559114378226,0.5345776168256843,0.1465137141875513,91416
08_000000_000020_s5,G51-A,dilate_r2,20-30m,13295,68071,17683,0.16339748789420644,0.42917554393440505,0.13422649395753616,81366
08_000000_000020_s5,G51-A,dilate_r2,30-40m,3316,19126,15641,0.1477586667854915,0.17492219233001002,0.08707297219231679,22442
08_000000_000020_s5,G51-B,raw,0-10m,3016,1212,5648,0.7133396404919584,0.3481071098799631,0.30538679627379506,4228
08_000000_000020_s5,G51-B,raw,10-20m,5581,10794,23137,0.340824427480916,0.19433804582491818,0.141248228386313,16375
08_000000_000020_s5,G51-B,raw,20-30m,3366,12323,27612,0.21454522276754415,0.10865775711795468,0.077734925290409,15689
08_000000_000020_s5,G51-B,raw,30-40m,312,3343,18645,0.0853625170998632,0.016458300363981642,0.01399103139013453,3655
08_000000_000020_s5,G51-B,dilate_r2,0-10m,7162,10866,1502,0.3972709119147992,0.8266389658356418,0.3667178699436764,18028
08_000000_000020_s5,G51-B,dilate_r2,10-20m,16793,61439,11925,0.21465640658554044,0.5847552057942753,0.1862639617556041,78232
08_000000_000020_s5,G51-B,dilate_r2,20-30m,17970,76295,13008,0.19063279053731502,0.5800890954871198,0.16751652326307645,94265
08_000000_000020_s5,G51-B,dilate_r2,30-40m,9015,30280,9942,0.22941850108156253,0.47554992878620034,0.18309401466376912,39295
08_000000_000020_s5,G51-C,raw,0-10m,371,3970,8293,0.08546417876065422,0.042820867959372115,0.029365205002374543,4341
08_000000_000020_s5,G51-C,raw,10-20m,1153,16793,27565,0.06424830045692634,0.04014903544815099,0.02533453450814089,17946
08_000000_000020_s5,G51-C,raw,20-30m,610,11002,30368,0.052531863589390285,0.019691393892439797,0.014530728918532635,11612
08_000000_000020_s5,G51-C,raw,30-40m,28,1216,18929,0.022508038585209004,0.0014770269557419424,0.0013879938531700788,1244
08_000000_000020_s5,G51-C,dilate_r2,0-10m,7176,15788,1488,0.31248911339487895,0.8282548476454293,0.2934729265499755,22964
08_000000_000020_s5,G51-C,dilate_r2,10-20m,14977,77842,13741,0.16135704974197093,0.5215196044292778,0.14054992492492493,92819
08_000000_000020_s5,G51-C,dilate_r2,20-30m,12414,65427,18564,0.15947893783481712,0.4007360061979469,0.12876925470670608,77841
08_000000_000020_s5,G51-C,dilate_r2,30-40m,2616,18219,16341,0.12555795536357092,0.13799651843646146,0.07036797934151065,20835
08_000000_000020_s5,G51-D,raw,0-10m,2346,9,6318,0.9961783439490446,0.2707756232686981,0.27049463853337946,2355
