clip_id,variant,frame,n_valid,s_frame,mad_log,moge_mask_fraction,lingbot_conf_fraction
08_000000_000020_s5,G51-A,0,60584,23.722951768913212,0.02208182195492503,0.9572531715388858,0.7627488341774056
08_000000_000020_s5,G51-A,1,63653,23.712337183167243,0.028828394072602848,0.9556611342325628,0.8022865165722308
08_000000_000020_s5,G51-A,2,65286,24.807622704802252,0.038904669292204375,0.958168279596851,0.8211402497116783
08_000000_000020_s5,G51-A,3,61364,23.957654628829047,0.04481992889418307,0.9537557037557037,0.7723888081030938
08_000000_000020_s5,G51-A,4,61149,23.712441001827038,0.03690481348755226,0.9515619515619516,0.7694554480268766
08_000025_000045_s5,G51-A,0,56032,18.424308426556426,0.033279065336972335,0.9508098079526651,0.7024018452589881
08_000025_000045_s5,G51-A,1,55966,18.026191039862912,0.0360540822043085,0.9485283056711629,0.7016120944692373
08_000025_000045_s5,G51-A,2,55366,18.54745767019052,0.03177135098650807,0.9455071955071955,0.6941031941031941
08_000025_000045_s5,G51-A,3,52256,19.066557634083047,0.03788410573391521,0.9431755503184075,0.6550669407812265
08_000025_000045_s5,G51-A,4,52381,18.912009622501845,0.036172537785871484,0.9405305119590834,0.6568344782630496
08_000050_000070_s5,G51-A,0,56657,21.716959205969655,0.052734838201601075,0.9385624028481171,0.7106378177806749
08_000050_000070_s5,G51-A,1,56650,21.30356007628735,0.029589848008343855,0.9419595848167277,0.7107631750488893
08_000050_000070_s5,G51-A,2,51012,20.844546827070545,0.028220736666105584,0.9494935566364138,0.6396103896103896
08_000050_000070_s5,G51-A,3,53020,20.371375363372085,0.027716401397628987,0.9811086596800882,0.6667000952715239
08_000050_000070_s5,G51-A,4,50690,21.349607780612246,0.028874197696103998,0.95572381286667,0.6378052449481021
08_000075_000095_s5,G51-A,0,55154,25.97738801345609,0.04492400034302402,0.937735044877902,0.7038935967507396
08_000075_000095_s5,G51-A,1,51813,24.80951217678894,0.0533544673973263,0.935290578147721,0.6638294138294139
08_000075_000095_s5,G51-A,2,53422,27.271641549556207,0.05415909281950437,0.9424860853432282,0.6798751441608585
08_000075_000095_s5,G51-A,3,53886,26.761927320467713,0.07424515359920303,0.9315423958281102,0.6864187935616507
08_000075_000095_s5,G51-A,4,54334,26.3303291363743,0.04562955607405872,0.952113523542095,0.6945043373614802
08_000100_000120_s5,G51-A,0,59900,28.272159049326703,0.022084672319310883,0.9616406759263902,0.7579100436243293
08_000100_000120_s5,G51-A,1,57630,28.74186606862436,0.021161669286899443,0.9688361831218975,0.7273855488141202
08_000100_000120_s5,G51-A,2,60220,31.009482301311735,0.02850377301622764,0.978914907486336,0.7578097578097578
08_000100_000120_s5,G51-A,3,57504,27.609922329215113,0.02279860055880123,0.97999297999298,0.7229604372461516
08_000100_000120_s5,G51-A,4,60278,27.605412792699724,0.024931721710860666,0.9881412024269167,0.7557538986110415
08_000125_000145_s5,G51-A,0,63935,25.104306651734927,0.03443092752547949,0.9880534523391666,0.8063230206087348
08_000125_000145_s5,G51-A,1,67852,25.29036951546717,0.053206290188198,0.9755177255177255,0.8654164368450082
08_000125_000145_s5,G51-A,2,67701,24.607954319267506,0.04673737221636243,0.9820739106453392,0.8516647445218873
08_000125_000145_s5,G51-A,3,67251,24.017099355722404,0.05357614583227832,0.971155292583864,0.8527553527553527
08_000125_000145_s5,G51-A,4,66780,24.356220747447047,0.13265501456983353,0.9750288321716893,0.8469387755102041
08_000150_000170_s5,G51-A,0,62085,25.79157927852349,0.037981809116884424,0.9705410419696134,0.7831319259890689
08_000150_000170_s5,G51-A,1,61727,23.704871067110975,0.026774866229734684,0.9705159705159705,0.7819034247605676
08_000150_000170_s5,G51-A,2,61735,23.313257444598335,0.027839810891023387,0.9717820789249361,0.7757609186180615
08_000150_000170_s5,G51-A,3,63459,24.48072621367824,0.03950972887629245,0.9741011883869026,0.7980494409065838
08_000150_000170_s5,G51-A,4,65097,24.224598955246,0.03843772790105193,0.9768841197412625,0.8257032542746828
08_000175_000195_s5,G51-A,0,65071,26.413061143529887,0.031600032347519846,0.9777992277992278,0.826217219074362
