clip_id,scene,scale_tag,frame,offset,rot_err_deg,trans_err_m,trans_mag_pred_m,trans_mag_gt_m,trans_mag_ratio,trans_dir_err_deg
scene-0003_CAM_FRONT_fd842039_f56a5440,scene-0003,const,0,-4,0.2826549142288771,0.03799861705180596,0.019948597818356697,0.030442864581938955,0.655279918375084,95.63117160045893
scene-0003_CAM_FRONT_fd842039_f56a5440,scene-0003,const,1,-3,0.09477134440464786,0.02061202375427571,0.017609322183915473,0.0031965209029222235,5.508902559597601,158.2319229269365
scene-0003_CAM_FRONT_fd842039_f56a5440,scene-0003,const,2,-2,0.03520311936465385,0.042451117330708873,0.04026018986467328,0.0024314473665818766,16.558116954540935,153.5599682612688
scene-0003_CAM_FRONT_fd842039_f56a5440,scene-0003,const,3,-1,0.022827499836370526,0.015347269683158804,0.013235944353473254,0.0023380680778249154,5.6610602911898695,152.4640769009829
scene-0003_CAM_FRONT_fd842039_f56a5440,scene-0003,oracle,0,-4,0.2826549142288771,0.03311323460344949,0.010378500846858634,0.030442864581938955,0.34091735417750263,95.63117160045893
scene-0003_CAM_FRONT_fd842039_f56a5440,scene-0003,oracle,1,-3,0.09477134440464786,0.012187836084447266,0.009161464222322384,0.0031965209029222235,2.8660736158324744,158.2319229269365
scene-0003_CAM_FRONT_fd842039_f56a5440,scene-0003,oracle,2,-2,0.03520311936465385,0.02314830468379084,0.02094585385949805,0.0024314473665818766,8.614561905546688,153.5599682612688
scene-0003_CAM_FRONT_fd842039_f56a5440,scene-0003,oracle,3,-1,0.022827499836370526,0.009024342374642502,0.00688616116943762,0.0023380680778249154,2.94523552789094,152.46407690098292
scene-0003_CAM_FRONT_f286cdae_21b99feb,scene-0003,const,0,-4,0.730177044394164,1.625323982127436,3.485899698288615,1.86569245915906,1.8684213902326887,2.8955500439729347
scene-0003_CAM_FRONT_f286cdae_21b99feb,scene-0003,const,1,-3,1.0912522347410882,1.52371923015441,3.244473418979797,1.7252115612478056,1.880623508361574,2.8207350107822533
scene-0003_CAM_FRONT_f286cdae_21b99feb,scene-0003,const,2,-2,0.925543912318435,1.0655971919008944,2.511507267113326,1.4510816965055602,1.7307828175087885,3.147468569323073
scene-0003_CAM_FRONT_f286cdae_21b99feb,scene-0003,const,3,-1,0.43491325801150865,0.5836451585112903,1.402079530642809,0.8206987799007964,1.7083972402301952,2.743664596808901
scene-0003_CAM_FRONT_f286cdae_21b99feb,scene-0003,oracle,0,-4,0.730177044394164,0.3084422971930984,2.1570013462417856,1.86569245915906,1.1561398212511562,2.895550043972683
scene-0003_CAM_FRONT_f286cdae_21b99feb,scene-0003,oracle,1,-3,1.0912522347410882,0.2968886214210913,2.007611847243026,1.7252115612478056,1.1636902350636735,2.820735010782512
scene-0003_CAM_FRONT_f286cdae_21b99feb,scene-0003,oracle,2,-2,0.925543912318435,0.13194547092229147,1.554067823270728,1.4510816965055602,1.0709719700918114,3.1474685693231885
scene-0003_CAM_FRONT_f286cdae_21b99feb,scene-0003,oracle,3,-1,0.43491325801150865,0.061886930347361355,0.8675772962197823,0.8206987799007964,1.0571202461451843,2.7436645968091664
scene-0003_CAM_FRONT_cd908fdc_6180726f,scene-0003,const,0,-4,0.473276061148981,2.5564341259909042,5.687763564146353,3.1394234490700796,1.811722329407685,2.7563791729001226
scene-0003_CAM_FRONT_cd908fdc_6180726f,scene-0003,const,1,-3,0.22034496421932606,1.7314670883804097,3.9113380990499036,2.184902192715542,1.7901662198382584,2.5853670941045213
scene-0003_CAM_FRONT_cd908fdc_6180726f,scene-0003,const,2,-2,0.16117173998284162,1.041220129201728,2.4065497184715747,1.3681453606962224,1.7589868647048794,2.416475745908461
scene-0003_CAM_FRONT_cd908fdc_6180726f,scene-0003,const,3,-1,0.08066661042985108,0.46525216654722723,1.0683124487651852,0.603482284770825,1.7702465767837434,1.4137430342563793
scene-0003_CAM_FRONT_cd908fdc_6180726f,scene-0003,oracle,0,-4,0.473276061148981,0.30525969082849946,3.4011037036584653,3.1394234490700796,1.0833529655471923,2.7563791729002545
scene-0003_CAM_FRONT_cd908fdc_6180726f,scene-0003,oracle,1,-3,0.22034496421932606,0.18467590930182706,2.3388571527121216,2.184902192715542,1.0704630900686838,2.585367094104803
