clip_id,method,tp,fp,fn,tn,valid,gt_occupied,pred_occupied,iou,precision,recall,fpr,prevalence,volume_ratio
08_000000_000020_s5,mapper,17100,37734,90617,1397587,1543038,107717,54834,0.11756536565578786,0.31185031185031187,0.1587493153355552,0.02628958957612966,0.06980839097935372,0.5090561378426803
08_000000_000020_s5,dilation,53696,173608,54021,1261713,1543038,107717,227304,0.19086821292099884,0.23622989476648013,0.4984914173250276,0.12095412803129056,0.06980839097935372,2.110196162165675
08_000000_000020_s5,seed0,58436,271023,49281,1164298,1543038,107717,329459,0.15429054232454983,0.17736956647109353,0.5424956135057605,0.18882396342002938,0.06980839097935372,3.058560858546005
08_000000_000020_s5,seed1,62436,291591,45281,1143730,1543038,107717,354027,0.15636050367135143,0.17635943021294986,0.5796299562743114,0.2031538589625596,0.06980839097935372,3.2866399918304445
08_000000_000020_s5,seed2,62959,235305,44758,1200016,1543038,107717,298264,0.1835421634763951,0.21108481077166538,0.5844852715912994,0.16393893770104387,0.06980839097935372,2.7689594028797684
08_000025_000045_s5,mapper,8155,26498,63361,1481482,1579496,71516,34653,0.08320239965719183,0.2353331601881511,0.11403042675764864,0.017571851085558164,0.045277734163302726,0.484548912131551
08_000025_000045_s5,dilation,21295,140568,50221,1367412,1579496,71516,161863,0.10040832877539088,0.13156187640164832,0.29776553498517816,0.09321609039907691,0.045277734163302726,2.263311706471279
08_000025_000045_s5,seed0,31024,334338,40492,1173642,1579496,71516,365362,0.07644128184026769,0.08491304514426788,0.4338050226522736,0.22171248955556438,0.045277734163302726,5.1088148106717375
08_000025_000045_s5,seed1,30569,373952,40947,1134028,1579496,71516,404521,0.06862221304336114,0.07556838829133716,0.42744281000055934,0.24798206872770195,0.045277734163302726,5.656370602382683
08_000025_000045_s5,seed2,31376,284718,40140,1223262,1579496,71516,316094,0.0880769381923118,0.09926161205211108,0.4387269981542592,0.18880754386662954,0.045277734163302726,4.419906035013144
08_000050_000070_s5,mapper,16872,30601,111671,1676923,1836067,128543,47473,0.10601719197707736,0.3554020179891728,0.13125568875784757,0.017921270799122004,0.07000997240296787,0.369316104338626
08_000050_000070_s5,dilation,57220,160685,71323,1546839,1836067,128543,217905,0.19783700056702672,0.26259149629425665,0.44514287047913925,0.09410409458373645,0.07000997240296787,1.6951914923410842
08_000050_000070_s5,seed0,59110,256735,69433,1450789,1836067,128543,315845,0.15342168512087376,0.18714875967642355,0.4598461215313164,0.15035513410060414,0.07000997240296787,2.4571155177644837
08_000050_000070_s5,seed1,59469,337124,69074,1370400,1836067,128543,396593,0.1277071383628215,0.14994969654028184,0.4626389612814389,0.19743441380618953,0.07000997240296787,3.0852944150984496
