clip_id,method,tp,fp,fn,tn,valid,gt_occupied,pred_occupied,iou,precision,recall,fpr,prevalence,volume_ratio
scene-0003_CAM_FRONT_fd842039_f56a5440,mapper,286,529,11710,65873,78398,11996,815,0.022834331337325348,0.350920245398773,0.023841280426808935,0.007966627511219541,0.1530141075027424,0.06793931310436813
scene-0003_CAM_FRONT_fd842039_f56a5440,dilation,1652,2261,10344,64141,78398,11996,3913,0.11587290453812163,0.4221824686940966,0.13771257085695232,0.034050179211469536,0.1530141075027424,0.32619206402134043
scene-0003_CAM_FRONT_fd842039_f56a5440,seed0,4699,2292,7297,64110,78398,11996,6991,0.32887737961926095,0.6721499070233157,0.3917139046348783,0.03451703261949941,0.1530141075027424,0.5827775925308436
scene-0003_CAM_FRONT_fd842039_f56a5440,seed1,4999,4190,6997,62212,78398,11996,9189,0.3088471518596318,0.5440200239416694,0.41672224074691566,0.06310050902081263,0.1530141075027424,0.7660053351117039
scene-0003_CAM_FRONT_fd842039_f56a5440,seed2,4626,2113,7370,64289,78398,11996,6739,0.3278758239421646,0.6864519958450809,0.3856285428476159,0.03182133068281076,0.1530141075027424,0.5617705901967323
scene-0003_CAM_FRONT_f286cdae_21b99feb,mapper,331,257,11597,68027,80212,11928,588,0.027164546573656134,0.5629251700680272,0.027749832327297115,0.003763692812371859,0.14870592928738843,0.04929577464788732
scene-0003_CAM_FRONT_f286cdae_21b99feb,dilation,1755,1271,10173,67013,80212,11928,3026,0.13296461853170694,0.5799735624586914,0.1471327967806841,0.01861343799425927,0.14870592928738843,0.25368879946344736
scene-0003_CAM_FRONT_f286cdae_21b99feb,seed0,5431,2074,6497,66210,80212,11928,7505,0.3878731609770033,0.7236508994003997,0.4553152246814219,0.03037314744303204,0.14870592928738843,0.6291918175720993
scene-0003_CAM_FRONT_f286cdae_21b99feb,seed1,5500,3894,6428,64390,80212,11928,9394,0.34761724181519404,0.585480093676815,0.46109993293091883,0.05702653623103509,0.14870592928738843,0.7875586854460094
scene-0003_CAM_FRONT_f286cdae_21b99feb,seed2,5313,1908,6615,66376,80212,11928,7221,0.38399826539462273,0.7357706688824263,0.4454225352112676,0.027942124070060335,0.14870592928738843,0.6053822937625755
scene-0003_CAM_FRONT_cd908fdc_6180726f,mapper,300,116,13205,65937,79558,13505,416,0.02202481462447691,0.7211538461538461,0.022213994816734542,0.0017561655034593433,0.16975037079866262,0.0308034061458719
scene-0003_CAM_FRONT_cd908fdc_6180726f,dilation,1540,715,11965,65338,79558,13505,2255,0.10829817158931083,0.6829268292682927,0.11403184005923732,0.01082464081873647,0.16975037079866262,0.16697519437245464
