case_id,layer,group,mean_A,var_A,mean_B,var_B,mean_delta,std_A,std_B,std_ratio_B_over_A,mean_shift_in_A_std,in_dtype,out_dtype,shape
00004,enc1.1#0,0,-0.048903048038482666,0.3839218318462372,-0.050736214965581894,0.40375229716300964,-0.001833166927099228,0.6196142605252377,0.6354150589677661,1.02550102450698,0.0029585615501252016,torch.bfloat16,torch.float32,1x24x256x256x32
00004,enc1.1#0,1,-0.7018623352050781,0.8183810114860535,-0.721282958984375,0.8496147990226746,-0.019420623779296875,0.9046441352742267,0.9217455174952979,1.0189039883797921,0.02146769433641424,torch.bfloat16,torch.float32,1x24x256x256x32
00004,enc1.1#0,2,-0.2752215266227722,0.10373056679964066,-0.28460875153541565,0.10659270733594894,-0.009387224912643433,0.32207230057805447,0.32648538609859545,1.0137021579087069,0.029146328000872062,torch.bfloat16,torch.float32,1x24x256x256x32
00004,enc1.1#0,3,0.10894843935966492,0.1805316060781479,0.11182902753353119,0.1859743744134903,0.002880588173866272,0.4248901105911361,0.4312474630806427,1.014962345159462,0.006779607484529591,torch.bfloat16,torch.float32,1x24x256x256x32
00004,enc1.1#0,4,-0.14088065922260284,0.27455663681030273,-0.1430414617061615,0.2829733192920685,-0.002160802483558655,0.5239815233482024,0.5319523656231528,1.0152120674485188,0.004123814270685138,torch.bfloat16,torch.float32,1x24x256x256x32
00004,enc1.1#0,5,-0.46468839049339294,0.21280141174793243,-0.4768873155117035,0.21847204864025116,-0.012198925018310547,0.46130403396017733,0.4674099363944365,1.0132361782788708,0.026444436034053054,torch.bfloat16,torch.float32,1x24x256x256x32
00004,enc1.1#0,6,-0.27842724323272705,0.13188688457012177,-0.28559157252311707,0.13692258298397064,-0.007164329290390015,0.36316233914066826,0.3700305162874687,1.0189121404026977,0.019727621832546255,torch.bfloat16,torch.float32,1x24x256x256x32
00004,enc1.1#0,7,0.0855904221534729,0.1596566140651703,0.08790414780378342,0.16856072843074799,0.0023137256503105164,0.3995705370334133,0.4105614794774931,1.0275068890856704,0.005790531172514944,torch.bfloat16,torch.float32,1x24x256x256x32
00004,enc1.4#0,0,-0.07059460878372192,24.51390266418457,-0.062485240399837494,25.807783126831055,0.00810936838388443,4.951151650291533,5.080136132706588,1.0260514101618077,0.0016378751766585326,torch.bfloat16,torch.float32,1x24x256x256x32
00004,enc1.4#0,1,0.28585898876190186,24.262731552124023,0.30793726444244385,24.792856216430664,0.022078275680541992,4.925721424535093,4.979242534405275,1.0108656388084785,0.004482242046935454,torch.bfloat16,torch.float32,1x24x256x256x32
00004,enc1.4#0,2,0.4294883906841278,22.312973022460938,0.48546677827835083,23.062515258789062,0.05597838759422302,4.72366097666428,4.8023447667560335,1.0166573745407355,0.01185063616351092,torch.bfloat16,torch.float32,1x24x256x256x32
00004,enc1.4#0,3,-1.5027968883514404,33.375343322753906,-1.555027961730957,33.91084289550781,-0.0522310733795166,5.777139718126429,5.823301717712024,1.0079904592649467,0.009040991897017084,torch.bfloat16,torch.float32,1x24x256x256x32
00004,enc1.4#0,4,-1.351023554801941,14.543742179870605,-1.380526065826416,14.754616737365723,-0.029502511024475098,3.8136258573528954,3.841173874919713,1.007223576354168,0.007736079030299345,torch.bfloat16,torch.float32,1x24x256x256x32
00004,enc1.4#0,5,-0.6268683075904846,11.50513744354248,-0.6188861131668091,12.299225807189941,0.007982194423675537,3.3919223817095934,3.507025207663889,1.0339343926544338,0.0023532951304305375,torch.bfloat16,torch.float32,1x24x256x256x32
00004,enc1.4#0,6,0.0934458002448082,21.38420867919922,0.11996926367282867,21.993619918823242,0.026523463428020477,4.624306291672213,4.689735591568382,1.0141489978754215,0.005735663201156432,torch.bfloat16,torch.float32,1x24x256x256x32
