clip_id,variant,frame,n_valid,s_frame,mad_log,moge_mask_fraction,lingbot_conf_fraction,fov_moge_out_deg
2013_05_28_drive_0006_sync_000040,B,0,63017,15.494174107142857,0.052362637051675875,0.9579012686155544,0.8689602868174297,103.74479675292969
2013_05_28_drive_0006_sync_000040,B,1,62314,15.651245471014498,0.06352560248150319,0.95857694429123,0.8592664092664093,103.74479675292969
2013_05_28_drive_0006_sync_000040,B,2,61660,15.585181389232675,0.039021413708185015,0.9570049641478213,0.8502757859900717,103.74479675292969
2013_05_28_drive_0006_sync_000040,B,3,59455,15.78639077240566,0.042749347163637985,0.9560259238830667,0.8198428019856592,103.74479675292969
2013_05_28_drive_0006_sync_000040,B,4,56620,15.470079438025216,0.03871179425405602,0.9545918367346938,0.7809431880860452,103.74479675292969
2013_05_28_drive_0006_sync_000045,B,0,62811,17.21910974429503,0.05347896779733885,0.95857694429123,0.8662437948152234,103.74479675292969
2013_05_28_drive_0006_sync_000045,B,1,62526,17.248786975786317,0.03773412804333498,0.9570049641478213,0.8622724765581908,103.74479675292969
2013_05_28_drive_0006_sync_000045,B,2,59955,17.482078398074822,0.04490647989365559,0.9560259238830667,0.8273166023166023,103.74479675292969
2013_05_28_drive_0006_sync_000045,B,3,57078,16.954076921480745,0.03452294295881364,0.9545918367346938,0.7882790954219525,103.74479675292969
2013_05_28_drive_0006_sync_000045,B,4,53811,16.692847623114986,0.03842846312586756,0.9644236072807502,0.749103695532267,103.74479675292969
2013_05_28_drive_0006_sync_000050,B,0,62647,16.48779076155198,0.017591292723107443,0.9570049641478213,0.8638858246001103,103.74479675292969
2013_05_28_drive_0006_sync_000050,B,1,59882,16.88057058608949,0.025314311229953645,0.9560259238830667,0.8260893546607833,103.74479675292969
2013_05_28_drive_0006_sync_000050,B,2,59480,16.739490384615383,0.03484968373232866,0.9545918367346938,0.8210976282404854,103.74479675292969
2013_05_28_drive_0006_sync_000050,B,3,54756,16.644279233870968,0.04207787956418385,0.9644236072807502,0.7622035300606729,103.74479675292969
2013_05_28_drive_0006_sync_000050,B,4,63475,17.31858297259588,0.03486754251860846,0.9999172642029784,0.8753585217870932,103.74479675292969
2013_05_28_drive_0006_sync_000055,B,0,62815,16.25910293158091,0.03072508872160551,0.9560259238830667,0.8661748483177054,103.74479675292969
2013_05_28_drive_0006_sync_000055,B,1,64044,16.13904011668207,0.03658796151666688,0.9545918367346938,0.8834252619966906,103.74479675292969
2013_05_28_drive_0006_sync_000055,B,2,59030,16.355100453761498,0.03709655685222857,0.9644236072807502,0.8194291230005516,103.74479675292969
2013_05_28_drive_0006_sync_000055,B,3,67857,16.830759447674414,0.040375026426088034,0.9999172642029784,0.9357832322118036,103.74479675292969
