clip_id,block,variant,s_moge,log_s_moge,ok,n_valid_total,mad_log_clip,per_frame_log_scale_std,per_frame_scale_ratio_max_min,fov_supplied_deg,fov_calibrated_deg,fov_moge_out_deg,fov_moge_out_std
2013_05_28_drive_0006_sync_000040,0,A,16.932772090517247,2.829250921106251,1,303066,0.06347585340162598,0.038980499766592486,1.1126768462103434,nan,103.74480804467827,99.59483337402344,1.7369856673069988
2013_05_28_drive_0006_sync_000045,0,A,18.730807333467094,2.9301696192893147,1,296181,0.055675812770343835,0.035906692674190166,1.0872400708281522,nan,103.74480804467827,99.50516510009766,2.1420323274352273
2013_05_28_drive_0006_sync_000050,0,A,18.105691279579315,2.896226324183224,1,300240,0.041257421181079,0.05244212508310378,1.1405277319543194,nan,103.74480804467827,99.50516510009766,2.6915810636670643
2013_05_28_drive_0006_sync_000055,0,A,17.961395711143695,2.8882247720563816,1,320316,0.0565623404275728,0.04343304541337751,1.1084597602001944,nan,103.74480804467827,99.50516510009766,2.8034491352302986
2013_05_28_drive_0006_sync_000060,0,A,18.833738760689133,2.9356498763688177,1,322432,0.058666880544861355,0.04264113805134451,1.1315619173762597,nan,103.74480804467827,100.86569213867188,3.124143947996216
2013_05_28_drive_0006_sync_000065,0,A,18.84000636312217,2.935982606893498,1,319633,0.06994750976839148,0.04762551257628202,1.1328954052824096,nan,103.74480804467827,102.03990936279297,2.664577105621757
2013_05_28_drive_0006_sync_000070,0,A,19.211941591709945,2.95553204359964,1,326644,0.07932339464461635,0.06217401115169304,1.203436494138122,nan,103.74480804467827,102.12127685546875,0.8256998754691723
2013_05_28_drive_0006_sync_000075,0,A,20.23548967703648,3.007437977542635,1,325122,0.06470702880584112,0.03911421740741217,1.1170252237428748,nan,103.74480804467827,102.03990936279297,1.080096801797673
2013_05_28_drive_0006_sync_000080,0,A,20.811604176919296,3.0355107242638812,1,324192,0.07432803848576675,0.07213246353814033,1.2380679676169557,nan,103.74480804467827,102.03990936279297,1.483849203990254
2013_05_28_drive_0006_sync_000085,0,A,22.311012520695368,3.1050803915784555,1,321153,0.07534231346637288,0.05924898013868322,1.2038197695648034,nan,103.74480804467827,100.41571807861328,2.066888672751431
2013_05_28_drive_0006_sync_000090,0,A,22.32011298197295,3.1054881994166497,1,327012,0.06601640604777681,0.05103162153189784,1.1260362353527373,nan,103.74480804467827,99.24090576171875,2.886892496027421
2013_05_28_drive_0006_sync_000095,0,A,21.679118912159193,3.0763495351625316,1,333524,0.0692951235563759,0.05713637068846182,1.1540248544448273,nan,103.74480804467827,97.68092346191406,2.989550886020061
2013_05_28_drive_0006_sync_000100,0,A,22.324557834201386,3.1056873207075837,1,338785,0.07062185483261318,0.05360185241533822,1.1784558144022095,nan,103.74480804467827,94.7603759765625,3.5466721937699206
2013_05_28_drive_0006_sync_000105,0,A,22.490160185280757,3.1130778884572314,1,339055,0.07972072302082633,0.07336193615257193,1.2180134183044422,nan,103.74480804467827,92.24553680419922,3.012341861734155
2013_05_28_drive_0006_sync_000110,0,A,20.26984692521266,3.0091344086451945,1,333941,0.13022529031805474,0.12945809375902198,1.4183165869212124,nan,103.74480804467827,92.24444580078125,1.8383388762023012
2013_05_28_drive_0006_sync_000115,0,A,17.93239997524375,2.886609131155064,1,339296,0.10384578401694355,0.10487481357610057,1.347883200786807,nan,103.74480804467827,92.24444580078125,2.5288770455477754
2013_05_28_drive_0006_sync_000120,0,A,17.08173120064609,2.8380095415756577,1,339405,0.062004792118038665,0.05145573261439633,1.1310601097712865,nan,103.74480804467827,92.24444580078125,4.3045267024552425
2013_05_28_drive_0006_sync_000125,0,A,16.37286763251582,2.7956255521267717,1,335239,0.061390013729062165,0.05446476130552949,1.1722461938298774,nan,103.74480804467827,96.7336196899414,3.742327050164707
2013_05_28_drive_0006_sync_000130,0,A,15.02985924030172,2.7100388384716423,1,328494,0.05521773345953074,0.028551646712562512,1.0864024209728442,nan,103.74480804467827,96.7336196899414,2.7676826948165214
2013_05_28_drive_0006_sync_000135,0,A,13.981517715867993,2.6377362942798976,1,324457,0.07351031024315491,0.05991851199542074,1.1824227094606043,nan,103.74480804467827,96.7336196899414,2.4983166883842545
2013_05_28_drive_0006_sync_000140,1,A,13.555893577188941,2.606821403108275,1,322791,0.07084410987929024,0.07567017183364022,1.2413302672287125,nan,103.74480804467827,95.64704895019531,2.7807943476947123
2013_05_28_drive_0006_sync_000145,1,A,12.190234570605911,2.5006351861797294,1,318198,0.05488072638676922,0.051082449200747546,1.1678667917218055,nan,103.74480804467827,94.34154510498047,1.3283190040419974
2013_05_28_drive_0006_sync_000150,1,A,12.170994888117285,2.499055652887179,1,316031,0.05107882584348866,0.05667297664460665,1.1680335340013268,nan,103.74480804467827,93.5548095703125,1.202910545759753
2013_05_28_drive_0006_sync_000155,1,A,12.28234577922078,2.5081629288426783,1,315847,0.05397263730047097,0.08143341459434764,1.2565087568951787,nan,103.74480804467827,93.16692352294922,1.878996962566491
2013_05_28_drive_0006_sync_000160,1,A,13.506267894816157,2.603153866200726,1,315208,0.0698531774342841,0.09703556586626703,1.2907489855887428,nan,103.74480804467827,92.04466247558594,1.864795144973747
2013_05_28_drive_0006_sync_000165,1,A,15.42493045691288,2.7359850613153487,1,316812,0.0829488623864969,0.06896821834198973,1.240733163756121,nan,103.74480804467827,92.04466247558594,1.8918849228030283
2013_05_28_drive_0006_sync_000170,1,A,16.839756854630107,2.823742570148786,1,316099,0.07085180760401144,0.06160283706200234,1.2061558575979183,nan,103.74480804467827,92.04466247558594,1.7025147582902203
2013_05_28_drive_0006_sync_000175,1,A,18.07805597389558,2.894698825615235,1,309993,0.04804895992645619,0.038810591178664915,1.1156560787768395,nan,103.74480804467827,92.43695831298828,1.7151238739610226
2013_05_28_drive_0006_sync_000180,1,A,19.439387057346718,2.9673012685633364,1,308470,0.06499510678723519,0.06556941373932994,1.1868653326135143,nan,103.74480804467827,93.43058776855469,1.998665371602558
2013_05_28_drive_0006_sync_000185,1,A,19.803275872370943,2.9858473721150047,1,308194,0.06791483974277424,0.05096649105720343,1.1475103014321895,nan,103.74480804467827,93.71953582763672,2.1949270895303927
2013_05_28_drive_0006_sync_000190,1,A,20.25527439024391,3.008415223353512,1,309816,0.07150093725831619,0.05226348819211742,1.1708009933821295,nan,103.74480804467827,94.21949005126953,2.1474678451690234
2013_05_28_drive_0006_sync_000195,1,A,20.055419725462592,2.9984994277221655,1,311536,0.07779751413122549,0.0532223146500727,1.162468188772463,nan,103.74480804467827,96.5369644165039,2.035510512729562
