clip_id,block,anchor,s_oracle,s_oracle_anchor_only,s_oracle_voxel_centre,ok,n_valid_lidar_px,s_C0,s_C3,s_A,s_B,absrel_C0,absrel_C3,absrel_A,absrel_B,absrel_OR
2013_05_28_drive_0006_sync_000040,0,40,18.597475703791048,18.627863665071377,18.70668906474444,1,93207,27.3665,24.776110464318858,16.932772090517247,15.612675452633502,0.5022955731772538,0.3622411437877772,0.08970893267780786,0.15115583130256977,0.053659182520524415
2013_05_28_drive_0006_sync_000045,0,45,20.516478488594384,19.40465670728723,19.588324816860133,1,93091,27.3665,27.071426724546516,18.730807333467094,17.18358816964286,0.3899509156719491,0.37519621508645273,0.08392953066203761,0.13887734636571966,0.06766543063923518
2013_05_28_drive_0006_sync_000050,0,50,19.667561246673856,18.95083524888218,18.82846098816974,1,94969,27.3665,25.76635279991703,18.105691279579315,16.80579253802281,0.43075457838473113,0.3484004441373139,0.08279958102100055,0.13326098487466737,0.06120697572244992
2013_05_28_drive_0006_sync_000055,0,55,18.88037664836924,18.648808520446114,19.101531584718344,1,99660,27.3665,24.75407309114301,17.961395711143695,16.511685420221845,0.47683330776980937,0.33851902931271827,0.06974686634199853,0.12221915614504376,0.060774366807010566
2013_05_28_drive_0006_sync_000060,0,60,18.88077792642876,19.38952380817371,20.33701091983003,1,101020,27.3665,25.408077152570037,18.833738760689133,17.415892568659125,0.45963160806149256,0.3571880601106301,0.06988897025555202,0.0975545251266343,0.06991536377661232
2013_05_28_drive_0006_sync_000065,0,65,18.814731644224928,20.35597291984987,21.017282444910634,1,98484,27.3665,25.838659819800494,18.84000636312217,18.370774933257053,0.44371333420113285,0.3656237792455681,0.09378767541635467,0.09636156531859018,0.09382581380343308
2013_05_28_drive_0006_sync_000070,0,70,19.386235809974096,20.21880854021208,20.379281171251098,1,98021,27.3665,25.773703967938925,19.211941591709945,18.770526274875625,0.41890983626605777,0.33897711862332147,0.08241273551826285,0.08872194965203456,0.08135901284188513
2013_05_28_drive_0006_sync_000075,0,75,19.789286143734955,21.30482384254056,19.930529814958057,1,98003,27.3665,25.856323340993338,20.23548967703648,19.661502111767643,0.3788864001364446,0.3075364041626721,0.08541883698969023,0.0794782577179213,0.07984349391073962
2013_05_28_drive_0006_sync_000080,0,80,19.746593255761073,17.950877570100204,19.391892383151305,1,98296,27.3665,25.803545455388846,20.811604176919296,20.08503703327922,0.38546030843267376,0.3131963744416865,0.11292135397699601,0.09950619191543121,0.09724887413635269
2013_05_28_drive_0006_sync_000085,0,85,20.73115250538898,18.16078281581402,18.24834995429084,1,97071,27.3665,27.18407761248852,22.311012520695368,21.26623658459597,0.3628724474436015,0.3544139172442247,0.14910209634643987,0.12269560997591664,0.11554254888576605
2013_05_28_drive_0006_sync_000090,0,90,20.177028547501795,18.7724396072121,18.65491335702748,1,99442,27.3665,26.957730263877515,22.32011298197295,21.199685754189954,0.38926083101005504,0.3698686407120979,0.16415573093611407,0.1273277698586947,0.10868916349860426
2013_05_28_drive_0006_sync_000095,0,95,18.971856754809284,17.60343581525411,17.83266685865522,1,100880,27.3665,26.402246578475825,21.679118912159193,19.921113418471894,0.47820190244880517,0.427438590298605,0.18782970950416794,0.11983114851405757,0.10235674148119063
2013_05_28_drive_0006_sync_000100,0,100,18.636031137893248,17.172525172421583,17.490332814114037,1,100457,27.3665,25.694918258507858,22.324557834201386,19.61798759594298,0.5050092778649995,0.4161891507376047,0.2396593382216854,0.11409156873762928,0.09740779840364198
2013_05_28_drive_0006_sync_000105,0,105,18.77629998376049,16.739635127549278,17.371449877317108,1,100879,27.3665,26.17954768574997,22.490160185280757,19.459945605802048,0.5269054776841932,0.46191789862851207,0.26159803828898925,0.11945738988975738,0.10612652915229259
