clip_id,variant,frame,n_valid,s_frame,mad_log,moge_mask_fraction,lingbot_conf_fraction,fov_moge_out_deg
2013_05_28_drive_0006_sync_000040,A,0,63017,16.547875381097562,0.05911569247308934,0.9579012686155544,0.8689602868174297,99.90824890136719
2013_05_28_drive_0006_sync_000040,A,1,62314,16.880481067004506,0.07226164157548531,0.95857694429123,0.8592664092664093,99.59483337402344
2013_05_28_drive_0006_sync_000040,A,2,61660,16.62407320721419,0.04833950807826781,0.9570049641478213,0.8502757859900717,100.05581665039062
2013_05_28_drive_0006_sync_000040,A,3,59455,16.921288298067516,0.04510894044509994,0.9560259238830667,0.8198428019856592,99.50516510009766
2013_05_28_drive_0006_sync_000040,A,4,56620,18.41243779052142,0.043418564100959456,0.9545918367346938,0.7809431880860452,95.4526596069336
2013_05_28_drive_0006_sync_000045,A,0,62811,18.444996614032764,0.05992411469683345,0.95857694429123,0.8662437948152234,99.59483337402344
2013_05_28_drive_0006_sync_000045,A,1,62526,18.425527971797578,0.046410267865367505,0.9570049641478213,0.8622724765581908,100.05581665039062
2013_05_28_drive_0006_sync_000045,A,2,59955,18.757212364462436,0.04724744739584397,0.9560259238830667,0.8273166023166023,99.50516510009766
2013_05_28_drive_0006_sync_000045,A,3,57078,20.0329723371033,0.051041698904612076,0.9545918367346938,0.7882790954219525,95.4526596069336
2013_05_28_drive_0006_sync_000045,A,4,53811,19.811655916908908,0.06917305570507004,0.9644236072807502,0.749103695532267,95.27606201171875
2013_05_28_drive_0006_sync_000050,A,0,62647,17.473346330142984,0.017439219531548922,0.9570049641478213,0.8638858246001103,100.05581665039062
2013_05_28_drive_0006_sync_000050,A,1,59882,18.082396882405217,0.03015175896995803,0.9560259238830667,0.8260893546607833,99.50516510009766
2013_05_28_drive_0006_sync_000050,A,2,59480,19.582732095327287,0.043277111577246785,0.9545918367346938,0.8210976282404854,95.4526596069336
