clip_id,block,variant,s_moge,log_s_moge,ok,n_valid_total,mad_log_clip,per_frame_log_scale_std,per_frame_scale_ratio_max_min,fov_supplied_deg,fov_calibrated_deg,fov_moge_out_deg,fov_moge_out_std
2013_05_28_drive_0006_sync_000040,0,B,15.612675452633502,2.748083113347462,1,303066,0.04811865596963916,0.0073323705785512255,1.020446652239093,103.74480804467827,103.74480804467827,103.74479675292969,0.0
2013_05_28_drive_0006_sync_000045,0,B,17.18358816964286,2.8439547521199735,1,296181,0.04032780687022708,0.015878580792439447,1.0472795770247714,103.74480804467827,103.74480804467827,103.74479675292969,0.0
2013_05_28_drive_0006_sync_000050,0,B,16.80579253802281,2.821723620911375,1,300240,0.03256947657640952,0.016711035491871407,1.05038832813073,103.74480804467827,103.74480804467827,103.74479675292969,0.0
2013_05_28_drive_0006_sync_000055,0,B,16.511685420221845,2.8040683375322666,1,320316,0.05144741652713969,0.04522423847033434,1.1308802020123079,103.74480804467827,103.74480804467827,103.74479675292969,0.0
2013_05_28_drive_0006_sync_000060,0,B,17.415892568659125,2.857383155370451,1,322432,0.08225325845200615,0.07618692278779791,1.2269343689141834,103.74480804467827,103.74480804467827,103.74479675292969,0.0
2013_05_28_drive_0006_sync_000065,0,B,18.370774933257053,2.910761083054598,1,319633,0.08910087547515655,0.08585121933762008,1.275585968962181,103.74480804467827,103.74480804467827,103.74479675292969,0.0
2013_05_28_drive_0006_sync_000070,0,B,18.770526274875625,2.9322878882914325,1,326644,0.08619497389663033,0.0689533292188771,1.235392084478266,103.74480804467827,103.74480804467827,103.74479675292969,0.0
2013_05_28_drive_0006_sync_000075,0,B,19.661502111767643,2.978662516264623,1,325122,0.06164978012947975,0.03595261975592276,1.094978926171855,103.74480804467827,103.74480804467827,103.74479675292969,0.0
2013_05_28_drive_0006_sync_000080,0,B,20.08503703327922,2.999975111637239,1,324192,0.06686563648653321,0.05738013211384507,1.1671213193715204,103.74480804467827,103.74480804467827,103.74479675292969,0.0
2013_05_28_drive_0006_sync_000085,0,B,21.26623658459597,3.0571206781832805,1,321153,0.06971950767920543,0.048102432039627704,1.1353024636805833,103.74480804467827,103.74480804467827,103.74479675292969,0.0
2013_05_28_drive_0006_sync_000090,0,B,21.199685754189954,3.053986358652538,1,327012,0.06768068716591502,0.05929665062802854,1.1745165856135564,103.74480804467827,103.74480804467827,103.74479675292969,0.0
2013_05_28_drive_0006_sync_000095,0,B,19.921113418471894,2.9917801450960138,1,333524,0.09323636959625103,0.09337247668317214,1.2951352652937216,103.74480804467827,103.74480804467827,103.74479675292969,0.0
2013_05_28_drive_0006_sync_000100,0,B,19.61798759594298,2.9764468798625368,1,338785,0.09461739904090116,0.12391318821906132,1.450929444585383,103.74480804467827,103.74480804467827,103.74479675292969,0.0
2013_05_28_drive_0006_sync_000105,0,B,19.459945605802048,2.9683582815742016,1,339055,0.09760536272422193,0.09913817709496753,1.2589889376964303,103.74480804467827,103.74480804467827,103.74479675292969,0.0
2013_05_28_drive_0006_sync_000110,0,B,16.72083786367726,2.816655717864969,1,333941,0.11783576937395024,0.1409870268949967,1.504017127724933,103.74480804467827,103.74480804467827,103.74479675292969,0.0
2013_05_28_drive_0006_sync_000115,0,B,15.920258430437858,2.7675924133521868,1,339296,0.11273941505368268,0.08721595159548562,1.3142115394478109,103.74480804467827,103.74480804467827,103.74479675292969,0.0
2013_05_28_drive_0006_sync_000120,0,B,15.356773911544522,2.731556673859272,1,339405,0.07752175942361816,0.055446067561650714,1.1623879720423649,103.74480804467827,103.74480804467827,103.74479675292969,0.0
2013_05_28_drive_0006_sync_000125,0,B,14.843899698489631,2.6975889861349422,1,335239,0.06307295544063063,0.057350027267119755,1.1682280326833152,103.74480804467827,103.74480804467827,103.74479675292969,0.0
2013_05_28_drive_0006_sync_000130,0,B,13.741323521562773,2.6204076083241876,1,328494,0.06496639984924646,0.05708184652630017,1.1729080521239337,103.74480804467827,103.74480804467827,103.74479675292969,0.0
2013_05_28_drive_0006_sync_000135,0,B,12.962129913221029,2.5620320225768864,1,324453,0.06249741214560567,0.036848802670598355,1.0885203258391745,103.74480804467827,103.74480804467827,103.74479675292969,0.0
2013_05_28_drive_0006_sync_000140,1,B,12.108552239441417,2.4939119995876293,1,322787,0.06126823022308381,0.03771561014815878,1.094158952693468,103.74480804467827,103.74480804467827,103.74479675292969,0.0
2013_05_28_drive_0006_sync_000145,1,B,10.709807049882881,2.371159868413418,1,318194,0.06064597121645021,0.033517106344150636,1.0963539829123676,103.74480804467827,103.74480804467827,103.74479675292969,0.0
2013_05_28_drive_0006_sync_000150,1,B,10.5454942147943,2.355698680048654,1,316027,0.05190948219264824,0.02220098839603876,1.0684023884409606,103.74480804467827,103.74480804467827,103.74479675292969,0.0
2013_05_28_drive_0006_sync_000155,1,B,10.632553504257606,2.363920380275723,1,315843,0.06436726649978652,0.04804929969264006,1.1334688447831618,103.74480804467827,103.74480804467827,103.74479675292969,0.0
2013_05_28_drive_0006_sync_000160,1,B,11.690142609653781,2.458745974695604,1,315104,0.07229539965713538,0.0741208612811062,1.2036945154436203,103.74480804467827,103.74480804467827,103.74479675292969,0.0
2013_05_28_drive_0006_sync_000165,1,B,13.316080729166666,2.5889723822632407,1,316708,0.0724451423882082,0.07345226971311422,1.2317891201052609,103.74480804467827,103.74480804467827,103.74479675292969,0.0
2013_05_28_drive_0006_sync_000170,1,B,14.72629526499155,2.689634689335733,1,315995,0.062492340028893256,0.07024137379656553,1.2046872262203827,103.74480804467827,103.74480804467827,103.74479675292969,0.0
2013_05_28_drive_0006_sync_000175,1,B,15.889475879854368,2.765656995728632,1,309889,0.052237123250760575,0.04181805957091766,1.1163446870252909,103.74480804467827,103.74480804467827,103.74479675292969,0.0
2013_05_28_drive_0006_sync_000180,1,B,16.90705971262563,2.8277312691771623,1,308366,0.0738558734505308,0.05182851134574395,1.1628960493996738,103.74480804467827,103.74480804467827,103.74479675292969,0.0
2013_05_28_drive_0006_sync_000185,1,B,17.324850931406683,2.8521419407911397,1,308194,0.06997846271941266,0.035914793031481804,1.1085509994228084,103.74480804467827,103.74480804467827,103.74479675292969,0.0
2013_05_28_drive_0006_sync_000190,1,B,17.83451536643026,2.8811356452670154,1,309817,0.06769722838616143,0.0322340192664366,1.0963685705899442,103.74480804467827,103.74480804467827,103.74479675292969,0.0
2013_05_28_drive_0006_sync_000195,1,B,18.012498897318274,2.891065900108055,1,311536,0.07521466086607842,0.035004570202405445,1.1066333224213558,103.74480804467827,103.74480804467827,103.74479675292969,0.0
2013_05_28_drive_0006_sync_000200,1,B,18.672617722602734,2.9270581578270276,1,300093,0.06760477879640137,0.03010098602320039,1.0858123432674,103.74480804467827,103.74480804467827,103.74479675292969,0.0
2013_05_28_drive_0006_sync_000205,1,B,18.914809091477657,2.9399451650643336,1,292395,0.08135476879395176,0.057893023614613924,1.1901785028446907,103.74480804467827,103.74480804467827,103.74479675292969,0.0
2013_05_28_drive_0006_sync_000210,1,B,18.305063602240224,2.9071777211490764,1,290357,0.07606961108171095,0.05924094593923183,1.1976050740256943,103.74480804467827,103.74480804467827,103.74479675292969,0.0
2013_05_28_drive_0006_sync_000215,1,B,19.299531202333743,2.960080805581311,1,286889,0.07708025550832698,0.06601080458719366,1.2261368714996888,103.74480804467827,103.74480804467827,103.74479675292969,0.0
2013_05_28_drive_0006_sync_000220,1,B,21.128332438331483,3.050614909362312,1,279384,0.07232961429578944,0.07869039336316784,1.2335544173898556,103.74480804467827,103.74480804467827,103.74479675292969,0.0
2013_05_28_drive_0006_sync_000225,1,B,21.938235007788162,3.0882310052933373,1,272430,0.05956220752773134,0.07274218301784716,1.225473722639351,103.74480804467827,103.74480804467827,103.74479675292969,0.0
2013_05_28_drive_0006_sync_000230,1,B,21.683550004117258,3.076553908743966,1,272693,0.051537725885282715,0.037634238974444914,1.117689942413065,103.74480804467827,103.74480804467827,103.74479675292969,0.0
2013_05_28_drive_0006_sync_000235,1,B,22.376585307874187,3.1080151133996194,1,275764,0.043353597671802024,0.014829443703576365,1.0359497944280613,103.74480804467827,103.74480804467827,103.74479675292969,0.0
2013_05_28_drive_0006_sync_000240,2,B,21.612506437610367,3.073272148874506,1,291224,0.04940152767189332,0.021109767816735157,1.0583272538415012,103.74480804467827,103.74480804467827,103.74479675292969,0.0
2013_05_28_drive_0006_sync_000245,2,B,21.245041058982963,3.05612350620708,1,302012,0.045606120581553666,0.019122967072537318,1.0605079686040773,103.74480804467827,103.74480804467827,103.74479675292969,0.0
2013_05_28_drive_0006_sync_000250,2,B,20.649839901074426,3.027707566402383,1,314387,0.05986109964694464,0.020254577703501375,1.0528903887830572,103.74480804467827,103.74480804467827,103.74479675292969,0.0
2013_05_28_drive_0006_sync_000255,2,B,20.820794295540793,3.0359522130614507,1,301484,0.057216945822093024,0.026223272456319426,1.0672366645362963,103.74480804467827,103.74480804467827,103.74479675292969,0.0
2013_05_28_drive_0006_sync_000260,2,B,20.483007432268003,3.019595636669012,1,284958,0.06841931436689852,0.03456387856754888,1.0995709749940394,103.74480804467827,103.74480804467827,103.74479675292969,0.0
2013_05_28_drive_0006_sync_000265,2,B,20.07333196905496,2.999392166420761,1,270573,0.07778083141524128,0.04293894553889015,1.1298067858878094,103.74480804467827,103.74480804467827,103.74479675292969,0.0
2013_05_28_drive_0006_sync_000270,2,B,20.443061543698136,3.0176435361006204,1,256716,0.07339281381656271,0.06062008190885539,1.1568176733306414,103.74480804467827,103.74480804467827,103.74479675292969,0.0
2013_05_28_drive_0006_sync_000275,2,B,20.591637312564625,3.0248850376724663,1,247646,0.09725523356185706,0.09484881895871357,1.3132905048310104,103.74480804467827,103.74480804467827,103.74479675292969,0.0
2013_05_28_drive_0006_sync_000280,2,B,20.12594602461743,3.002009829634219,1,258418,0.09826710007589212,0.07570247121167065,1.261173365581486,103.74480804467827,103.74480804467827,103.74479675292969,0.0
2013_05_28_drive_0006_sync_000285,2,B,19.907062910733845,2.991074588898573,1,259706,0.08925869230149619,0.030687319134054022,1.0986063611063452,103.74480804467827,103.74480804467827,103.74479675292969,0.0
2013_05_28_drive_0006_sync_000290,2,B,18.686433581900914,2.9277977836711315,1,262605,0.10758069125738201,0.040157618023904086,1.116445105379702,103.74480804467827,103.74480804467827,103.74479675292969,0.0
2013_05_28_drive_0006_sync_000295,2,B,19.00640468576196,2.9447760110891146,1,256706,0.09093189102120736,0.04701257252788122,1.123112064556186,103.74480804467827,103.74480804467827,103.74479675292969,0.0
2013_05_28_drive_0006_sync_000300,2,B,19.502971208014458,2.9705668236043934,1,262628,0.07792880746763764,0.03642181205993261,1.104040153367445,103.74480804467827,103.74480804467827,103.74479675292969,0.0
2013_05_28_drive_0006_sync_000305,2,B,18.453045966110263,2.915229449874291,1,272684,0.08800415342468781,0.04288779294617525,1.1228453937181173,103.74480804467827,103.74480804467827,103.74479675292969,0.0
2013_05_28_drive_0006_sync_000310,2,B,18.09164194797237,2.8954500607925415,1,276326,0.08135460547818085,0.045001334784925386,1.1118999624971149,103.74480804467827,103.74480804467827,103.74479675292969,0.0
