clip_id,group,unit,B-R_btp,B-R_bfp,B-R_bfn,B-R_oracle_r0_btp,B-R_oracle_r0_bfp,B-R_oracle_r0_bfn,B-R_oracle_r0.4_btp,B-R_oracle_r0.4_bfp,B-R_oracle_r0.4_bfn,B-R_oracle_r0.8_btp,B-R_oracle_r0.8_bfp,B-R_oracle_r0.8_bfn,B-R_oracle_r1.2_btp,B-R_oracle_r1.2_bfp,B-R_oracle_r1.2_bfn,B-R_oracle_r2_btp,B-R_oracle_r2_bfp,B-R_oracle_r2_bfn,B-R_oracle_r4_btp,B-R_oracle_r4_bfp,B-R_oracle_r4_bfn,B-R_morph_r0_btp,B-R_morph_r0_bfp,B-R_morph_r0_bfn,B-R_morph_r0.4_btp,B-R_morph_r0.4_bfp,B-R_morph_r0.4_bfn,B-R_morph_r0.8_btp,B-R_morph_r0.8_bfp,B-R_morph_r0.8_bfn,B-R_morph_r1.2_btp,B-R_morph_r1.2_bfp,B-R_morph_r1.2_bfn,B-R_morph_r2_btp,B-R_morph_r2_bfp,B-R_morph_r2_bfn,B-R_morph_r4_btp,B-R_morph_r4_bfp,B-R_morph_r4_bfn,B-D_btp,B-D_bfp,B-D_bfn,B-D_oracle_r0_btp,B-D_oracle_r0_bfp,B-D_oracle_r0_bfn,B-D_oracle_r0.4_btp,B-D_oracle_r0.4_bfp,B-D_oracle_r0.4_bfn,B-D_oracle_r0.8_btp,B-D_oracle_r0.8_bfp,B-D_oracle_r0.8_bfn,B-D_oracle_r1.2_btp,B-D_oracle_r1.2_bfp,B-D_oracle_r1.2_bfn,B-D_oracle_r2_btp,B-D_oracle_r2_bfp,B-D_oracle_r2_bfn,B-D_oracle_r4_btp,B-D_oracle_r4_bfp,B-D_oracle_r4_bfn,B-D_morph_r0_btp,B-D_morph_r0_bfp,B-D_morph_r0_bfn,B-D_morph_r0.4_btp,B-D_morph_r0.4_bfp,B-D_morph_r0.4_bfn,B-D_morph_r0.8_btp,B-D_morph_r0.8_bfp,B-D_morph_r0.8_bfn,B-D_morph_r1.2_btp,B-D_morph_r1.2_bfp,B-D_morph_r1.2_bfn,B-D_morph_r2_btp,B-D_morph_r2_bfp,B-D_morph_r2_bfn,B-D_morph_r4_btp,B-D_morph_r4_bfp,B-D_morph_r4_bfn
08_002475_002495_s5,08,block004,12168,15934,70138,12168,15934,70138,29678,15934,52628,39464,15934,42842,45665,15934,36641,52941,15934,29365,62564,15934,19742,12168,15934,70138,29678,72492,52628,39464,146090,42842,45665,222707,36641,52941,352008,29365,62564,581643,19742,35829,107718,46477,35829,107718,46477,42503,107718,39803,47435,107718,34871,51271,107718,31035,56835,107718,25471,64253,107718,18053,35829,107718,46477,42503,175906,39803,47435,247701,34871,51271,316510,31035,56835,429762,25471,64253,632033,18053
08_002500_002520_s5,08,block005,8953,8413,91073,8953,8413,91073,19953,8413,80073,26094,8413,73932,31144,8413,68882,38300,8413,61726,49282,8413,50744,8953,8413,91073,19953,40342,80073,26094,83526,73932,31144,131657,68882,38300,219409,61726,49282,388409,50744,23443,59732,76583,23443,59732,76583,28296,59732,71730,32799,59732,67227,36609,59732,63417,41876,59732,58150,51793,59732,48233,23443,59732,76583,28296,102241,71730,32799,148126,67227,36609,194193,63417,41876,273005,58150,51793,426117,48233
08_002525_002545_s5,08,block005,5772,12891,87928,5772,12891,87928,17220,12891,76480,22969,12891,70731,28034,12891,65666,33574,12891,60126,45996,12891,47704,5772,12891,87928,17220,43487,76480,22969,80152,70731,28034,120331,65666,33574,197341,60126,45996,375280,47704,20365,59386,73335,20365,59386,73335,25301,59386,68399,29357,59386,64343,32239,59386,61461,36739,59386,56961,50362,59386,43338,20365,59386,73335,25301,95253,68399,29357,133998,64343,32239,174125,61461,36739,248679,56961,50362,419900,43338
08_002550_002570_s5,08,block005,3240,17226,109786,3240,17226,109786,17962,17226,95064,25629,17226,87397,33088,17226,79938,42795,17226,70231,61354,17226,51672,3240,17226,109786,17962,63489,95064,25629,117722,87397,33088,172451,79938,42795,268244,70231,61354,453620,51672,21778,87315,91248,21778,87315,91248,28630,87315,84396,35032,87315,77994,40008,87315,73018,48255,87315,64771,65152,87315,47874,21778,87315,91248,28630,138767,84396,35032,189823,77994,40008,239595,73018,48255,327564,64771,65152,493052,47874
08_002575_002595_s5,08,block005,4477,17983,95742,4477,17983,95742,16894,17983,83325,23725,17983,76494,29798,17983,70421,38545,17983,61674,51782,17983,48437,4477,17983,95742,16894,63430,83325,23725,117667,76494,29798,175490,70421,38545,278866,61674,51782,467704,48437,20520,88020,79699,20520,88020,79699,26415,88020,73804,31510,88020,68709,36063,88020,64156,43683,88020,56536,54609,88020,45610,20520,88020,79699,26415,140300,73804,31510,194472,68709,36063,248712,64156,43683,341504,56536,54609,503361,45610
08_002600_002620_s5,08,block005,7586,18476,61734,7586,18476,61734,15157,18476,54163,20093,18476,49227,24161,18476,45159,29412,18476,39908,39197,18476,30123,7586,18476,61734,15157,75651,54163,20093,155488,49227,24161,235012,45159,29412,349333,39908,39197,515995,30123,17882,115215,51438,17882,115215,51438,22017,115215,47303,25369,115215,43951,28116,115215,41204,32737,115215,36583,42093,115215,27227,17882,115215,51438,22017,190105,47303,25369,259861,43951,28116,320866,41204,32737,408308,36583,42093,552967,27227
08_002625_002645_s5,08,block005,9848,6804,140628,9848,6804,140628,23308,6804,127168,30512,6804,119964,36503,6804,113973,46408,6804,104068,73460,6804,77016,9848,6804,140628,23308,40142,127168,30512,88572,119964,36503,144828,113973,46408,252772,104068,73460,489412,77016,27574,60686,122902,27574,60686,122902,33267,60686,117209,38515,60686,111961,43754,60686,106722,54059,60686,96417,81325,60686,69151,27574,60686,122902,33267,109556,117209,38515,163821,111961,43754,220435,106722,54059,322153,96417,81325,551283,69151
08_002650_002670_s5,08,block005,9606,17770,130871,9606,17770,130871,24924,17770,115553,35898,17770,104579,44607,17770,95870,58195,17770,82282,82517,17770,57960,9606,17770,130871,24924,80813,115553,35898,155693,104579,44607,232190,95870,58195,365628,82282,82517,637989,57960,31225,118003,109252,31225,118003,109252,39921,118003,100556,47617,118003,92860,54665,118003,85812,66054,118003,74423,87234,118003,53243,31225,118003,109252,39921,187240,100556,47617,258001,92860,54665,327819,85812,66054,450085,74423,87234,699114,53243
08_002675_002695_s5,08,block005,8287,15596,114929,8287,15596,114929,23481,15596,99735,32797,15596,90419,41029,15596,82187,52689,15596,70527,72592,15596,50624,8287,15596,114929,23481,70862,99735,32797,138400,90419,41029,212442,82187,52689,352215,70527,72592,643823,50624,28829,104209,94387,28829,104209,94387,36407,104209,86809,43736,104209,79480,50043,104209,73173,58934,104209,64282,77776,104209,45440,28829,104209,94387,36407,168549,86809,43736,239336,79480,50043,312741,73173,58934,441973,64282,77776,712564,45440
08_002700_002720_s5,08,block005,8594,13852,105993,8594,13852,105993,27026,13852,87561,38005,13852,76582,44864,13852,69723,55128,13852,59459,73188,13852,41399,8594,13852,105993,27026,70310,87561,38005,142605,76582,44864,221720,69723,55128,376978,59459,73188,733485,41399,33799,104912,80788,33799,104912,80788,41191,104912,73396,47029,104912,67558,52487,104912,62100,61053,104912,53534,76718,104912,37869,33799,104912,80788,41191,173644,73396,47029,249833,67558,52487,330723,62100,61053,484597,53534,76718,818302,37869
