clip_id,group,unit,B-R_btp,B-R_bfp,B-R_bfn,B-R_oracle_r0_btp,B-R_oracle_r0_bfp,B-R_oracle_r0_bfn,B-R_oracle_r0.4_btp,B-R_oracle_r0.4_bfp,B-R_oracle_r0.4_bfn,B-R_oracle_r0.8_btp,B-R_oracle_r0.8_bfp,B-R_oracle_r0.8_bfn,B-R_oracle_r1.2_btp,B-R_oracle_r1.2_bfp,B-R_oracle_r1.2_bfn,B-R_oracle_r2_btp,B-R_oracle_r2_bfp,B-R_oracle_r2_bfn,B-R_oracle_r4_btp,B-R_oracle_r4_bfp,B-R_oracle_r4_bfn,B-R_morph_r0_btp,B-R_morph_r0_bfp,B-R_morph_r0_bfn,B-R_morph_r0.4_btp,B-R_morph_r0.4_bfp,B-R_morph_r0.4_bfn,B-R_morph_r0.8_btp,B-R_morph_r0.8_bfp,B-R_morph_r0.8_bfn,B-R_morph_r1.2_btp,B-R_morph_r1.2_bfp,B-R_morph_r1.2_bfn,B-R_morph_r2_btp,B-R_morph_r2_bfp,B-R_morph_r2_bfn,B-R_morph_r4_btp,B-R_morph_r4_bfp,B-R_morph_r4_bfn,B-D_btp,B-D_bfp,B-D_bfn,B-D_oracle_r0_btp,B-D_oracle_r0_bfp,B-D_oracle_r0_bfn,B-D_oracle_r0.4_btp,B-D_oracle_r0.4_bfp,B-D_oracle_r0.4_bfn,B-D_oracle_r0.8_btp,B-D_oracle_r0.8_bfp,B-D_oracle_r0.8_bfn,B-D_oracle_r1.2_btp,B-D_oracle_r1.2_bfp,B-D_oracle_r1.2_bfn,B-D_oracle_r2_btp,B-D_oracle_r2_bfp,B-D_oracle_r2_bfn,B-D_oracle_r4_btp,B-D_oracle_r4_bfp,B-D_oracle_r4_bfn,B-D_morph_r0_btp,B-D_morph_r0_bfp,B-D_morph_r0_bfn,B-D_morph_r0.4_btp,B-D_morph_r0.4_bfp,B-D_morph_r0.4_bfn,B-D_morph_r0.8_btp,B-D_morph_r0.8_bfp,B-D_morph_r0.8_bfn,B-D_morph_r1.2_btp,B-D_morph_r1.2_bfp,B-D_morph_r1.2_bfn,B-D_morph_r2_btp,B-D_morph_r2_bfp,B-D_morph_r2_bfn,B-D_morph_r4_btp,B-D_morph_r4_bfp,B-D_morph_r4_bfn
scene-0221_CAM_FRONT_2d65df53_1244ad3a,scene-0221,scene-0221,1094,205,8058,1094,205,8058,2187,205,6965,2730,205,6422,3284,205,5868,4178,205,4974,5768,205,3384,1094,205,8058,2187,744,6965,2730,1835,6422,3284,4012,5868,4178,8901,4974,5768,15957,3384,2560,1408,6592,2560,1408,6592,3058,1408,6094,3473,1408,5679,3951,1408,5201,4791,1408,4361,6077,1408,3075,2560,1408,6592,3058,2839,6094,3473,4849,5679,3951,7486,5201,4791,11800,4361,6077,16814,3075
scene-0221_CAM_FRONT_79070dca_daeec522,scene-0221,scene-0221,975,1044,16692,975,1044,16692,2954,1044,14713,4939,1044,12728,6390,1044,11277,7417,1044,10250,8699,1044,8968,975,1044,16692,2954,2429,14713,4939,4559,12728,6390,8355,11277,7417,17806,10250,8699,36460,8968,3887,3787,13780,3887,3787,13780,5637,3787,12030,6714,3787,10953,7241,3787,10426,7887,3787,9780,9079,3787,8588,3887,3787,13780,5637,6470,12030,6714,9878,10953,7241,14953,10426,7887,24397,9780,9079,39449,8588
scene-0221_CAM_FRONT_8e21bcb6_99ca4527,scene-0221,scene-0221,1747,2137,14886,1747,2137,14886,4558,2137,12075,5364,2137,11269,6089,2137,10544,7153,2137,9480,9350,2137,7283,1747,2137,14886,4558,4309,12075,5364,6676,11269,6089,10404,10544,7153,18373,9480,9350,34115,7283,5181,5852,11452,5181,5852,11452,5773,5852,10860,6303,5852,10330,6915,5852,9718,7824,5852,8809,9851,5852,6782,5181,5852,11452,5773,8230,10860,6303,11558,10330,6915,15915,9718,7824,23400,8809,9851,37031,6782
scene-0221_CAM_FRONT_af0f72a7_959c87c7,scene-0221,scene-0221,851,665,8132,851,665,8132,1489,665,7494,1989,665,6994,2381,665,6602,2883,665,6100,4148,665,4835,851,665,8132,1489,2020,7494,1989,4219,6994,2381,7341,6602,2883,12574,6100,4148,22178,4835,1880,3565,7103,1880,3565,7103,2236,3565,6747,2485,3565,6498,2765,3565,6218,3217,3565,5766,4582,3565,4401,1880,3565,7103,2236,5838,6747,2485,8351,6498,2765,11279,6218,3217,15939,5766,4582,23838,4401
scene-0221_CAM_FRONT_bb9c0abe_5dd954d0,scene-0221,scene-0221,1747,1400,13210,1747,1400,13210,3026,1400,11931,3512,1400,11445,3937,1400,11020,4512,1400,10445,6246,1400,8711,1747,1400,13210,3026,3121,11931,3512,5128,11445,3937,7907,11020,4512,12708,10445,6246,23134,8711,3386,4371,11571,3386,4371,11571,3743,4371,11214,4035,4371,10922,4387,4371,10570,4985,4371,9972,6696,4371,8261,3386,4371,11571,3743,6355,11214,4035,8690,10922,4387,11315,10570,4985,15747,9972,6696,25989,8261
scene-0221_CAM_FRONT_fa48d104_e9ae8c38,scene-0221,scene-0221,899,202,8997,899,202,8997,1987,202,7909,2547,202,7349,3041,202,6855,3652,202,6244,5010,202,4886,899,202,8997,1987,652,7909,2547,1481,7349,3041,3179,6855,3652,7626,6244,5010,17078,4886,2325,1097,7571,2325,1097,7571,2832,1097,7064,3154,1097,6742,3511,1097,6385,4119,1097,5777,5322,1097,4574,2325,1097,7571,2832,2185,7064,3154,3825,6742,3511,6207,6385,4119,10761,5777,5322,18911,4574
scene-0268_CAM_FRONT_08d95280_4094ae46,scene-0268,scene-0268,615,211,11211,615,211,11211,2156,211,9670,3546,211,8280,4509,211,7317,5393,211,6433,6730,211,5096,615,211,11211,2156,730,9670,3546,1762,8280,4509,3962,7317,5393,9942,6433,6730,21497,5096,2748,1295,9078,2748,1295,9078,4189,1295,7637,4736,1295,7090,5224,1295,6602,5811,1295,6015,7074,1295,4752,2748,1295,9078,4189,2708,7637,4736,4872,7090,5224,8097,6602,5811,14081,6015,7074,23305,4752
scene-0268_CAM_FRONT_296fcfbf_dc2b67cd,scene-0268,scene-0268,498,1184,11514,498,1184,11514,2486,1184,9526,4035,1184,7977,6256,1184,5756,8119,1184,3893,10309,1184,1703,498,1184,11514,2486,2797,9526,4035,5035,7977,6256,9052,5756,8119,20866,3893,10309,45800,1703,3168,4223,8844,3168,4223,8844,4697,4223,7315,6819,4223,5193,7757,4223,4255,8933,4223,3079,10733,4223,1279,3168,4223,8844,4697,6910,7315,6819,10617,5193,7757,16519,4255,8933,29831,3079,10733,48785,1279
scene-0268_CAM_FRONT_30e55a3e_01a7d01c,scene-0268,scene-0268,686,293,11747,686,293,11747,2250,293,10183,4139,293,8294,5471,293,6962,6898,293,5535,9582,293,2851,686,293,11747,2250,828,10183,4139,1742,8294,5471,3717,6962,6898,11602,5535,9582,32259,2851,2882,1443,9551,2882,1443,9551,4561,1443,7872,5942,1443,6491,6629,1443,5804,7711,1443,4722,10106,1443,2327,2882,1443,9551,4561,2668,7872,5942,4598,6491,6629,8468,5804,7711,18500,4722,10106,34353,2327
scene-0268_CAM_FRONT_4f9ad42b_adcff599,scene-0268,scene-0268,447,100,9676,447,100,9676,1270,100,8853,1745,100,8378,2092,100,8031,2453,100,7670,3581,100,6542,447,100,9676,1270,247,8853,1745,537,8378,2092,1105,8031,2453,3109,7670,3581,8808,6542,1601,400,8522,1601,400,8522,1976,400,8147,2179,400,7944,2376,400,7747,2777,400,7346,3907,400,6216,1601,400,8522,1976,769,8147,2179,1324,7944,2376,2430,7747,2777,4729,7346,3907,10469,6216
