clip_id,group,unit,B-R_btp,B-R_bfp,B-R_bfn,B-R_oracle_r0_btp,B-R_oracle_r0_bfp,B-R_oracle_r0_bfn,B-R_oracle_r0.4_btp,B-R_oracle_r0.4_bfp,B-R_oracle_r0.4_bfn,B-R_oracle_r0.8_btp,B-R_oracle_r0.8_bfp,B-R_oracle_r0.8_bfn,B-R_oracle_r1.2_btp,B-R_oracle_r1.2_bfp,B-R_oracle_r1.2_bfn,B-R_oracle_r2_btp,B-R_oracle_r2_bfp,B-R_oracle_r2_bfn,B-R_oracle_r4_btp,B-R_oracle_r4_bfp,B-R_oracle_r4_bfn,B-R_morph_r0_btp,B-R_morph_r0_bfp,B-R_morph_r0_bfn,B-R_morph_r0.4_btp,B-R_morph_r0.4_bfp,B-R_morph_r0.4_bfn,B-R_morph_r0.8_btp,B-R_morph_r0.8_bfp,B-R_morph_r0.8_bfn,B-R_morph_r1.2_btp,B-R_morph_r1.2_bfp,B-R_morph_r1.2_bfn,B-R_morph_r2_btp,B-R_morph_r2_bfp,B-R_morph_r2_bfn,B-R_morph_r4_btp,B-R_morph_r4_bfp,B-R_morph_r4_bfn,B-D_btp,B-D_bfp,B-D_bfn,B-D_oracle_r0_btp,B-D_oracle_r0_bfp,B-D_oracle_r0_bfn,B-D_oracle_r0.4_btp,B-D_oracle_r0.4_bfp,B-D_oracle_r0.4_bfn,B-D_oracle_r0.8_btp,B-D_oracle_r0.8_bfp,B-D_oracle_r0.8_bfn,B-D_oracle_r1.2_btp,B-D_oracle_r1.2_bfp,B-D_oracle_r1.2_bfn,B-D_oracle_r2_btp,B-D_oracle_r2_bfp,B-D_oracle_r2_bfn,B-D_oracle_r4_btp,B-D_oracle_r4_bfp,B-D_oracle_r4_bfn,B-D_morph_r0_btp,B-D_morph_r0_bfp,B-D_morph_r0_bfn,B-D_morph_r0.4_btp,B-D_morph_r0.4_bfp,B-D_morph_r0.4_bfn,B-D_morph_r0.8_btp,B-D_morph_r0.8_bfp,B-D_morph_r0.8_bfn,B-D_morph_r1.2_btp,B-D_morph_r1.2_bfp,B-D_morph_r1.2_bfn,B-D_morph_r2_btp,B-D_morph_r2_bfp,B-D_morph_r2_bfn,B-D_morph_r4_btp,B-D_morph_r4_bfp,B-D_morph_r4_bfn
2013_05_28_drive_0006_sync_005525,52,block052,3192,8878,70728,3192,8878,70728,15353,8878,58567,27970,8878,45950,37273,8878,36647,47289,8878,26631,59439,8878,14481,3192,8878,70728,15353,35305,58567,27970,64259,45950,37273,95004,36647,47289,141949,26631,59439,190240,14481,22980,52588,50940,22980,52588,50940,32651,52588,41269,40037,52588,33883,45467,52588,28453,51178,52588,22742,61313,52588,12607,22980,52588,50940,32651,78254,41269,40037,106404,33883,45467,131973,28453,51178,163384,22742,61313,196352,12607
2013_05_28_drive_0006_sync_005530,52,block052,4137,9973,78683,4137,9973,78683,17333,9973,65487,30167,9973,52653,40370,9973,42450,51213,9973,31607,63525,9973,19295,4137,9973,78683,17333,35937,65487,30167,63214,52653,40370,92866,42450,51213,136488,31607,63525,172966,19295,24356,51410,58464,24356,51410,58464,34905,51410,47915,43656,51410,39164,49289,51410,33531,55370,51410,27450,66071,51410,16749,24356,51410,58464,34905,76326,47915,43656,102713,39164,49289,126304,33531,55370,155488,27450,66071,177860,16749
2013_05_28_drive_0006_sync_005535,52,block052,4757,8496,74914,4757,8496,74914,16504,8496,63167,27009,8496,52662,34998,8496,44673,42964,8496,36707,54430,8496,25241,4757,8496,74914,16504,27027,63167,27009,47056,52662,34998,69463,44673,42964,102702,36707,54430,131635,25241,22267,38022,57404,22267,38022,57404,30872,38022,48799,37145,38022,42526,41337,38022,38334,46682,38022,32989,56877,38022,22794,22267,38022,57404,30872,56678,48799,37145,76916,42526,41337,95294,38334,46682,115578,32989,56877,136450,22794
2013_05_28_drive_0006_sync_005540,52,block052,5349,6256,78605,5349,6256,78605,15737,6256,68217,24427,6256,59527,30643,6256,53311,37204,6256,46750,50031,6256,33923,5349,6256,78605,15737,19015,68217,24427,31836,59527,30643,45893,53311,37204,68652,46750,50031,107816,33923,20843,25648,63111,20843,25648,63111,27579,25648,56375,32380,25648,51574,35754,25648,48200,41117,25648,42837,53481,25648,30473,20843,25648,63111,27579,37856,56375,32380,50618,51574,35754,62756,48200,41117,82425,42837,53481,116204,30473
2013_05_28_drive_0006_sync_005545,52,block052,4149,4883,60123,4149,4883,60123,12191,4883,52081,18829,4883,45443,23385,4883,40887,28873,4883,35399,37732,4883,26540,4149,4883,60123,12191,13795,52081,18829,23040,45443,23385,33250,40887,28873,49196,35399,37732,76375,26540,15897,18215,48375,15897,18215,48375,21063,18215,43209,24651,18215,39621,27513,18215,36759,32030,18215,32242,39354,18215,24918,15897,18215,48375,21063,27199,43209,24651,36570,39621,27513,44957,36759,32030,58630,32242,39354,84003,24918
2013_05_28_drive_0006_sync_005550,52,block052,4023,4608,56290,4023,4608,56290,12578,4608,47735,19307,4608,41006,23455,4608,36858,27097,4608,33216,32428,4608,27885,4023,4608,56290,12578,13272,47735,19307,21193,41006,23455,28408,36858,27097,40528,33216,32428,62205,27885,16469,17548,43844,16469,17548,43844,21424,17548,38889,24450,17548,35863,26258,17548,34055,28880,17548,31433,34050,17548,26263,16469,17548,43844,21424,24382,38889,24450,30755,35863,26258,37176,34055,28880,48158,31433,34050,68310,26263
2013_05_28_drive_0006_sync_005555,52,block052,4882,3201,73766,4882,3201,73766,13461,3201,65187,19547,3201,59101,23136,3201,55512,27215,3201,51433,38804,3201,39844,4882,3201,73766,13461,11427,65187,19547,20010,59101,23136,28730,55512,27215,46375,51433,38804,85057,39844,17232,16136,61416,17232,16136,61416,21375,16136,57273,24079,16136,54569,26165,16136,52483,30275,16136,48373,40851,16136,37797,17232,16136,61416,21375,23708,57273,24079,31914,54569,26165,41161,52483,30275,58831,48373,40851,92260,37797
2013_05_28_drive_0006_sync_005560,52,block052,3411,3695,77209,3411,3695,77209,10033,3695,70587,15823,3695,64797,20394,3695,60226,26047,3695,54573,33789,3695,46831,3411,3695,77209,10033,12162,70587,15823,21404,64797,20394,30931,60226,26047,48085,54573,33789,79203,46831,13332,17004,67288,13332,17004,67288,18007,17004,62613,21839,17004,58781,24798,17004,55822,28817,17004,51803,35314,17004,45306,13332,17004,67288,18007,25330,62613,21839,34157,58781,24798,43233,55822,28817,60143,51803,35314,84787,45306
2013_05_28_drive_0006_sync_005565,52,block052,2449,3730,79469,2449,3730,79469,7831,3730,74087,12493,3730,69425,16562,3730,65356,22847,3730,59071,29226,3730,52692,2449,3730,79469,7831,13183,74087,12493,24112,69425,16562,35378,65356,22847,55725,59071,29226,85670,52692,10625,19056,71293,10625,19056,71293,14392,19056,67526,18020,19056,63898,21470,19056,60448,25682,19056,56236,30182,19056,51736,10625,19056,71293,14392,28983,67526,18020,39593,63898,21470,50349,60448,25682,67946,56236,30182,91468,51736
2013_05_28_drive_0006_sync_005570,52,block052,2597,4040,94069,2597,4040,94069,8591,4040,88075,13268,4040,83398,17015,4040,79651,22123,4040,74543,27626,4040,69040,2597,4040,94069,8591,13671,88075,13268,24644,83398,17015,35704,79651,22123,54447,74543,27626,80781,69040,11201,19412,85465,11201,19412,85465,15042,19412,81624,18164,19412,78502,21023,19412,75643,24227,19412,72439,28586,19412,68080,11201,19412,85465,15042,29396,81624,18164,39456,78502,21023,49583,75643,24227,64888,72439,28586,85804,68080
