clip_id,sequence,method,iou,precision,recall,n_points
08_001600_001620_s5,08,ceiling_gt_lidar_gt_pose,0.11903483010470656,0.8841450777202072,0.12092093794510937,93156
08_001625_001645_s5,08,ceiling_gt_lidar_gt_pose,0.10701356908907331,0.9066819675551614,0.10820535486401185,88303
08_001650_001670_s5,08,ceiling_gt_lidar_gt_pose,0.10489776936050518,0.8987518002880461,0.10615218870492175,91741
08_001675_001695_s5,08,ceiling_gt_lidar_gt_pose,0.09353931234753086,0.7915349173367061,0.09590188158802089,92014
08_001700_001720_s5,08,ceiling_gt_lidar_gt_pose,0.10736403254314125,0.8628822381262199,0.10922754881438523,84748
08_001725_001745_s5,08,ceiling_gt_lidar_gt_pose,0.11290550513456647,0.9558657361249585,0.11349717460618114,86577
08_001750_001770_s5,08,ceiling_gt_lidar_gt_pose,0.11168573857830404,0.9349614731618128,0.1125602383591582,89953
08_001775_001795_s5,08,ceiling_gt_lidar_gt_pose,0.14720660035809782,0.8858458325422441,0.15005306489998071,94146
08_001800_001820_s5,08,ceiling_gt_lidar_gt_pose,0.22523473052615872,0.8962680237489398,0.23126333643376923,92883
08_001825_001845_s5,08,ceiling_gt_lidar_gt_pose,0.18787139847060774,0.9078480723029402,0.19152376700013274,94566
08_001850_001870_s5,08,ceiling_gt_lidar_gt_pose,0.14322959698889196,0.8755822436724844,0.1462052420979637,91451
08_001875_001895_s5,08,ceiling_gt_lidar_gt_pose,0.16422596368744813,0.9629329173166926,0.16527075657612886,88919
08_001900_001920_s5,08,ceiling_gt_lidar_gt_pose,0.22092006565323435,0.96276489070125,0.22282390073336014,91208
08_001925_001945_s5,08,ceiling_gt_lidar_gt_pose,0.14660812565704037,0.9490032823633016,0.14777232042683686,92648
08_001950_001970_s5,08,ceiling_gt_lidar_gt_pose,0.12248880358285348,0.9447322970639033,0.12337285732697513,86053
08_001975_001995_s5,08,ceiling_gt_lidar_gt_pose,0.14249795025963377,0.9653767820773931,0.14322995357525478,88887
08_002000_002020_s5,08,ceiling_gt_lidar_gt_pose,0.14357957647329253,0.96053053117191,0.14443170541365988,93600
08_002025_002045_s5,08,ceiling_gt_lidar_gt_pose,0.11467239353296325,0.9628306540784214,0.11518228716205904,89224
08_002050_002070_s5,08,ceiling_gt_lidar_gt_pose,0.11281517535535351,0.9697394965353916,0.11321372982714836,90145
08_002075_002095_s5,08,ceiling_gt_lidar_gt_pose,0.11200562264392051,0.964865608659756,0.1124643135913091,90655
08_002100_002120_s5,08,ceiling_gt_lidar_gt_pose,0.13764907563854323,0.9643165716260584,0.13835378703359366,92221
08_002125_002145_s5,08,ceiling_gt_lidar_gt_pose,0.17064909757342364,0.9724156164625011,0.17147919062567993,93391
08_002150_002170_s5,08,ceiling_gt_lidar_gt_pose,0.10955187128701037,0.9913466738777718,0.10965673195419902,92313
08_002175_002195_s5,08,ceiling_gt_lidar_gt_pose,0.14735445951393314,0.978330311663645,0.1478369775087408,91440
08_002200_002220_s5,08,ceiling_gt_lidar_gt_pose,0.1016532156078269,0.9342772612003382,0.1023853635942566,90850
08_002225_002245_s5,08,ceiling_gt_lidar_gt_pose,0.12217287794158044,0.9824206166589968,0.12244055198045356,88579
08_002250_002270_s5,08,ceiling_gt_lidar_gt_pose,0.14560808144582116,0.9840749771411155,0.1459519934906428,92649
08_002275_002295_s5,08,ceiling_gt_lidar_gt_pose,0.14472742149943746,0.9579419480409579,0.14565292914216602,89792
08_002300_002320_s5,08,ceiling_gt_lidar_gt_pose,0.1054712958564848,0.9570970328789093,0.10597231933761751,91306
08_002325_002345_s5,08,ceiling_gt_lidar_gt_pose,0.10426114729316557,0.9264720735279265,0.10513105566570777,77487
08_002350_002370_s5,08,ceiling_gt_lidar_gt_pose,0.12924974895997704,0.9241025641025641,0.13063650862693926,88366
08_002375_002395_s5,08,ceiling_gt_lidar_gt_pose,0.10847501040566068,0.942332653439644,0.1091999097521407,89482
