clip_id,sequence,anchor_frame,method,deployable,scale,s_star_joint,abs_log_scale_err,iou,precision,recall,n_pred_occupied,n_gt_occupied,n_points,reliable_target
08_000000_000020_s5,08,20,raw_canonical,1,1.0,29.560553168507,3.3864408093185405,0.0,0.0,0.0,75,107717,23686,1
08_000000_000020_s5,08,20,global_median_train,1,27.440963354012354,29.560553168507,0.07440389942360381,0.09390857320126748,0.31482765451664024,0.11803150848983912,40384,107717,313346,1
08_000000_000020_s5,08,20,oracle_depth,0,29.00970873786408,29.560553168507,0.018810251295468206,0.13938441348369474,0.43899742868815034,0.16959254342397206,41613,107717,313346,1
08_000000_000020_s5,08,20,oracle_pose,0,30.121857186645677,29.560553168507,0.018810251295468206,0.1480649714209964,0.48056286697712086,0.17627672512231124,39512,107717,313331,1
08_000000_000020_s5,08,20,oracle_joint,0,29.560553168507,29.560553168507,0.0,0.14912680099705974,0.4691657764397397,0.1793960099148695,41188,107717,313342,1
08_000025_000045_s5,08,45,raw_canonical,1,1.0,22.062611171272522,3.093884373605354,0.0,0.0,0.0,44,71516,18400,1
08_000025_000045_s5,08,45,global_median_train,1,27.440963354012354,22.062611171272522,0.21815253628958287,0.03293449653962374,0.20386152801870427,0.0377957380166676,13259,71516,272024,1
08_000025_000045_s5,08,45,oracle_depth,0,22.029173419773095,22.062611171272522,0.0015167341589736871,0.0925046386519319,0.35862287368802026,0.11084232898931708,22104,71516,272024,1
08_000025_000045_s5,08,45,oracle_pose,0,22.096099677432782,22.062611171272522,0.0015167341589736871,0.09441733656287664,0.3665394748796221,0.1128278986520499,22014,71516,272024,1
08_000025_000045_s5,08,45,oracle_joint,0,22.062611171272522,22.062611171272522,0.0,0.093728455075546,0.36323702563173627,0.11215672017450641,22082,71516,272024,1
08_000050_000070_s5,08,70,raw_canonical,1,1.0,28.674226241614992,3.355998678923904,0.0,0.0,0.0,65,128543,14082,1
08_000050_000070_s5,08,70,global_median_train,1,27.440963354012354,28.674226241614992,0.04396176902896709,0.11963046501740303,0.6188168636075595,0.12914744482391108,26827,128543,268474,1
08_000050_000070_s5,08,70,oracle_depth,0,26.337582865884748,28.674226241614992,0.08500175349062955,0.10284705832323361,0.5362329551753446,0.112888294189493,27061,128543,268474,1
08_000050_000070_s5,08,70,oracle_pose,0,31.2181742243453,28.674226241614992,0.08500175349062955,0.0499472794765502,0.41071322525090564,0.05380300755389247,16839,128543,268456,1
08_000050_000070_s5,08,70,oracle_joint,0,28.674226241614992,28.674226241614992,0.0,0.11232983894922155,0.6203737046372985,0.12062111511323059,24993,128543,268474,1
08_000075_000095_s5,08,95,raw_canonical,1,1.0,33.186537970329574,3.502144310870656,0.0,0.0,0.0,34,96813,5498,1
08_000075_000095_s5,08,95,global_median_train,1,27.440963354012354,33.186537970329574,0.1901074009757191,0.015529249030929825,0.06553760521314146,0.019945668453616765,29464,96813,273500,1
08_000075_000095_s5,08,95,oracle_depth,0,32.03007518796992,33.186537970329574,0.03546899982899365,0.12216909163747326,0.411383140552797,0.1480482992986479,34841,96813,273500,1
08_000075_000095_s5,08,95,oracle_pose,0,34.38475545226873,33.186537970329574,0.03546899982899321,0.12449767757423934,0.4408612086490482,0.14784171547209568,32466,96813,273497,1
08_000075_000095_s5,08,95,oracle_joint,0,33.186537970329574,33.186537970329574,0.0,0.12941105572630146,0.437281824528741,0.15526840403664796,34376,96813,273500,1
08_000100_000120_s5,08,120,raw_canonical,1,1.0,38.16029060143091,3.64179546189257,0.0,0.0,0.0,62,140790,25909,1
08_000100_000120_s5,08,120,global_median_train,1,27.440963354012354,38.16029060143091,0.3297585519976334,0.014392261974128889,0.07417417417417417,0.017543859649122806,33300,140790,296897,1
08_000100_000120_s5,08,120,oracle_depth,0,36.488372093023266,38.16029060143091,0.04480182485309969,0.07714152875686407,0.4005872756933116,0.0872078982882307,30650,140790,295400,1
08_000100_000120_s5,08,120,oracle_pose,0,39.908817391831235,38.16029060143091,0.04480182485309969,0.034835008617544565,0.23341481918570345,0.03933518005540166,23726,140790,293746,1
08_000100_000120_s5,08,120,oracle_joint,0,38.16029060143091,38.16029060143091,0.0,0.05117863281102984,0.3045425702661341,0.0579515590595923,26791,140790,295120,1
08_000125_000145_s5,08,145,raw_canonical,1,1.0,31.930175352630194,3.4635514984945797,0.0,0.0,0.0,44,187506,24982,1
08_000125_000145_s5,08,145,global_median_train,1,27.440963354012354,31.930175352630194,0.15151458859964295,0.028714215822996065,0.16755155945679145,0.033492261580962746,37481,187506,336885,1
