clip_id,frame,n_valid,s_frame,mad_log,moge_mask_fraction,lingbot_conf_fraction,fov_x_deg
scene-0003_CAM_FRONT_fd842039_f56a5440,0,64989,15.104959702153762,0.045215985321177765,0.9365889212827988,0.4277900349328921,66.03022003173828
scene-0003_CAM_FRONT_fd842039_f56a5440,1,64228,15.415657351557153,0.035974265914958226,0.9367071152785439,0.4226223307855961,65.25142669677734
scene-0003_CAM_FRONT_fd842039_f56a5440,2,63586,15.553404873084292,0.031894999145176905,0.9372455545924934,0.41828198460851523,64.70573425292969
scene-0003_CAM_FRONT_fd842039_f56a5440,3,63235,15.751083245798318,0.029560836197256357,0.9356696346492265,0.4160494313555538,63.83724594116211
scene-0003_CAM_FRONT_fd842039_f56a5440,4,63218,16.21325709621535,0.039872718844683464,0.935603971318257,0.41639088067659497,64.14228820800781
scene-0003_CAM_FRONT_f286cdae_21b99feb,0,66181,18.284361590114436,0.019594901719118596,0.9343891996953222,0.4386901478738213,65.33016204833984
scene-0003_CAM_FRONT_f286cdae_21b99feb,1,66574,18.784603689697462,0.01883688410662021,0.9332466577364537,0.44121161978304835,64.40168762207031
scene-0003_CAM_FRONT_f286cdae_21b99feb,2,67813,18.873315299924066,0.01833517030355658,0.9306398234969664,0.447738554881412,65.09542083740234
scene-0003_CAM_FRONT_f286cdae_21b99feb,3,65191,19.033446130087214,0.020352644177100032,0.9275996112730807,0.43101410448349226,65.64642333984375
scene-0003_CAM_FRONT_f286cdae_21b99feb,4,65681,19.383646537162164,0.024128719462896964,0.921545452157697,0.434763480681848,65.47333526611328
scene-0003_CAM_FRONT_cd908fdc_6180726f,0,69226,17.29383612685692,0.021658035241916673,0.9212893651669162,0.46033278176135317,66.24539947509766
scene-0003_CAM_FRONT_cd908fdc_6180726f,1,68798,17.180761800883094,0.0203508175349032,0.9191093425787303,0.45614346124550204,67.2473373413086
scene-0003_CAM_FRONT_cd908fdc_6180726f,2,69384,17.2916262448489,0.017570041245360102,0.9135148267801328,0.4594791584587503,66.99028778076172
scene-0003_CAM_FRONT_cd908fdc_6180726f,3,66964,17.81030832538168,0.016054969568382482,0.9079465763139233,0.43970792950384785,65.65523529052734
scene-0003_CAM_FRONT_cd908fdc_6180726f,4,67112,18.909202460562412,0.013336966730711941,0.9047487720957109,0.4406797468021958,63.91184616088867
scene-0003_CAM_FRONT_1ac0914c_e617edf7,0,62477,16.631810316885296,0.009544003568509485,0.8994694402857668,0.41024479289785415,65.1769027709961
scene-0003_CAM_FRONT_1ac0914c_e617edf7,1,61509,17.749197381587727,0.014245200531450397,0.8978081580122397,0.403888582460011,63.433589935302734
scene-0003_CAM_FRONT_1ac0914c_e617edf7,2,55703,17.61300374717195,0.0175648331551006,0.8965474220576262,0.36576445249914635,63.853939056396484
scene-0003_CAM_FRONT_1ac0914c_e617edf7,3,63160,17.80145587615838,0.013863461198703408,0.8958842224148347,0.4147295984030678,64.57262420654297
scene-0003_CAM_FRONT_1ac0914c_e617edf7,4,63948,17.32552131204044,0.015462221257529496,0.891760565229953,0.4199038688834607,65.81184387207031
scene-0003_CAM_FRONT_7c0aa537_5e4e25f8,0,61465,18.4498694221765,0.019883279519929964,0.8917933968954377,0.40359966380374546,64.08140563964844
scene-0003_CAM_FRONT_7c0aa537_5e4e25f8,1,63291,18.269751925898753,0.0189378181093538,0.8863564730911669,0.4155897880387676,64.58870697021484
scene-0003_CAM_FRONT_7c0aa537_5e4e25f8,2,61354,17.230501630892256,0.030054525836445745,0.8830470412103065,0.40463057809996583,67.36318969726562
scene-0003_CAM_FRONT_7c0aa537_5e4e25f8,3,63010,18.068587967943202,0.027448335379653965,0.8832571638694088,0.4152352060515326,66.9384994506836
scene-0003_CAM_FRONT_7c0aa537_5e4e25f8,4,66456,18.15033046028237,0.035887557519562296,0.8889370419982665,0.43719959026081473,66.73954010009766
scene-0003_CAM_FRONT_c1ab33c3_57a79294,0,74382,20.810693981749708,0.04312803150446731,0.8938749244871694,0.4886074120767998,65.41446685791016
