clip_id,frame,n_valid,s_frame,mad_log,moge_mask_fraction,lingbot_conf_fraction,fov_x_deg
08_002250_002270_s5,4,64758,17.797860054347826,0.056159766533167454,0.9479140550569122,0.8128290628290629,82.9640121459961
08_002275_002295_s5,0,64795,17.480157184695912,0.05149853186044018,0.943050193050193,0.813317956175099,83.67436981201172
08_002275_002295_s5,1,64694,17.967155129771882,0.060616180869049074,0.9436895151180865,0.8130547059118488,82.54905700683594
08_002275_002295_s5,2,64129,17.794895727226425,0.04655667797453411,0.9446547660833375,0.8094444165872737,82.6584701538086
08_002275_002295_s5,3,63301,17.609623223244142,0.06299778878907336,0.9482149125006268,0.7973349044777617,84.06781768798828
08_002275_002295_s5,4,60419,16.489012686642447,0.05141514231402544,0.9519129519129519,0.7609812966955825,85.11869049072266
08_002300_002320_s5,0,70064,22.357922957631093,0.03657112216905767,0.950609236323522,0.885899814471243,83.8950424194336
08_002300_002320_s5,1,68079,25.171983301827343,0.03584450987961496,0.948703805846663,0.8591235019806448,80.69648742675781
08_002300_002320_s5,2,69589,24.25404963070725,0.038771080776235145,0.9641603570174999,0.8748056962342676,81.98668670654297
08_002300_002320_s5,3,68896,23.925245251840696,0.04572809942670886,0.974565010279296,0.8649651506794364,82.47434997558594
08_002300_002320_s5,4,69913,24.147090305118112,0.04683293767030827,0.9863611292182721,0.8766233766233766,83.62543487548828
08_002325_002345_s5,0,69613,20.287894126935615,0.0544483089201786,0.9875896304467733,0.872712229855087,86.5687255859375
08_002325_002345_s5,1,70532,20.7057468580163,0.03691514777043414,0.9914631700345986,0.8841698841698842,83.51235961914062
08_002325_002345_s5,2,69477,21.03498234905398,0.02964780327001071,0.9928044928044928,0.8709446923732638,82.6008071899414
08_002325_002345_s5,3,69644,20.378102948588715,0.049303052532331915,0.9945845660131375,0.8730381587524445,82.28270721435547
08_002325_002345_s5,4,68623,18.605776982169953,0.04613099630848261,0.9944090658376372,0.8602391816677531,84.8056411743164
08_002350_002370_s5,0,69533,18.107050356657613,0.02806097723155787,0.9948102090959234,0.8716466930752645,84.12983703613281
08_002350_002370_s5,1,68223,17.421310552315457,0.04531866120699046,0.9949606378177807,0.8552875695732839,85.59257507324219
08_002350_002370_s5,2,71075,18.70766159081876,0.03389323767749497,0.9949104949104949,0.8909893195607481,82.78845977783203
08_002350_002370_s5,3,69691,18.778309099917983,0.045736630709116266,0.9941834227548513,0.8736398736398736,82.59574127197266
08_002350_002370_s5,4,69705,18.396726593257878,0.04255786859762889,0.9926039211753498,0.8738529809958382,83.94641876220703
08_002375_002395_s5,0,69696,16.624973309385048,0.025528956941904157,0.9874642731785589,0.8763350549064834,82.95094299316406
08_002375_002395_s5,1,68472,16.088819671387075,0.05095690040544376,0.9795291581005867,0.8648648648648649,84.71358489990234
08_002375_002395_s5,2,67454,17.087858560849394,0.0625248133932097,0.9808078022363736,0.8462493105350248,84.05567932128906
08_002375_002395_s5,3,65091,17.09015868985022,0.1169662126331028,0.9777992277992278,0.817805746377175,85.91649627685547
08_002375_002395_s5,4,62733,16.979680063251497,0.08024740855805534,0.9754926540640826,0.788735395878253,86.74154663085938
08_002400_002420_s5,0,55509,18.435777907403523,0.04022226443923094,0.9724464724464724,0.6996690568119139,86.75674438476562
08_002400_002420_s5,1,62249,18.848015845397175,0.06692241841355884,0.9737000451286165,0.7819034247605676,87.74686431884766
08_002400_002420_s5,2,59687,20.12745438259302,0.04024863917706156,0.9749536178107606,0.7483703555132126,89.00623321533203
08_002400_002420_s5,3,59452,21.536970684039087,0.07411853628081855,0.9767336910194053,0.746502532216818,85.65472412109375
08_002400_002420_s5,4,60620,19.937662760416668,0.04189507547159388,0.9727347941633656,0.7599157599157599,85.06541442871094
08_002425_002445_s5,0,64310,20.648765157731578,0.06575393271538821,0.9817103745675174,0.8062101990673419,84.1512680053711
08_002425_002445_s5,1,64619,20.27528774690742,0.04821019127840742,0.9649125006267864,0.8259163616306473,86.05589294433594
