clip_id,group,frame,offset,n_valid,s_c0,s_c3,s_moge,s_oracle,c0_abs_rel,c0_median_abs_rel,c0_median_abs_log,c0_rmse_m,c0_delta1,c0_n_valid,c0_delta2,c0_delta3,c0_absrel_0_10,c0_absrel_10_20,c0_absrel_20_40,c0_absrel_40_80,c3_abs_rel,c3_median_abs_rel,c3_median_abs_log,c3_rmse_m,c3_delta1,c3_n_valid,c3_delta2,c3_delta3,c3_absrel_0_10,c3_absrel_10_20,c3_absrel_20_40,c3_absrel_40_80,moge_abs_rel,moge_median_abs_rel,moge_median_abs_log,moge_rmse_m,moge_delta1,moge_n_valid,moge_delta2,moge_delta3,moge_absrel_0_10,moge_absrel_10_20,moge_absrel_20_40,moge_absrel_40_80,oracle_abs_rel,oracle_median_abs_rel,oracle_median_abs_log,oracle_rmse_m,oracle_delta1,oracle_n_valid,oracle_delta2,oracle_delta3,oracle_absrel_0_10,oracle_absrel_10_20,oracle_absrel_20_40,oracle_absrel_40_80
08_000000_000020_s5,08,0,-4,15883,27.3665,28.35684511457263,23.97878879775108,29.560553168507,0.0731914365600507,0.05204506548713246,0.053423589185640274,3.1571063954377325,0.9760120883963986,15883,0.9872190392243279,0.9893596927532582,0.052302478109174606,0.06823274521294394,0.1090446126171179,0.22688195361405977,0.04971243352983177,0.025527851648303516,0.025618245467404765,2.9662031982170296,0.9775231379462318,15883,0.9876597620096959,0.9896744947428068,0.029061225919016664,0.041947455714342,0.08906315129360895,0.20951798997634744,0.1844025659907658,0.16863664353476202,0.1845928478619081,4.376800976507296,0.7636466662469307,15883,0.9832525341560159,0.988730088774161,0.16802041766857678,0.1801501166876782,0.21269182214079482,0.3184852844898217,0.05347171880510326,0.036068918418249954,0.035731144928333514,2.8812816684128135,0.9775860983441416,15883,0.988289365988793,0.9896744947428068,0.04681911847578497,0.03753303552336328,0.0831657420195237,0.19270817110045158
08_000000_000020_s5,08,1,-3,16381,27.3665,28.35684511457263,23.97878879775108,29.560553168507,0.08675573121236965,0.07992420727977174,0.08322000861616319,2.49486822437444,0.9780843660338197,16381,0.9934680422440633,0.9970697759599536,0.08518526183821216,0.08030319671941702,0.09334619542080708,0.2976067017639862,0.05837790501911011,0.04781956732003133,0.048862529563967305,2.23827752191968,0.9842500457847506,16381,0.9947500152615836,0.9971308222941212,0.05288443101164667,0.05130057344455782,0.07095776137730579,0.27626979472569463,0.1963221993154074,0.19321229086441483,0.2146774212278959,3.9347842629405587,0.5920883950918747,16381,0.9911482815456932,0.9962151272816068,0.19768755184022896,0.19059390310393887,0.19851379251484833,0.3842482825350854,0.0391337008184308,0.024815477725255646,0.024868118801637085,2.1077369095516536,0.9851046944630975,16381,0.9949331542640865,0.9972529149624565,0.020782416718056813,0.03698650690858772,0.060651311996545325,0.2565364528472257
08_000000_000020_s5,08,2,-2,16803,27.3665,28.35684511457263,23.97878879775108,29.560553168507,0.0778481939470476,0.07390802180039786,0.07669279132994333,1.9135440364133227,0.9858358626435756,16803,0.9926798785931084,0.998809736356603,0.08604169818967242,0.06511034069205889,0.08852215117024681,0.12897795182601082,0.04889542726634915,0.041392961178631726,0.042238353284085095,1.6585697267071655,0.9861929417365947,16803,0.9931559840504672,0.9990477890852824,0.05296716768263077,0.03649819938752111,0.06530911463646351,0.10520079763904573,0.18961856766513535,0.18816021476566816,0.2084263124969281,3.3495646298847586,0.6736297089805392,16803,0.9917276676783907,0.9979170386240552,0.19918100272007438,0.178605085482985,0.19481703537528225,0.2360266887877063,0.0338128728850326,0.023084966678817712,0.023108846169608288,1.5604035459174603,0.9871451526513123,16803,0.9957745640659406,0.999226328631792,0.018336039814985453,0.03551868894241043,0.05311239007980882,0.09675402860406886
08_000000_000020_s5,08,3,-1,16361,27.3665,28.35684511457263,23.97878879775108,29.560553168507,0.05403696958091361,0.042393911812297805,0.043304711546201746,1.8364194901981676,0.983925187946947,16361,0.9919320334942852,0.9979830083735713,0.04273343423344596,0.0530237567522503,0.07195267191082579,0.1478516594208583,0.03779634405782549,0.022372095807558848,0.02233164186900649,1.6821229649826985,0.9845363975307133,16361,0.9921765173277917,0.9983497341238311,0.020182365079192348,0.03957384071513244,0.060934848799501534,0.12756592963734065,0.16497851287095802,0.1593457780358324,0.17353944904271668,3.149707418288344,0.8568547154819388,16361,0.9926654849948047,0.995904895788766,0.16111827192238665,0.16333062795557074,0.17195398695895717,0.2425905114261594,0.05256666770291276,0.04261078304256904,0.041966206551522056,1.7334937586391304,0.9841085508220769,16361,0.9931544526618178,0.9987775808324675,0.03713196577787286,0.058323369566825975,0.06423525848449584,0.12311742575416688
08_000000_000020_s5,08,4,0,16101,27.3665,28.35684511457263,23.97878879775108,29.560553168507,0.056656470275326214,0.03938308904867259,0.04015645904611942,1.9289355918087725,0.9786969753431464,16101,0.990124836966648,0.9957145518911868,0.031562363667180404,0.06891398488091997,0.08403874547824722,0.17093716686714253,0.040552611188431335,0.02217465106846874,0.022133236879056106,1.7339585941807314,0.9822371281286877,16101,0.9896900813614061,0.9958387677783989,0.018866590975371612,0.049917911623809395,0.06630379826708324,0.14181045945629453,0.16780589807907917,0.15633054262270255,0.1699778683270714,3.2645508825664633,0.8460344078007577,16101,0.9892553257561643,0.9926091547108875,0.1502314160006477,0.17545127361058926,0.187819610302696,0.2735672235851155,0.056297802432764533,0.0468032462029792,0.04586804947282008,1.7142642358189877,0.9827339916775356,16101,0.9898142972486181,0.9957145518911868,0.05031404034775952,0.05750556812849558,0.06499160136995387,0.11060663458335203
08_000025_000045_s5,08,0,-4,14815,27.3665,22.664676650539917,18.582136140046288,22.062611171272522,0.2220671389864643,0.23520221029270624,0.21125220072989803,3.342563714136507,0.622342220722241,14815,0.9937900776240297,0.995680053999325,0.24748856476166076,0.22105059900313362,0.16336702935754188,0.1705199788242192,0.04814008454812143,0.038387609925117964,0.037830240506597335,1.8619508164433096,0.9848126898413769,14815,0.9935200809989875,0.9962200472494094,0.03794650567775012,0.046188327372462576,0.07064708587112792,0.23939731381413737,0.17588459344742713,0.16183918672540193,0.17654002414434822,3.5121373782272127,0.7997300033749578,14815,0.9912251096861289,0.994802564967938,0.1556125787338757,0.17413136148051817,0.22257863787952165,0.371314591749742,0.04286481489481184,0.02364713249517868,0.023613495579208443,1.9661017864827603,0.9786702666216672,14815,0.9935200809989875,0.9957475531555856,0.023634999008020588,0.04291309932994221,0.08308394849030201,0.2535604299343155
08_000025_000045_s5,08,1,-3,14191,27.3665,22.664676650539917,18.582136140046288,22.062611171272522,0.22803128059529412,0.24143816282979808,0.21627518160875603,3.591182225679323,0.5724050454513424,14191,0.9917553378902121,0.9957719681488267,0.2503846471520978,0.23415941024102735,0.1575586887709477,0.21493399527404472,0.052196543252941215,0.040197636937567206,0.039577230877655634,2.2173524286837654,0.9823127334225917,14191,0.9930942146430837,0.9945740257909943,0.039838788854057415,0.052555233623980346,0.07169977835362398,0.222727961444937,0.1727776511870358,0.15768414472917017,0.17159279009048545,3.7172938247354215,0.8141780001409344,14191,0.9893594531745472,0.9937988866182792,0.15204476567156797,0.16654446760352024,0.2277316748068273,0.3588494188668938,0.04505518747218926,0.024969661624605663,0.02483331265819322,2.3031313761267396,0.9780847015714185,14191,0.9931646818406032,0.9943626241984356,0.022622874087555946,0.045976439535295566,0.08750032137369157,0.24039258968829186
08_000025_000045_s5,08,2,-2,13615,27.3665,22.664676650539917,18.582136140046288,22.062611171272522,0.21615648589137781,0.2273748553240739,0.20487762463304549,3.6038966536865966,0.6752111641571796,13615,0.9889092912229159,0.9950055086301873,0.24540708018060173,0.219314010368886,0.13891411815089988,0.20490072509789556,0.05372976287171948,0.03782661397877199,0.037450803098939556,2.6261181215685405,0.9770840984208593,13615,0.9911127432978333,0.9942710246052149,0.038696843209072476,0.05147395565138653,0.08066173901894136,0.23771985306635665,0.1828889516153328,0.16746126927796764,0.1832244955323863,4.167197011110456,0.7293426367976497,13615,0.986558942343004,0.9923613661402865,0.15690764956281955,0.1791847074352587,0.23903510451355864,0.37426911223194353,0.05153230663538997,0.02697657384760797,0.026906555153736633,2.742194513910188,0.9726037458685274,13615,0.9911861917003305,0.9937568857877341,0.02358840707327929,0.053173107416675275,0.10026086100323052,0.2570683386109663
08_000025_000045_s5,08,3,-1,12420,27.3665,22.664676650539917,18.582136140046288,22.062611171272522,0.2370582872609251,0.24276708801498126,0.21736369144705558,3.831864698493126,0.571256038647343,12420,0.9777777777777777,0.9876811594202899,0.26885276227502103,0.22416929600430585,0.18182463689811304,0.1786364898866224,0.06739757802358431,0.041769125055856025,0.041165064597628476,2.853305290649582,0.9644122383252818,12420,0.9809983896940419,0.9838164251207729,0.056635055538154476,0.06800123850840735,0.08899901949949915,0.1675916092473193,0.17813317522301317,0.1576914213258052,0.17160326706093176,4.220312691210578,0.7667471819645733,12420,0.9752012882447665,0.9826892109500805,0.14349996998878078,0.18701384198844628,0.24487751082860973,0.3175315809892799,0.06035044536139319,0.02880908064303809,0.02866900856239396,2.9445654599173774,0.9616747181964573,12420,0.9809983896940419,0.9835748792270531,0.03483627806361757,0.06709740644283801,0.10703696601503408,0.18970374278674818
08_000025_000045_s5,08,4,0,13527,27.3665,22.664676650539917,18.582136140046288,22.062611171272522,0.19901550744190383,0.20619716191066986,0.18748553436883952,3.2120315022536827,0.8422414430398463,13527,0.9910549271826717,0.996451541361721,0.23552297314181,0.20245067435998637,0.12799920728827918,0.14335594188381554,0.054626113359035895,0.031387543746056935,0.03127916929758334,2.150331348903687,0.9760479041916168,13527,0.9957122791454128,0.9965993938049826,0.03599394923714941,0.0556774523418887,0.07752745850320171,0.15605816182548976,0.19296914432521095,0.18149479308454924,0.200275520657339,4.11618839591921,0.6415317513121904,13527,0.9906113698528868,0.9975604346861832,0.16878847679748152,0.1880592498387277,0.24195471227086765,0.30807562918105513,0.06071871010130395,0.036928094671047684,0.03745183217513226,2.33066567140642,0.9691727655799512,13527,0.9956383529237821,0.9970429511347675,0.027237636155703793,0.06464440961729061,0.10065623076709601,0.17847667037554393
