clip_id,condition,corrector,band,tp,fp,fn,precision,recall,iou,n_pred_occupied
scene-0003_CAM_FRONT_f286cdae_21b99feb,M0,dilate_r2,20-30m,332,1184,2841,0.21899736147757257,0.10463283958398992,0.07619921964654579,1516
scene-0003_CAM_FRONT_f286cdae_21b99feb,M0,dilate_r2,30-40m,72,0,3427,1.0,0.02057730780222921,0.02057730780222921,72
scene-0003_CAM_FRONT_f286cdae_21b99feb,M1,raw,0-10m,58,90,1476,0.3918918918918919,0.03780964797913951,0.03571428571428571,148
scene-0003_CAM_FRONT_f286cdae_21b99feb,M1,raw,10-20m,201,427,2712,0.3200636942675159,0.0690010298661174,0.060179640718562875,628
scene-0003_CAM_FRONT_f286cdae_21b99feb,M1,raw,20-30m,32,2,3141,0.9411764705882353,0.010085092971950834,0.010078740157480314,34
scene-0003_CAM_FRONT_f286cdae_21b99feb,M1,raw,30-40m,0,0,3499,0.0,0.0,0.0,0
scene-0003_CAM_FRONT_f286cdae_21b99feb,M1,dilate_r2,0-10m,217,424,1317,0.33853354134165364,0.14146023468057367,0.1108273748723187,641
scene-0003_CAM_FRONT_f286cdae_21b99feb,M1,dilate_r2,10-20m,852,1839,2061,0.3166109253065775,0.2924819773429454,0.17929292929292928,2691
scene-0003_CAM_FRONT_f286cdae_21b99feb,M1,dilate_r2,20-30m,264,25,2909,0.9134948096885813,0.08320201701859439,0.0825515947467167,289
scene-0003_CAM_FRONT_f286cdae_21b99feb,M1,dilate_r2,30-40m,0,0,3499,0.0,0.0,0.0,0
scene-0003_CAM_FRONT_f286cdae_21b99feb,M2,raw,0-10m,68,124,1466,0.3541666666666667,0.04432855280312908,0.04101326899879373,192
scene-0003_CAM_FRONT_f286cdae_21b99feb,M2,raw,10-20m,234,351,2679,0.4,0.08032955715756952,0.07169117647058823,585
scene-0003_CAM_FRONT_f286cdae_21b99feb,M2,raw,20-30m,26,2,3147,0.9285714285714286,0.008194138039710053,0.008188976377952756,28
scene-0003_CAM_FRONT_f286cdae_21b99feb,M2,raw,30-40m,0,0,3499,0.0,0.0,0.0,0
scene-0003_CAM_FRONT_f286cdae_21b99feb,M2,dilate_r2,0-10m,364,539,1170,0.40310077519379844,0.23728813559322035,0.17559093101784853,903
scene-0003_CAM_FRONT_f286cdae_21b99feb,M2,dilate_r2,10-20m,1108,1538,1805,0.41874527588813304,0.3803638860281497,0.2489328240844754,2646
scene-0003_CAM_FRONT_f286cdae_21b99feb,M2,dilate_r2,20-30m,199,18,2974,0.9170506912442397,0.06271667191931926,0.062362895643998745,217
scene-0003_CAM_FRONT_f286cdae_21b99feb,M2,dilate_r2,30-40m,7,0,3492,1.0,0.002000571591883395,0.002000571591883395,7
scene-0003_CAM_FRONT_f286cdae_21b99feb,OR,raw,0-10m,150,158,1384,0.487012987012987,0.09778357235984354,0.08865248226950355,308
scene-0003_CAM_FRONT_f286cdae_21b99feb,OR,raw,10-20m,353,231,2560,0.6044520547945206,0.12118091314795743,0.11227735368956743,584
scene-0003_CAM_FRONT_f286cdae_21b99feb,OR,raw,20-30m,28,1,3145,0.9655172413793104,0.00882445635045698,0.008821676118462508,29
scene-0003_CAM_FRONT_f286cdae_21b99feb,OR,raw,30-40m,0,0,3499,0.0,0.0,0.0,0
scene-0003_CAM_FRONT_f286cdae_21b99feb,OR,dilate_r2,0-10m,492,664,1042,0.42560553633217996,0.32073011734028684,0.22383985441310283,1156
scene-0003_CAM_FRONT_f286cdae_21b99feb,OR,dilate_r2,10-20m,1310,1199,1603,0.5221203666799522,0.44970820460006866,0.31857976653696496,2509
scene-0003_CAM_FRONT_f286cdae_21b99feb,OR,dilate_r2,20-30m,340,39,2833,0.8970976253298153,0.10715411282697762,0.10585305105853052,379
scene-0003_CAM_FRONT_f286cdae_21b99feb,OR,dilate_r2,30-40m,0,0,3499,0.0,0.0,0.0,0
scene-0003_CAM_FRONT_cd908fdc_6180726f,M0,raw,0-10m,14,94,1474,0.12962962962962962,0.009408602150537635,0.008849557522123894,108
scene-0003_CAM_FRONT_cd908fdc_6180726f,M0,raw,10-20m,198,534,2983,0.27049180327868855,0.06224457717698837,0.05329744279946164,732
scene-0003_CAM_FRONT_cd908fdc_6180726f,M0,raw,20-30m,124,14,3617,0.8985507246376812,0.03314621758887998,0.03302263648468708,138
scene-0003_CAM_FRONT_cd908fdc_6180726f,M0,raw,30-40m,31,4,3202,0.8857142857142857,0.009588617383235385,0.009576768612913192,35
scene-0003_CAM_FRONT_cd908fdc_6180726f,M0,dilate_r2,0-10m,43,274,1445,0.13564668769716087,0.02889784946236559,0.024404086265607264,317
scene-0003_CAM_FRONT_cd908fdc_6180726f,M0,dilate_r2,10-20m,589,2070,2592,0.22151184655885672,0.18516189877397046,0.11216911064559132,2659
scene-0003_CAM_FRONT_cd908fdc_6180726f,M0,dilate_r2,20-30m,435,301,3306,0.5910326086956522,0.11627906976744186,0.10761999010390895,736
scene-0003_CAM_FRONT_cd908fdc_6180726f,M0,dilate_r2,30-40m,74,58,3159,0.5606060606060606,0.022888957624497372,0.022485566697052567,132
scene-0003_CAM_FRONT_cd908fdc_6180726f,M1,raw,0-10m,23,120,1465,0.16083916083916083,0.015456989247311828,0.014303482587064677,143
scene-0003_CAM_FRONT_cd908fdc_6180726f,M1,raw,10-20m,198,321,2983,0.3815028901734104,0.06224457717698837,0.05653912050256996,519
scene-0003_CAM_FRONT_cd908fdc_6180726f,M1,raw,20-30m,72,10,3669,0.8780487804878049,0.019246190858059342,0.01919488136496934,82
scene-0003_CAM_FRONT_cd908fdc_6180726f,M1,raw,30-40m,11,1,3222,0.9166666666666666,0.0034024126198577173,0.003401360544217687,12
scene-0003_CAM_FRONT_cd908fdc_6180726f,M1,dilate_r2,0-10m,168,535,1320,0.23897581792318634,0.11290322580645161,0.08304498269896193,703
scene-0003_CAM_FRONT_cd908fdc_6180726f,M1,dilate_r2,10-20m,927,1400,2254,0.39836699613235926,0.29141779314680916,0.20235756385068762,2327
scene-0003_CAM_FRONT_cd908fdc_6180726f,M1,dilate_r2,20-30m,472,170,3269,0.735202492211838,0.12616947340283347,0.1206852467399642,642
scene-0003_CAM_FRONT_cd908fdc_6180726f,M1,dilate_r2,30-40m,23,20,3210,0.5348837209302325,0.007114135477884318,0.007070396557024286,43
scene-0003_CAM_FRONT_cd908fdc_6180726f,M2,raw,0-10m,71,145,1417,0.3287037037037037,0.04771505376344086,0.043478260869565216,216
scene-0003_CAM_FRONT_cd908fdc_6180726f,M2,raw,10-20m,265,263,2916,0.5018939393939394,0.08330713612071676,0.07694541231126598,528
scene-0003_CAM_FRONT_cd908fdc_6180726f,M2,raw,20-30m,57,6,3684,0.9047619047619048,0.015236567762630313,0.01521216973578863,63
scene-0003_CAM_FRONT_cd908fdc_6180726f,M2,raw,30-40m,0,0,3233,0.0,0.0,0.0,0
scene-0003_CAM_FRONT_cd908fdc_6180726f,M2,dilate_r2,0-10m,548,570,940,0.49016100178890876,0.3682795698924731,0.2662779397473275,1118
scene-0003_CAM_FRONT_cd908fdc_6180726f,M2,dilate_r2,10-20m,1278,1230,1903,0.5095693779904307,0.401760452687834,0.2897302199047835,2508
